key	value
aantalDeelnemers	135
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	12.725925925925926
totaalMediaanScore	13
totaalAantalScore0	1
totaalAantalScore1	0
totaalAantalScore2	1
totaalAantalScore3	2
totaalAantalScore4	2
totaalAantalScore5	4
totaalAantalScore6	6
totaalAantalScore7	3
totaalAantalScore8	3
totaalAantalScore9	9
totaalAantalScore10	6
totaalAantalScore11	9
totaalAantalScore12	11
totaalAantalScore13	12
totaalAantalScore14	12
totaalAantalScore15	14
totaalAantalScore16	11
totaalAantalScore17	11
totaalAantalScore18	11
totaalAantalScore19	6
totaalAantalScore20	1
zonder_basisHoogsteScore	20
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	11.162962962962963
zonder_basisMediaanScore	11
zonder_basisAantalScore0	3
zonder_basisAantalScore1	1
zonder_basisAantalScore2	4
zonder_basisAantalScore3	3
zonder_basisAantalScore4	6
zonder_basisAantalScore5	3
zonder_basisAantalScore6	4
zonder_basisAantalScore7	7
zonder_basisAantalScore8	10
zonder_basisAantalScore9	9
zonder_basisAantalScore10	6
zonder_basisAantalScore11	13
zonder_basisAantalScore12	6
zonder_basisAantalScore13	7
zonder_basisAantalScore14	14
zonder_basisAantalScore15	10
zonder_basisAantalScore16	8
zonder_basisAantalScore17	7
zonder_basisAantalScore18	10
zonder_basisAantalScore19	3
zonder_basisAantalScore20	1
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	8.362962962962962
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	1
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	5
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	5
wiskunde_basisAantalScore6	8
wiskunde_basisAantalScore7	11
wiskunde_basisAantalScore8	11
wiskunde_basisAantalScore9	33
wiskunde_basisAantalScore10	57
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.02962962962963
wiskunde_standaardMediaanScore	8
wiskunde_standaardAantalScore0	5
wiskunde_standaardAantalScore1	3
wiskunde_standaardAantalScore2	9
wiskunde_standaardAantalScore3	5
wiskunde_standaardAantalScore4	6
wiskunde_standaardAantalScore5	2
wiskunde_standaardAantalScore6	15
wiskunde_standaardAantalScore7	17
wiskunde_standaardAantalScore8	8
wiskunde_standaardAantalScore9	11
wiskunde_standaardAantalScore10	14
wiskunde_standaardAantalScore11	15
wiskunde_standaardAantalScore12	8
wiskunde_standaardAantalScore13	3
wiskunde_standaardAantalScore14	8
wiskunde_standaardAantalScore15	6
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	6.029629629629629
chemieMediaanScore	6
chemieAantalScore0	4
chemieAantalScore1	7
chemieAantalScore2	11
chemieAantalScore3	12
chemieAantalScore4	6
chemieAantalScore5	16
chemieAantalScore6	14
chemieAantalScore7	15
chemieAantalScore8	10
chemieAantalScore9	24
chemieAantalScore10	16
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	12.725925925925926
vragenreeks1totaalMediaanScore	13
vragenreeks1totaalAantalScore0	1
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	1
vragenreeks1totaalAantalScore3	2
vragenreeks1totaalAantalScore4	2
vragenreeks1totaalAantalScore5	4
vragenreeks1totaalAantalScore6	6
vragenreeks1totaalAantalScore7	3
vragenreeks1totaalAantalScore8	3
vragenreeks1totaalAantalScore9	9
