vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	135	119	4	3	5	119	4
2	B	135	127	2	3	127	1	2
3	A	135	130	2	130	0	1	2
4	B	135	114	0	8	114	8	5
5	D	135	114	1	4	10	6	114
6	B	135	101	13	10	101	7	4
7	D	135	99	13	5	8	10	99
8	B	135	116	8	4	116	5	2
9	D	135	121	0	1	10	3	121
10	C	135	125	2	3	2	125	3
11	A	135	95	10	95	6	16	8
12	B	135	69	29	15	69	14	8
13	A	135	51	43	51	13	17	11
14	B	135	107	10	4	107	4	10
15	A	135	86	16	86	14	14	5
16	C	135	113	6	5	5	113	6
17	D	135	84	13	12	9	17	84
18	C	135	101	5	8	14	101	7
19	A	135	115	11	115	3	4	2
20	D	135	58	31	16	13	17	58
21	D	135	53	11	9	51	11	53
22	C	135	56	26	7	7	56	39
23	C	135	86	29	6	7	86	7
24	B	135	95	13	8	95	15	4
25	B	135	75	19	19	75	3	19
26	C	135	105	5	7	12	105	6
27	B	135	87	6	23	87	10	9
28	C	135	78	6	17	29	78	5
29	A	135	102	1	102	3	6	23
30	D	135	75	19	19	8	14	75
31	A	135	94	6	94	24	11	0
32	C	135	94	6	22	9	94	4
33	B	135	82	17	8	82	28	0
34	B	135	109	5	2	109	18	1
35	B	135	98	3	0	98	13	21
