Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32178,bw1590994652elAyycInzzuKKHAFqLqZ9IHFZirQVp,19,A,15,,,,10,,,,10,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,32191,bw1591003780YfEFmNKg4F8vZGqHMzzfBpq9MW1MZG,19,B,3,,,,3,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,32212,bw1591012945aML9z0rLpLckIsdQYuUPnG6CC0ejAZ,19,A,18,,,,10,,,,15,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,32219,bw1591014444DwD1nVQxNFrl3fDIo0E9LDRvWhM081,19,A,15,,,,10,,,,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32241,bw1591021667hfRZ1m45oM82H4jvpfHYe14S3ryv5I,19,A,16,,,,10,,,,10,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32245,bw1591023221d7O02qArV68NUnjAR5iAo1UIuPreAr,19,B,9,,,,9,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32277,bw1591089998IIMnLv33ibEtB169ZP2SHuqnyyTujX,19,A,10,,,,7,,,,7,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32280,bw1591090592Lt9UJ3FJGPKh3r7eLeucDIcYlLoG7c,19,A,11,,,,9,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,32287,bw1591093508Hn9rampZUVcR3gnq8X3umKHHl2vqQs,19,A,16,,,,10,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32288,bw15910942967udG2cuuFIpBiF2Kiakxnb9bXvY6qf,19,A,15,,,,9,,,,11,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,32294,bw1591099079hzu7lYSzt4w9RRdeuuEmrWcZVzR9Wu,19,A,11,,,,7,,,,4,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32299,bw1591102333pBAcjKeVgFbAJU5PLH0xDwIKXTvcD4,19,A,13,,,,9,,,,7,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,32307,bw1591112770zD2toyUgajrBofxPCSbJ7zyFGbPfq0,19,A,14,,,,8,,,,7,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32308,bw1591113248duJ3Y7nEMCxTxuqsjLewexUNh5862B,19,A,18,,,,10,,,,12,,,,10,,,,,,,,,,,,,,,,,,,,,,,
,,32311,bw1591115185vKqsVvoaKGYo8wCbpVrWOheBkIZ1se,19,A,18,,,,10,,,,14,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,32332,bw1591171421NeXFA0eXUeZFS7hrvE0iKxgCLR5EC4,19,A,18,,,,10,,,,14,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32339,bw1591179189o0VAxsatasYPgl6BmONLaV98qYqN6j,19,A,15,,,,9,,,,14,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32341,bw1591184861XwOPuvhlS83a3wZ2pIsA5zSYPiGr5j,19,B,4,,,,5,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32343,bw1591187342c8qBnEU22a69cC9ihHCZc8VoStiEoO,19,A,15,,,,10,,,,11,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32352,bw15911992945zH5lK3JNk8nLRRYtufZpNs8cPCGOL,19,A,13,,,,8,,,,8,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32369,bw1591266316yFJ2grdqclAkkFet8fTrMpNRIomyka,19,A,14,,,,10,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,32407,bw1591361263TKJbV1EPIDzFx4WnyUDjCwu6PomJvc,19,A,15,,,,7,,,,12,,,,7,,,,,,,,,,,,,,,,,,,,,,,
