scoreNaam	groepLabel	kleur	aantal
totaal	<6	rgb(255,140,0)	19
totaal	6-9	rgb(255,215,0)	35
totaal	10-14	rgb(144,238,144)	48
totaal	>14	rgb(21, 132, 21)	27
wiskunde	<9	rgb(255,140,0)	20
wiskunde	9-14	rgb(255,215,0)	35
wiskunde	15-21	rgb(144,238,144)	47
wiskunde	>=22	rgb(21, 132, 21)	27
basis	basis	rgb(255,215,0)	129
niet_basis	niet_basis	rgb(255,215,0)	129
analyse	analyse	rgb(255,215,0)	129
algebra	algebra	rgb(255,215,0)	129
meetkunde	meetkunde	rgb(255,215,0)	129
kansrekenen	kansrekenen	rgb(255,215,0)	129
