feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	basisJuist	basisFout	basisBlanco	basisScore	basisGroep	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	niet_basisGroep	analyseJuist	analyseFout	analyseBlanco	analyseScore	analyseGroep	algebraJuist	algebraFout	algebraBlanco	algebraScore	algebraGroep	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	meetkundeGroep	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	kansrekenenGroep
19ew61826	1	1	24	6	0	15	>14	24	6	0	22	>=22	6	0	0	6	basis	18	6	0	16	niet_basis	6	3	0	5	analyse	13	3	0	12	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19ew30960	1	0	17	9	4	9	6-9	17	9	4	14	9-14	6	0	0	6	basis	11	9	4	8	niet_basis	5	4	0	4	analyse	9	4	3	8	algebra	2	1	1	2	meetkunde	1	0	0	1	kansrekenen
19ew40718	1	0	16	11	3	8	6-9	16	11	3	12	9-14	5	1	0	5	basis	11	10	3	8	niet_basis	5	4	0	4	analyse	8	6	2	6	algebra	2	1	1	2	meetkunde	1	0	0	1	kansrekenen
19ew31572	1	0	14	13	3	6	6-9	14	13	3	10	9-14	5	1	0	5	basis	9	12	3	5	niet_basis	5	4	0	4	analyse	7	6	3	5	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19ew31519	1	0	16	14	0	8	6-9	16	14	0	11	9-14	5	1	0	5	basis	11	13	0	7	niet_basis	5	4	0	4	analyse	9	7	0	7	algebra	2	2	0	1	meetkunde	0	1	0	0	kansrekenen
19ew33629	1	0	15	8	7	8	6-9	15	8	7	12	9-14	4	1	1	4	basis	11	7	6	9	niet_basis	8	0	1	8	analyse	6	6	4	4	algebra	1	1	2	1	meetkunde	0	1	0	0	kansrekenen
19ew73707	1	1	21	7	2	12	10-14	21	7	2	19	15-21	4	2	0	3	basis	17	5	2	15	niet_basis	8	1	0	8	analyse	10	4	2	9	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19ew62153	1	1	18	5	7	11	10-14	18	5	7	16	15-21	0	1	5	0	basis	18	4	2	17	niet_basis	5	4	0	4	analyse	9	1	6	9	algebra	3	0	1	3	meetkunde	1	0	0	1	kansrekenen
19ew26808	1	1	18	10	2	10	10-14	18	10	2	15	15-21	6	0	0	6	basis	12	10	2	9	niet_basis	4	4	1	3	analyse	11	4	1	10	algebra	3	1	0	3	meetkunde	0	1	0	0	kansrekenen
19ew19973	1	1	21	4	5	13	10-14	21	4	5	20	15-21	5	1	0	5	basis	16	3	5	15	niet_basis	5	3	1	4	analyse	12	1	3	12	algebra	4	0	0	4	meetkunde	0	0	1	0	kansrekenen
