vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	B	129	104	81	1	0	12	104	12	0
2	A	129	105	81	1	0	105	21	2	0
3	D	129	106	82	1	0	2	3	17	106
4	D	129	109	84	2	1	3	10	5	109
5	B	129	94	73	3	2	16	94	12	4
6	D	129	83	64	4	3	5	15	22	83
7	D	129	91	71	14	10	3	15	6	91
8	C	129	89	69	14	10	2	2	89	22
9	D	129	74	57	11	8	3	23	18	74
10	D	129	66	51	7	5	20	27	9	66
11	A	129	81	63	14	10	81	13	17	4
12	C	129	102	79	2	1	20	0	102	5
13	D	129	55	43	23	17	9	11	31	55
14	C	129	114	88	1	0	8	4	114	2
15	B	129	46	36	11	8	56	46	12	4
16	B	129	49	38	35	27	8	49	19	18
17	A	129	46	36	20	15	46	16	34	13
18	A	129	85	66	4	3	85	13	15	12
19	B	129	54	42	11	8	22	54	17	25
20	C	129	58	45	18	13	2	47	58	4
21	D	129	119	92	2	1	0	2	6	119
22	B	129	62	48	4	3	44	62	13	6
23	A	129	61	47	13	10	61	36	13	6
24	B	129	65	50	4	3	51	65	5	4
25	A	129	105	81	4	3	105	4	0	16
26	C	129	77	60	16	12	23	7	77	6
27	A	129	49	38	44	34	49	10	20	6
28	B	129	77	60	4	3	19	77	22	7
29	D	129	59	46	33	25	9	17	11	59
30	C	129	84	65	13	10	14	4	84	14
