ijkID	feedbackCode
32174	19ew15014
32185	19ew60232
32200	19ew53083
32224	19ew24079
33672	19ew93319
32272	19ew74005
32274	19ew41914
32281	19ew76515
32300	19ew99329
32306	19ew58213
32310	19ew50600
33678	19ew77323
32342	19ew25259
32346	19ew20668
32378	19ew56459
32395	19ew60303
32405	19ew71374
32408	19ew43384
32419	19ew93778
32440	19ew66087
32442	19ew18832
32459	19ew33543
32460	19ew30981
32462	19ew16894
32481	19ew73707
32509	19ew26348
32510	19ew16471
32513	19ew36337
32527	19ew33629
32534	19ew72621
32535	19ew98006
32539	19ew61180
32554	19ew43464
32570	19ew84024
32585	19ew44650
33690	19ew75114
32596	19ew31572
32633	19ew67866
32635	19ew84167
32643	19ew36086
32654	19ew70184
32662	19ew38520
32668	19ew68812
32677	19ew38269
32685	19ew23299
32693	19ew78498
32702	19ew29017
32713	19ew80869
32727	19ew66149
32730	19ew97880
32731	19ew86910
32734	19ew80770
32735	19ew27711
32779	19ew25290
32791	19ew28444
32795	19ew75778
32833	19ew19252
32841	19ew98773
33716	19ew99101
32863	19ew65361
32866	19ew86570
32872	19ew13208
32873	19ew23713
32877	19ew29526
32878	19ew60373
32893	19ew77939
32901	19ew61188
32908	19ew87659
32921	19ew42469
32957	19ew57961
32960	19ew82859
32968	19ew39877
33004	19ew45126
33010	19ew18535
33732	19ew15523
33045	19ew85287
33047	19ew32211
33061	19ew20451
33065	19ew29033
33739	19ew84278
33085	19ew85635
33744	19ew38038
33092	19ew71312
33095	19ew60474
33745	19ew55766
33122	19ew87615
33124	19ew77790
33146	19ew96889
33755	19ew79870
33164	19ew13481
33173	19ew86021
33185	19ew19973
33189	19ew14867
33204	19ew62153
33209	19ew40530
33212	19ew95774
33215	19ew11147
33260	19ew35448
33287	19ew71240
33289	19ew36082
33298	19ew22039
33305	19ew44724
33325	19ew19042
33328	19ew84692
33330	19ew28435
33339	19ew39172
33345	19ew55963
33350	19ew61082
33357	19ew17603
33358	19ew61563
33368	19ew63742
33391	19ew61826
33829	19ew98326
33413	19ew63974
33416	19ew40718
33835	19ew30960
33420	19ew13125
33424	19ew32446
33428	19ew41447
33430	19ew48601
33431	19ew61126
33438	19ew72280
33450	19ew66005
33456	19ew62945
33461	19ew78256
33463	19ew84491
33466	19ew76930
33470	19ew21281
33859	19ew81450
33481	19ew31519
33487	19ew50877
33502	19ew83871
33877	19ew59403
33528	19ew19946
33549	19ew34112
33557	19ew38013
33882	19ew13982
33887	19ew79958
33569	19ew81344
33891	19ew96624
33574	19ew46931
33898	19ew75955
33602	19ew45605
33604	19ew25824
33907	19ew26808
33913	19ew51593
33620	19ew60798
33634	19ew38068
33641	19ew23125
33945	19ew25696
