ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
33391	1	B	A	D	D	B	D	D	C	D	D	A	C	D	C	B	B	C	A	D	B	D	B	A	A	A	C	B	B	D	D
33835	1	B	A	D	D	B	D	C	D	D	D	A	C	X	C	A	B	C	C	D	X	D	D	B	B	A	D	X	B	X	C
33416	1	B	A	D	D	B	C	C	C	D	D	A	C	X	C	A	B	A	C	D	D	D	D	B	A	A	D	X	D	X	C
32596	1	B	B	D	D	B	D	B	C	X	B	A	C	C	C	A	X	A	B	D	B	D	A	C	A	A	A	A	A	X	C
33481	1	B	B	D	D	B	D	D	C	D	B	A	C	C	C	A	B	A	D	D	B	D	A	C	A	A	A	C	D	C	C
32527	1	B	B	D	D	X	D	C	X	D	B	A	C	X	A	A	C	X	C	B	X	D	B	A	D	A	C	X	B	X	C
32481	1	B	A	C	D	C	D	D	C	X	D	A	C	B	C	A	D	A	A	D	B	D	B	A	B	A	C	A	B	X	C
33204	1	C	X	X	X	X	X	X	X	D	D	A	A	D	C	B	C	D	A	B	C	D	A	A	B	A	C	A	B	D	C
33907	1	B	A	D	D	B	D	D	X	D	C	B	C	A	C	A	D	B	A	C	C	D	A	A	B	A	X	A	C	C	C
33185	1	A	A	D	D	B	D	D	D	D	X	X	C	D	C	X	X	X	A	B	C	D	A	A	B	A	C	A	C	D	C
32863	1	B	A	D	D	B	D	D	C	D	D	X	C	X	C	B	X	A	A	B	B	D	A	B	A	A	C	A	A	D	A
32442	1	B	A	D	D	B	D	D	C	C	D	A	C	C	C	A	C	A	A	D	B	D	A	B	B	A	C	C	B	D	A
33487	1	B	A	D	D	B	D	D	C	D	B	A	C	A	C	B	A	C	B	B	B	D	B	A	B	A	C	A	B	D	C
33004	1	A	A	D	D	B	B	D	C	D	B	A	C	D	C	A	C	A	A	D	B	D	A	X	A	D	A	X	C	A	C
33470	1	C	A	D	D	B	C	X	C	D	A	A	A	A	C	D	C	B	B	A	C	D	B	B	A	A	C	A	B	C	A
32734	1	B	A	D	D	D	B	D	C	X	D	X	C	D	C	B	X	A	X	D	X	D	C	B	A	A	X	X	B	X	A
33146	1	B	A	D	B	B	D	D	C	D	C	A	C	D	D	A	B	C	A	B	A	D	B	A	A	A	A	A	B	D	C
32795	1	A	A	C	D	A	D	X	D	D	C	C	A	A	X	C	X	X	D	A	C	C	A	X	X	B	A	X	X	D	X
32735	1	B	A	D	D	B	D	B	C	C	D	A	C	C	C	D	D	D	B	A	C	D	B	C	D	D	B	B	B	B	A
32730	1	C	B	C	C	B	A	X	X	B	A	X	D	C	C	B	X	B	D	X	X	D	X	B	A	D	X	X	A	X	X
33047	1	B	A	D	D	B	D	D	C	D	D	A	C	D	C	B	B	A	A	D	C	D	B	X	B	A	X	X	B	X	C
33430	1	B	A	C	D	B	D	A	C	D	B	C	C	X	C	B	A	C	A	B	C	D	B	C	A	A	C	A	B	D	C
33413	1	B	A	D	D	B	D	D	C	D	B	C	C	X	C	B	X	B	A	B	B	D	B	B	C	A	C	X	B	X	C
32731	1	B	A	D	D	B	D	D	D	D	D	A	D	D	C	A	D	A	A	D	B	D	A	C	A	A	C	A	B	B	C
32585	1	B	A	D	D	A	D	D	A	D	A	A	C	C	C	A	B	B	A	B	B	D	B	A	B	A	C	A	C	D	C
33061	1	B	B	D	D	B	D	D	D	D	A	B	C	D	C	B	C	C	A	D	C	D	A	A	B	A	C	B	C	C	C
33456	1	B	A	D	D	A	D	D	C	D	B	B	C	D	C	A	D	C	A	B	C	D	B	B	A	A	B	C	B	B	D
32702	1	B	A	D	D	B	D	D	C	D	D	A	C	C	C	C	B	D	A	D	C	D	C	A	B	A	C	A	B	D	C
33877	1	A	A	D	D	B	D	D	C	D	D	A	C	D	C	B	B	C	A	B	C	D	B	A	A	A	C	A	B	B	C
33350	1	B	B	D	D	B	B	B	D	B	A	A	C	D	C	B	B	D	C	A	C	D	A	C	A	D	C	C	B	B	D
33859	1	B	A	D	D	B	D	D	C	D	D	C	C	B	C	A	B	C	A	A	C	D	C	A	B	A	C	A	B	D	C
32513	1	B	A	D	D	B	D	D	C	D	D	B	C	D	C	A	C	A	A	B	B	D	C	A	B	D	C	A	C	D	C
32791	1	B	A	D	D	C	B	D	C	D	D	A	C	C	C	X	X	B	A	B	X	D	B	B	B	A	C	A	B	X	C
32535	1	B	B	D	D	B	D	D	C	D	A	A	C	D	C	A	B	A	A	D	C	D	B	A	B	A	C	A	B	D	C
32635	1	B	A	D	D	B	C	D	C	C	D	A	C	D	A	A	D	A	X	X	C	D	C	B	A	A	C	X	B	X	B
32633	1	C	A	D	D	C	A	D	B	B	C	D	A	B	A	C	D	C	D	D	C	B	C	C	D	B	B	B	B	D	C
33173	1	B	A	D	D	B	D	D	C	D	D	A	C	D	C	A	X	A	A	X	C	D	B	A	B	A	A	X	B	D	C
33620	1	A	A	C	D	B	D	B	C	B	D	C	D	C	C	A	C	C	A	B	B	D	A	D	A	D	A	A	B	A	D
32779	1	B	A	D	D	B	D	D	C	C	D	A	C	D	C	A	C	A	A	D	C	D	B	C	B	A	C	A	B	D	D
