Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33391,ew15969694633Q7M08s84vUmLz2jnNYBecizvjkYL9,19,A,15,24,6,0,22,24,6,0,6,6,0,0,16,18,6,0,5,6,3,0,12,13,3,0,4,4,0,0,1,1,0,0,,,,
,,33835,ew15970581119owjgdSjmQfi6Vvf0UPPKEfyorCBEL,19,A,9,17,9,4,14,17,9,4,6,6,0,0,8,11,9,4,4,5,4,0,8,9,4,3,2,2,1,1,1,1,0,0,,,,
,,33416,ew1597057119OHga91KwWSczCBoPl4dwX6O2w4ikYs,19,A,8,16,11,3,12,16,11,3,5,5,1,0,8,11,10,3,4,5,4,0,6,8,6,2,2,2,1,1,1,1,0,0,,,,
,,32596,ew1592051835aC6GrC4sSblBNXMEiciWn4l6MUssPb,19,A,6,14,13,3,10,14,13,3,5,5,1,0,5,9,12,3,4,5,4,0,5,7,6,3,1,2,2,0,0,0,1,0,,,,
,,33481,ew1597236334X0ykWDLUbsxisBQMpMJZWAW5iZn0Hh,19,A,8,16,14,0,11,16,14,0,5,5,1,0,7,11,13,0,4,5,4,0,7,9,7,0,1,2,2,0,0,0,1,0,,,,
,,32527,ew1591701398oL0pWxGfnQfXHCkylgiankX0vlhEUE,19,A,8,15,8,7,12,15,8,7,4,4,1,1,9,11,7,6,8,8,0,1,4,6,6,4,1,1,1,2,0,0,1,0,,,,
,,32481,ew1591566678zK3LSMZvMv1AWqt1SmugeheOvoJhex,19,A,12,21,7,2,19,21,7,2,3,4,2,0,15,17,5,2,8,8,1,0,9,10,4,2,1,2,2,0,1,1,0,0,,,,
,,33204,ew1596047904Z4kHPj3UMvecUvt0CztSbiBGns57oU,19,A,11,18,5,7,16,18,5,7,0,0,1,5,17,18,4,2,4,5,4,0,9,9,1,6,3,3,0,1,1,1,0,0,,,,
,,33907,ew1597432685MAhlGw2fvWVTctFvMR4PccdTDWwAak,19,A,10,18,10,2,15,18,10,2,6,6,0,0,9,12,10,2,3,4,4,1,10,11,4,1,3,3,1,0,0,0,1,0,,,,
,,33185,ew15959230427zgzkwCWEe8og43cMaIZc1UWalLhir,19,A,13,21,4,5,20,21,4,5,5,5,1,0,15,16,3,5,4,5,3,1,12,12,1,3,4,4,0,0,0,0,0,1,,,,
