ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
33391	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	6	3	0	5	13	3	0	12	4	0	0	4	1	0	0	1
33835	1	0	17	9	4	9	17	9	4	14	6	0	0	6	11	9	4	8	5	4	0	4	9	4	3	8	2	1	1	2	1	0	0	1
33416	1	0	16	11	3	8	16	11	3	12	5	1	0	5	11	10	3	8	5	4	0	4	8	6	2	6	2	1	1	2	1	0	0	1
32596	1	0	14	13	3	6	14	13	3	10	5	1	0	5	9	12	3	5	5	4	0	4	7	6	3	5	2	2	0	1	0	1	0	0
33481	1	0	16	14	0	8	16	14	0	11	5	1	0	5	11	13	0	7	5	4	0	4	9	7	0	7	2	2	0	1	0	1	0	0
32527	1	0	15	8	7	8	15	8	7	12	4	1	1	4	11	7	6	9	8	0	1	8	6	6	4	4	1	1	2	1	0	1	0	0
32481	1	1	21	7	2	12	21	7	2	19	4	2	0	3	17	5	2	15	8	1	0	8	10	4	2	9	2	2	0	1	1	0	0	1
33204	1	1	18	5	7	11	18	5	7	16	0	1	5	0	18	4	2	17	5	4	0	4	9	1	6	9	3	0	1	3	1	0	0	1
33907	1	1	18	10	2	10	18	10	2	15	6	0	0	6	12	10	2	9	4	4	1	3	11	4	1	10	3	1	0	3	0	1	0	0
33185	1	1	21	4	5	13	21	4	5	20	5	1	0	5	16	3	5	15	5	3	1	4	12	1	3	12	4	0	0	4	0	0	1	0
32863	1	1	21	6	3	13	21	6	3	19	6	0	0	6	15	6	3	13	6	3	0	5	11	3	2	10	3	0	1	3	1	0	0	1
32442	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	6	3	0	5	10	6	0	8	3	1	0	3	1	0	0	1
33487	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	8	1	0	8	14	2	0	13	2	2	0	1	0	1	0	0
33004	1	0	15	13	2	7	15	13	2	11	4	2	0	3	11	11	2	7	4	5	0	2	8	6	2	6	3	1	0	3	0	1	0	0
33470	1	0	15	14	1	7	15	14	1	10	4	2	0	3	11	12	1	7	4	5	0	2	9	6	1	7	2	2	0	1	0	1	0	0
32734	1	0	15	7	8	8	15	7	8	13	4	2	0	3	11	5	8	9	5	3	1	4	7	3	6	6	2	1	1	2	1	0	0	1
33146	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	7	2	0	6	11	5	0	9	4	0	0	4	0	1	0	0
32795	1	0	6	15	9	1	6	15	9	1	3	3	0	2	3	12	9	0	0	6	3	0	6	4	6	5	0	4	0	0	0	1	0	0
32735	1	0	15	15	0	7	15	15	0	10	6	0	0	6	9	15	0	4	5	4	0	4	8	8	0	5	1	3	0	0	1	0	0	1
32730	1	0	4	15	11	0	4	15	11	0	1	5	0	0	3	10	11	0	1	4	4	0	2	7	7	0	1	3	0	0	0	1	0	0
33047	1	1	25	1	4	16	25	1	4	25	6	0	0	6	19	1	4	19	7	1	1	7	13	0	3	13	4	0	0	4	1	0	0	1
33430	1	1	21	8	1	12	21	8	1	18	5	1	0	5	16	7	1	14	8	1	0	8	10	6	0	8	3	0	1	3	0	1	0	0
33413	1	1	20	6	4	12	20	6	4	18	6	0	0	6	14	6	4	12	8	1	0	8	9	4	3	8	3	0	1	3	0	1	0	0
32731	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	6	3	0	5	9	7	0	7	4	0	0	4	1	0	0	1
32585	1	1	22	8	0	13	22	8	0	19	5	1	0	5	17	7	0	15	7	2	0	6	13	3	0	12	2	2	0	1	0	1	0	0
33061	1	1	19	11	0	10	19	11	0	15	5	1	0	5	14	10	0	11	5	4	0	4	10	6	0	8	4	0	0	4	0	1	0	0
33456	1	0	18	12	0	9	18	12	0	14	5	1	0	5	13	11	0	9	6	3	0	5	9	7	0	7	3	1	0	3	0	1	0	0
32702	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	6	3	0	5	15	1	0	15	3	1	0	3	1	0	0	1
33877	1	1	26	4	0	16	26	4	0	25	5	1	0	5	21	3	0	20	7	2	0	6	14	2	0	13	4	0	0	4	1	0	0	1
33350	1	0	14	16	0	6	14	16	0	9	4	2	0	3	10	14	0	5	5	4	0	4	7	9	0	4	2	2	0	1	0	1	0	0
