"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,32174,"ew1590965036cRPrnQprmsflaFEbj8z5bU5S7ctzNV",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32185,"ew1590999642LdMfR01jL9UfAWJw22J0ymcCCCBRCK",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32200,"ew1591009232xxqUrMhEpv5hXnkUrYfylzG68j2o4D",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32224,"ew1591015514JBYFkHDPEhPjr3HhRbzjtlLKwKVj9X",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33672,"ew1591034873QZkINQuCtrDhzkjTDWpfS5fRWbF5Ni",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32272,"ew1591047712hZ658FpBIz4KVts408XgYTO3OpAwpj",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32274,"ew1591055055ow9prl73hW1jotyA3D3AvpYLNMYkUe",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32281,"ew15910906221CTRanpymcq5BIIlr5eCpt8OKdZphg",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32300,"ew1591103432pfjVWfmrM4GgRFuXWeZfZiDnNZFw9b",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32306,"ew1591112514B9v1k7HBmbBsv7m5JDH9LZw9gyaO1q",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32310,"ew1591115153pSvGRdi7A4LgjBxAz9Fg5yFt5j0qYG",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33678,"ew1591181677pjyzJdsSJeNSMVspM3NlgfTYEAGbU0",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32342,"ew1591185395qnEmQK82MzrVtpLzf7FVqysUU63uao",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32346,"ew1591189913Zb2TwRz0P07AOajY9eHJ73toFO4eEF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32378,"ew1591277536O1290J7fZCOer8KuVZfgpZEGC3Ynfz",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32395,"ew1591347192hfrOnb6KQKp04qqxGizNhjzw1GJOWO",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32405,"ew1591359810Wem7ixjJ2sDqwY3nbmOCCwm4KC8WH2",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32408,"ew1591361955V84AivBBEPNGpFtDHv0uMRH3JA5YAM",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32419,"ew1591370866dZZ3crbZJ40m0ZtgdUsVqxWJnrdEo0",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32440,"ew1591441834ppaIm9iyUsoDbEgGfXZinRjzD9u1PO",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32442,"ew1591443860R5O9tCTxGOFQQnweMtCJq5UQnnWte7",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32459,"ew1591523217FeplvefrTEZfU32CwWG038UAYHXBSI",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32460,"ew1591523374sDNUF6ze4RbKaJe8tKitxjtOCt9Jcw",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32462,"ew1591528267FT8d0m6052nJ4uEn3Wui6eslvxNcmH",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32481,"ew1591566678zK3LSMZvMv1AWqt1SmugeheOvoJhex",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32509,"ew1591634769EKThb1eDonoK4XYOQ0LVI6WR7zGgJA",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32510,"ew1591638515wCrFyuyjDGgEYtHAP2hnW40DBJpDhF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32513,"ew1591642706YdgqG9cM4hm3GJfjyOHMDQ2VXAIYsY",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32527,"ew1591701398oL0pWxGfnQfXHCkylgiankX0vlhEUE",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32534,"ew1591715199DNYBqNLclpWD385yLN9hNDxT2gTC6m",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32535,"ew1591715650o3sKQ7kVyK2zWNSPt2wxU2brchN6Pj",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32539,"ew15917263687LpRKT532HcoRcgxktR5q596eWfZzQ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32554,"ew1591794139hZY6UvJ25rdsLRPurWjUEjRZQ175Oe",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32570,"ew1591887290x0XpUJEONMtP99rRuNymwUmhVf5U90",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
