scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	22
totaal	10-13	rgb(255,215,0)	31
totaal	>=14	rgb(144,238,144)	78
zonder_basis	<10	rgb(255,140,0)	31
zonder_basis	10-13	rgb(255,215,0)	38
zonder_basis	>=14	rgb(144,238,144)	62
wiskunde_basis	<7	rgb(255,140,0)	15
wiskunde_basis	7-8	rgb(255,215,0)	13
wiskunde_basis	>=9	rgb(144,238,144)	103
wiskunde_standaard	<8	rgb(255,140,0)	54
wiskunde_standaard	8-11	rgb(255,215,0)	43
wiskunde_standaard	>=12	rgb(144,238,144)	34
chemie	<5	rgb(255,140,0)	22
chemie	5-7	rgb(255,215,0)	34
chemie	>=7	rgb(144,238,144)	75
