key	value
aantalDeelnemers	131
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	13.59
totaalMediaanScore	14
totaalAantalScore0	2
totaalAantalScore1	1
totaalAantalScore2	2
totaalAantalScore3	0
totaalAantalScore4	0
totaalAantalScore5	2
totaalAantalScore6	3
totaalAantalScore7	3
totaalAantalScore8	4
totaalAantalScore9	5
totaalAantalScore10	6
totaalAantalScore11	3
totaalAantalScore12	13
totaalAantalScore13	9
totaalAantalScore14	13
totaalAantalScore15	17
totaalAantalScore16	11
totaalAantalScore17	9
totaalAantalScore18	18
totaalAantalScore19	7
totaalAantalScore20	3
zonder_basisHoogsteScore	20
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	12.17
zonder_basisMediaanScore	13
zonder_basisAantalScore0	4
zonder_basisAantalScore1	2
zonder_basisAantalScore2	1
zonder_basisAantalScore3	2
zonder_basisAantalScore4	2
zonder_basisAantalScore5	3
zonder_basisAantalScore6	6
zonder_basisAantalScore7	4
zonder_basisAantalScore8	4
zonder_basisAantalScore9	3
zonder_basisAantalScore10	13
zonder_basisAantalScore11	12
zonder_basisAantalScore12	6
zonder_basisAantalScore13	7
zonder_basisAantalScore14	15
zonder_basisAantalScore15	13
zonder_basisAantalScore16	5
zonder_basisAantalScore17	7
zonder_basisAantalScore18	12
zonder_basisAantalScore19	7
zonder_basisAantalScore20	3
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	8.84
wiskunde_basisMediaanScore	10
wiskunde_basisAantalScore0	1
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	1
wiskunde_basisAantalScore3	0
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	5
wiskunde_basisAantalScore6	6
wiskunde_basisAantalScore7	10
wiskunde_basisAantalScore8	3
wiskunde_basisAantalScore9	34
wiskunde_basisAantalScore10	69
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.47
wiskunde_standaardMediaanScore	9
wiskunde_standaardAantalScore0	8
wiskunde_standaardAantalScore1	0
wiskunde_standaardAantalScore2	2
wiskunde_standaardAantalScore3	4
wiskunde_standaardAantalScore4	10
wiskunde_standaardAantalScore5	8
wiskunde_standaardAantalScore6	9
wiskunde_standaardAantalScore7	13
wiskunde_standaardAantalScore8	8
wiskunde_standaardAantalScore9	11
wiskunde_standaardAantalScore10	13
wiskunde_standaardAantalScore11	11
wiskunde_standaardAantalScore12	12
wiskunde_standaardAantalScore13	3
wiskunde_standaardAantalScore14	14
wiskunde_standaardAantalScore15	5
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	6.76
chemieMediaanScore	7
chemieAantalScore0	4
chemieAantalScore1	6
chemieAantalScore2	5
chemieAantalScore3	5
chemieAantalScore4	2
chemieAantalScore5	15
chemieAantalScore6	19
chemieAantalScore7	20
chemieAantalScore8	5
chemieAantalScore9	23
chemieAantalScore10	27
