vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	131	121	92	3	2	5	1	121	1
2	B	131	126	96	2	1	1	126	1	1
3	A	131	127	97	1	0	127	3	0	0
4	B	131	119	91	1	0	7	119	2	2
5	D	131	121	92	4	3	1	3	2	121
6	B	131	107	82	8	6	6	107	8	2
7	D	131	101	77	5	3	7	2	16	101
8	B	131	118	90	7	5	3	118	3	0
9	D	131	117	89	1	0	0	11	2	117
10	C	131	123	94	4	3	3	0	123	1
11	A	131	99	76	7	5	99	3	14	8
12	B	131	76	58	30	22	10	76	7	8
13	A	131	56	43	36	27	56	15	16	8
14	B	131	106	81	10	7	8	106	2	5
15	A	131	92	70	18	13	92	9	10	2
16	C	131	110	84	5	3	2	6	110	8
17	D	131	86	66	8	6	15	9	13	86
18	C	131	105	80	3	2	2	7	105	14
19	A	131	110	84	11	8	110	2	5	3
20	D	131	61	47	32	24	21	8	9	61
21	D	131	51	39	9	6	10	47	14	51
22	C	131	65	50	19	14	10	5	65	32
23	C	131	74	56	29	22	7	11	74	10
24	B	131	94	72	13	9	7	94	11	6
25	B	131	73	56	20	15	19	73	4	15
26	C	131	110	84	6	4	4	8	110	3
27	B	131	90	69	6	4	19	90	6	10
28	C	131	91	69	6	4	9	19	91	6
29	A	131	114	87	2	1	114	0	3	12
30	D	131	93	71	11	8	16	5	6	93
31	A	131	97	74	5	3	97	18	9	2
32	C	131	94	72	6	4	11	10	94	10
33	B	131	79	60	13	9	7	79	27	5
34	B	131	103	79	3	2	5	103	16	4
35	B	131	100	76	4	3	2	100	12	13
