Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33313,fa1596487006HBy1lwBVRVr0jDV9nm38kInvgyYK6k,19,A,15,20,4,1,16,30,4,1,10,10,0,0,13,13,1,1,6,7,3,0,,,,,,,,,,,,,,,,
,,33669,fa1597525702PENr1nWTA9FZntnRUWFYOX0LrsfLJW,19,B,9,12,3,10,10,19,4,12,7,7,1,2,7,8,2,5,4,4,1,5,,,,,,,,,,,,,,,,
,,32210,fa1591012402MXnLL6Z8RzAf5SJkBtREHgb267LO8r,19,A,18,23,2,0,18,33,2,0,10,10,0,0,12,13,2,0,10,10,0,0,,,,,,,,,,,,,,,,
,,32639,fa15923326789HWqCG59eGEmUyWNXhIQnAkAcOtHFn,19,B,6,10,7,8,9,19,8,8,9,9,1,0,5,6,4,5,3,4,3,3,,,,,,,,,,,,,,,,
,,33734,fa1594748601hOqUDVS4kWLS5g5iT9X9jtN613TlB2,19,A,12,17,7,1,13,26,8,1,9,9,1,0,7,9,5,1,7,8,2,0,,,,,,,,,,,,,,,,
,,33399,fa15969804423d2nEljYbd2zjHnb2L8rUGISi7IJX0,19,A,18,23,2,0,18,33,2,0,10,10,0,0,12,13,2,0,10,10,0,0,,,,,,,,,,,,,,,,
,,32250,fa1591026507pGOOXmuAv04VuXv1GaRk1eQ2BNwxFa,19,A,20,25,0,0,20,35,0,0,10,10,0,0,15,15,0,0,10,10,0,0,,,,,,,,,,,,,,,,
,,33144,fa1595602404h4Ba5GcBRO3t9Gl9ShuBlfc9pDMLT5,19,B,6,12,13,0,8,19,15,1,6,7,2,1,7,9,6,0,1,3,7,0,,,,,,,,,,,,,,,,
,,33360,fa15967267755JB29z5X3WLBJ4V7dnE4p5HgrBl8zf,19,A,15,20,5,0,15,29,6,0,9,9,1,0,11,12,3,0,7,8,2,0,,,,,,,,,,,,,,,,
,,32845,fa1593597189gIxLPAS383sSbNu7pcl2uH4JNZ2w6Y,19,B,6,12,13,0,9,20,15,0,7,8,2,0,6,8,7,0,2,4,6,0,,,,,,,,,,,,,,,,
