ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	chemieJuist	chemieFout	chemieBlanco	chemieScore
33313	1	1	30	4	1	16	20	4	1	15	10	0	0	10	13	1	1	13	7	3	0	6
33669	1	1	19	4	12	10	12	3	10	9	7	1	2	7	8	2	5	7	4	1	5	4
32210	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
32639	1	0	19	8	8	9	10	7	8	6	9	1	0	9	6	4	5	5	4	3	3	3
33734	1	1	26	8	1	13	17	7	1	12	9	1	0	9	9	5	1	7	8	2	0	7
33399	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
32250	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
33144	1	0	19	15	1	8	12	13	0	6	7	2	1	6	9	6	0	7	3	7	0	1
33360	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
32845	1	0	20	15	0	9	12	13	0	6	8	2	0	7	8	7	0	6	4	6	0	2
33101	1	1	26	7	2	14	16	7	2	11	10	0	0	10	11	2	2	10	5	5	0	3
33842	1	0	0	0	35	0	0	0	25	0	0	0	10	0	0	0	15	0	0	0	10	0
32560	1	1	32	3	0	18	22	3	0	17	10	0	0	10	14	1	0	14	8	2	0	7
33171	1	1	24	2	9	13	15	2	8	11	9	0	1	9	7	2	6	6	8	0	2	8
33644	1	1	25	10	0	12	16	9	0	10	9	1	0	9	8	7	0	6	8	2	0	7
32417	1	1	28	7	0	15	19	6	0	14	9	1	0	9	11	4	0	10	8	2	0	7
32844	1	0	20	15	0	9	13	12	0	7	7	3	0	6	7	8	0	4	6	4	0	5
32926	1	1	24	6	5	13	15	5	5	11	9	1	0	9	8	2	5	7	7	3	0	6
33467	1	1	29	6	0	15	19	6	0	14	10	0	0	10	11	4	0	10	8	2	0	7
32856	1	0	16	19	0	6	8	17	0	2	8	2	0	7	4	11	0	0	4	6	0	2
33012	1	1	27	6	2	14	18	5	2	13	9	1	0	9	12	2	1	11	6	3	1	5
33362	1	1	23	7	5	12	14	6	5	10	9	1	0	9	8	3	4	7	6	3	1	5
33109	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
32784	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32316	1	1	23	1	11	13	14	1	10	11	9	0	1	9	9	1	5	9	5	0	5	5
33648	1	1	33	2	0	18	23	2	0	18	10	0	0	10	15	0	0	15	8	2	0	7
32710	1	1	25	7	3	13	15	7	3	10	10	0	0	10	7	5	3	5	8	2	0	7
33123	1	1	26	9	0	13	16	9	0	10	10	0	0	10	7	8	0	4	9	1	0	9
33700	1	1	31	4	0	17	21	4	0	16	10	0	0	10	12	3	0	11	9	1	0	9
32259	1	1	30	3	2	17	20	3	2	15	10	0	0	10	10	3	2	9	10	0	0	10
32853	1	1	25	10	0	12	16	9	0	10	9	1	0	9	10	5	0	8	6	4	0	5
33526	1	1	22	10	3	11	13	10	2	8	9	0	1	9	7	6	2	5	6	4	0	5
32640	1	1	23	9	3	11	14	8	3	9	9	1	0	9	6	6	3	4	8	2	0	7
32559	1	1	29	5	1	16	19	5	1	14	10	0	0	10	12	2	1	11	7	3	0	6
33397	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
32614	1	0	18	17	0	7	11	14	0	5	7	3	0	6	8	7	0	6	3	7	0	1
33175	1	1	26	4	5	14	16	4	5	12	10	0	0	10	10	2	3	9	6	2	2	5
33459	1	1	30	5	0	16	20	5	0	15	10	0	0	10	14	1	0	14	6	4	0	5
33492	1	1	25	3	7	14	16	3	6	12	9	0	1	9	8	1	6	8	8	2	0	7
32501	1	1	28	3	4	15	19	2	4	15	9	1	0	9	10	1	4	10	9	1	0	9
32582	1	1	34	1	0	19	24	1	0	19	10	0	0	10	15	0	0	15	9	1	0	9
32237	1	1	30	4	1	16	20	4	1	15	10	0	0	10	10	4	1	9	10	0	0	10
32592	1	1	32	3	0	18	22	3	0	17	10	0	0	10	13	2	0	12	9	1	0	9
33683	1	1	31	1	3	18	21	1	3	17	10	0	0	10	12	1	2	12	9	0	1	9
32966	1	1	24	11	0	12	16	9	0	10	8	2	0	7	9	6	0	7	7	3	0	6
33815	1	1	30	3	2	17	20	3	2	15	10	0	0	10	12	1	2	12	8	2	0	7
33455	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
32781	1	1	23	6	6	12	15	4	6	11	8	2	0	7	8	1	6	8	7	3	0	6
33860	1	1	29	3	3	16	19	3	3	14	10	0	0	10	11	2	2	10	8	1	1	8
33917	1	1	25	10	0	12	15	10	0	9	10	0	0	10	9	6	0	7	6	4	0	5
32374	1	1	30	5	0	16	21	4	0	16	9	1	0	9	13	2	0	12	8	2	0	7
32452	1	1	29	6	0	15	19	6	0	14	10	0	0	10	11	4	0	10	8	2	0	7
33522	1	1	26	4	5	14	16	4	5	12	10	0	0	10	6	4	5	5	10	0	0	10
33131	1	1	35	0	0	20	25	0	0	20	10	0	0	10	15	0	0	15	10	0	0	10
33843	1	0	17	18	0	6	10	15	0	4	7	3	0	6	4	11	0	0	6	4	0	5
33060	1	1	25	8	2	13	15	8	2	10	10	0	0	10	10	3	2	9	5	5	0	3
33383	1	0	18	7	10	9	9	7	9	5	9	0	1	9	4	4	7	3	5	3	2	4
33576	1	1	28	2	5	16	18	2	5	14	10	0	0	10	10	1	4	10	8	1	1	8
32503	1	1	29	6	0	15	20	5	0	15	9	1	0	9	12	3	0	11	8	2	0	7
32637	1	1	27	8	0	14	17	8	0	11	10	0	0	10	11	4	0	10	6	4	0	5
32786	1	1	25	10	0	12	18	7	0	13	7	3	0	6	9	6	0	7	9	1	0	9
32838	1	0	15	20	0	5	9	16	0	3	6	4	0	5	5	10	0	2	4	6	0	2
32894	1	1	29	2	4	16	20	2	3	15	9	0	1	9	10	2	3	9	10	0	0	10
32521	1	0	18	13	4	8	11	12	2	6	7	1	2	7	6	7	2	4	5	5	0	3
33617	1	1	20	6	9	10	11	5	9	7	9	1	0	9	4	4	7	3	7	1	2	7
32173	1	0	18	16	1	7	10	14	1	4	8	2	0	7	7	7	1	5	3	7	0	1
32900	1	1	24	8	3	12	15	7	3	10	9	1	0	9	7	5	3	5	8	2	0	7
33410	1	0	6	18	11	0	3	14	8	0	3	4	3	2	2	5	8	0	1	9	0	0
33200	1	1	29	2	4	16	19	2	4	15	10	0	0	10	11	0	4	11	8	2	0	7
33285	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
33150	1	1	20	9	6	10	12	7	6	8	8	2	0	7	5	4	6	4	7	3	0	6
33627	1	1	19	6	10	10	9	6	10	6	10	0	0	10	5	3	7	4	4	3	3	3
32533	1	0	12	23	0	2	6	19	0	0	6	4	0	5	4	11	0	0	2	8	0	0
33241	1	1	34	0	1	19	24	0	1	19	10	0	0	10	14	0	1	14	10	0	0	10
32590	1	1	28	5	2	15	18	5	2	13	10	0	0	10	11	2	2	10	7	3	0	6
33890	1	0	11	20	4	2	6	16	3	1	5	4	1	4	3	9	3	0	3	7	0	1
32813	1	0	2	3	30	1	0	0	25	0	2	3	5	1	0	0	15	0	0	0	10	0
33696	1	1	24	11	0	12	17	8	0	11	7	3	0	6	11	4	0	10	6	4	0	5
32914	1	1	20	8	7	10	11	7	7	7	9	1	0	9	5	4	6	4	6	3	1	5
33909	1	1	24	9	2	12	15	8	2	10	9	1	0	9	8	5	2	6	7	3	0	6
33883	1	1	30	5	0	16	20	5	0	15	10	0	0	10	11	4	0	10	9	1	0	9
32558	1	1	27	1	7	15	18	1	6	14	9	0	1	9	9	1	5	9	9	0	1	9
33356	1	1	32	3	0	18	22	3	0	17	10	0	0	10	14	1	0	14	8	2	0	7
33284	1	1	34	1	0	19	24	1	0	19	10	0	0	10	14	1	0	14	10	0	0	10
32487	1	1	26	9	0	13	17	8	0	11	9	1	0	9	9	6	0	7	8	2	0	7
33555	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
32934	1	1	31	4	0	17	21	4	0	16	10	0	0	10	13	2	0	12	8	2	0	7
32188	1	1	29	6	0	15	19	6	0	14	10	0	0	10	12	3	0	11	7	3	0	6
32992	1	1	33	2	0	18	23	2	0	18	10	0	0	10	14	1	0	14	9	1	0	9
32358	1	1	32	1	2	18	22	1	2	17	10	0	0	10	12	1	2	12	10	0	0	10
33759	1	1	26	6	3	14	16	6	3	11	10	0	0	10	7	5	3	5	9	1	0	9
33819	1	1	31	4	0	17	21	4	0	16	10	0	0	10	11	4	0	10	10	0	0	10
32580	1	1	28	5	2	15	18	5	2	13	10	0	0	10	8	5	2	6	10	0	0	10
33384	1	1	33	2	0	18	23	2	0	18	10	0	0	10	13	2	0	12	10	0	0	10
33876	1	0	19	13	3	8	13	10	2	8	6	3	1	5	5	9	1	2	8	1	1	8
