Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32173,fa1590963589tMHbbOu5M9oEztnTGXEpYe7y8bgDPl,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32176,fa1590968339xOg4ZjFh7JMn9C7UYaqc1vVtgFE0VP,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32188,fa1591001326kJnBXEMCAWJc3m1rVtE2vJUsevGrol,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32192,fa1591004333Hyh7cQtnJDlFYj7aW2gN9dc6p9OvpM,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32210,fa1591012402MXnLL6Z8RzAf5SJkBtREHgb267LO8r,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32214,fa1591013051cqvHf1smPJJENvjiDQFqMpWg9Bv7Uj,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32227,fa1591015730qKhZwLaVi7xVtjkUEn6R1xhpArbl5n,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32234,fa1591018194bZW5AxmDTATuC6cF9XUkfrHqCJ0qfc,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32237,fa1591020624pgmUTYdSUsghcNnCL8SoVuJpOcvwlx,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32250,fa1591026507pGOOXmuAv04VuXv1GaRk1eQ2BNwxFa,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32257,fa1591032977uFhmDmKV3QYnugGoY7Kj5ShrG8Y44u,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32259,fa1591035821u9Xzk0U81DbrUjBKzfzFzI7OZKRuc1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32263,fa1591039446twxLceLIRNiEteOyvoOUzTTPPiJQnG,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32270,fa1591045575OsxXgjXZequSziN9T0eETB3QyNBxQF,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33673,fa1591074699TZw5zOTtVR5TCTFpwUtyiIZvyKncU2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32302,fa15911067373CpnvqgKnBbxWC051KDfYwInLELzU9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32312,fa1591117264WeYdL5BObEYYFswcccCCJQCHWhOdl0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32316,fa1591124651mbAixXsGnJqBcXS4UauM7DpBaW1p4x,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32322,fa1591130292LIijlTv1DanSOn6th1lgym9UMbxyl6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32340,fa1591184666yagUp2TERXFaUy92oXEUCBBkeAzw8B,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32358,fa15912037945lUkMYp91jTqWfWBr75wfeTVytAxDV,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
