feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
19hi64849	1	B	B	D	D	B	D	D	D	A	B	D	C	B	C	A	B	A	A	D	B	D	B	A	C	A	C	C	B	D	X
19hi65219	1	B	A	D	D	B	D	D	B	A	B	C	X	X	C	B	B	A	A	D	A	C	B	X	A	C	C	B	C	X	X
19hi12108	1	A	A	D	D	B	D	B	D	A	X	C	C	B	A	B	D	A	A	D	A	D	B	A	B	C	C	C	B	D	X
19hi78816	1	B	A	D	D	B	D	D	X	A	B	C	D	B	C	B	B	A	B	D	B	D	B	A	B	C	C	X	C	D	X
19hi92217	1	B	A	D	D	B	D	C	D	A	B	B	C	B	C	A	D	A	B	B	B	C	D	C	B	C	C	B	B	A	B
19hi12951	1	B	A	D	D	B	D	D	D	A	B	C	A	B	C	A	C	A	A	D	B	C	B	A	A	C	B	C	B	D	B
19hi55897	1	C	A	D	D	B	B	D	D	A	B	D	D	B	C	D	C	A	A	D	A	C	X	X	A	C	B	X	C	D	X
19hi12694	1	B	A	D	D	B	D	C	D	A	B	C	D	B	C	A	B	A	B	D	B	D	D	D	B	C	B	D	B	A	C
19hi17542	1	A	A	D	D	B	D	B	D	A	B	C	C	B	C	B	C	C	A	D	C	C	B	B	A	B	B	B	B	D	C
19hi48020	1	B	A	D	D	B	D	D	B	A	X	C	X	B	C	B	X	D	C	D	X	C	C	D	A	B	C	B	A	X	D
19hi69793	1	A	A	D	D	B	D	D	D	A	B	C	B	B	C	B	B	A	A	D	A	C	B	C	B	C	C	C	B	D	B
19hi17054	1	B	A	D	D	A	D	D	D	A	B	D	A	C	C	A	D	C	A	C	D	C	A	D	D	C	A	D	B	D	C
19hi71982	1	B	A	D	D	B	D	D	B	A	D	C	C	B	C	B	B	A	B	C	B	D	B	A	B	B	B	B	B	C	B
19hi19230	1	B	A	D	A	B	B	D	A	A	X	D	C	B	C	A	D	A	A	C	X	C	B	A	A	C	C	C	B	D	X
19hi74196	1	A	A	D	D	B	C	D	D	A	C	D	X	B	C	A	B	C	D	B	D	B	D	D	A	C	C	C	B	C	C
19hi63609	1	B	A	D	D	A	X	D	D	A	B	C	A	B	C	A	D	A	B	D	A	C	C	A	B	C	B	D	B	B	X
19hi49619	1	A	A	C	D	B	D	D	A	A	B	D	A	X	A	A	X	A	B	C	X	A	X	D	D	C	C	D	B	C	X
19hi27057	1	B	B	B	A	B	C	D	B	A	C	B	X	D	C	C	D	A	A	C	X	B	C	A	B	C	B	D	A	A	D
19hi75962	1	B	A	D	D	B	D	C	D	A	A	D	D	B	C	B	B	A	A	B	D	C	B	A	A	B	C	A	B	B	B
