feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	basisJuist	basisFout	basisBlanco	basisScore	basisGroep	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	niet_basisGroep	analyseJuist	analyseFout	analyseBlanco	analyseScore	analyseGroep	algebraJuist	algebraFout	algebraBlanco	algebraScore	algebraGroep	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	meetkundeGroep	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	kansrekenenGroep	logicaJuist	logicaFout	logicaBlanco	logicaScore	logicaGroep
19hi64849	1	1	21	8	1	12	10-14	21	8	1	18	15-21	5	1	0	5	basis	16	7	1	14	niet_basis	6	3	0	5	analyse	12	3	1	11	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi65219	1	1	19	6	5	11	10-14	19	6	5	17	15-21	6	0	0	6	basis	13	6	5	11	niet_basis	6	1	2	6	analyse	11	3	2	10	algebra	1	0	1	1	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi12108	1	1	20	8	2	12	10-14	20	8	2	17	15-21	5	1	0	5	basis	15	7	2	13	niet_basis	6	3	0	5	analyse	10	4	2	9	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi78816	1	1	23	4	3	14	10-14	23	4	3	22	>=22	6	0	0	6	basis	17	4	3	16	niet_basis	6	3	0	5	analyse	14	0	2	14	algebra	2	0	0	2	meetkunde	1	0	1	1	kansrekenen	0	1	0	0	logica
19hi92217	1	0	18	12	0	9	6-9	18	12	0	14	9-14	6	0	0	6	basis	12	12	0	8	niet_basis	5	4	0	4	analyse	10	6	0	8	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi12951	1	1	26	4	0	16	>14	26	4	0	25	>=22	6	0	0	6	basis	20	4	0	19	niet_basis	8	1	0	8	analyse	13	3	0	12	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi55897	1	1	18	8	4	10	10-14	18	8	4	15	15-21	4	2	0	3	basis	14	6	4	12	niet_basis	6	2	1	5	analyse	8	5	3	6	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	1	0	0	1	logica
19hi12694	1	1	21	9	0	12	10-14	21	9	0	18	15-21	6	0	0	6	basis	15	9	0	12	niet_basis	6	3	0	5	analyse	10	6	0	8	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi17542	1	1	19	11	0	10	10-14	19	11	0	15	15-21	5	1	0	5	basis	14	10	0	11	niet_basis	4	5	0	2	analyse	10	6	0	8	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi48020	1	0	14	11	5	7	6-9	14	11	5	10	9-14	6	0	0	6	basis	8	11	5	4	niet_basis	3	5	1	1	analyse	8	4	4	7	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi69793	1	1	25	5	0	16	>14	25	5	0	23	>=22	5	1	0	5	basis	20	4	0	19	niet_basis	6	3	0	5	analyse	15	1	0	15	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi17054	1	0	15	15	0	7	6-9	15	15	0	10	9-14	5	1	0	5	basis	10	14	0	5	niet_basis	5	4	0	4	analyse	9	7	0	7	algebra	0	2	0	0	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi71982	1	1	21	9	0	12	10-14	21	9	0	18	15-21	6	0	0	6	basis	15	9	0	12	niet_basis	4	5	0	2	analyse	13	3	0	12	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	1	0	0	1	logica
19hi19230	1	0	17	10	3	9	6-9	17	10	3	14	9-14	4	2	0	3	basis	13	8	3	10	niet_basis	7	2	0	6	analyse	8	5	3	6	algebra	2	0	0	2	meetkunde	0	2	0	0	kansrekenen	0	1	0	0	logica
19hi74196	1	0	13	16	1	5	<6	13	16	1	8	<9	4	2	0	3	basis	9	14	1	4	niet_basis	2	6	1	0	analyse	8	8	0	5	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi63609	1	1	19	9	2	11	10-14	19	9	2	16	15-21	4	1	1	4	basis	15	8	1	12	niet_basis	7	2	0	6	analyse	8	6	2	6	algebra	1	1	0	1	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi49619	1	0	10	15	5	3	<6	10	15	5	5	<9	4	2	0	3	basis	6	13	5	2	niet_basis	3	6	0	1	analyse	6	6	4	4	algebra	1	0	1	1	meetkunde	0	2	0	0	kansrekenen	0	1	0	0	logica
19hi27057	1	0	11	17	2	4	<6	11	17	2	5	<9	2	4	0	1	basis	9	13	2	5	niet_basis	5	3	1	4	analyse	4	11	1	0	algebra	1	1	0	1	meetkunde	0	2	0	0	kansrekenen	1	0	0	1	logica
19hi75962	1	1	20	10	0	11	10-14	20	10	0	17	15-21	6	0	0	6	basis	14	10	0	11	niet_basis	7	2	0	6	analyse	10	6	0	8	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi10942	1	1	20	4	6	12	10-14	20	4	6	19	15-21	6	0	0	6	basis	14	4	6	13	niet_basis	7	0	2	7	analyse	11	3	2	10	algebra	1	0	1	1	meetkunde	1	0	1	1	kansrekenen	0	1	0	0	logica
19hi34404	1	1	22	6	2	13	10-14	22	6	2	20	15-21	5	1	0	5	basis	17	5	2	15	niet_basis	6	3	0	5	analyse	13	1	2	13	algebra	1	1	0	1	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi47932	1	0	16	9	5	9	6-9	16	9	5	13	9-14	4	2	0	3	basis	12	7	5	10	niet_basis	6	1	2	6	analyse	7	6	3	5	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi16303	1	1	22	8	0	13	10-14	22	8	0	19	15-21	4	2	0	3	basis	18	6	0	16	niet_basis	8	1	0	8	analyse	11	5	0	9	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi63676	1	0	11	19	0	3	<6	11	19	0	5	<9	3	3	0	2	basis	8	16	0	3	niet_basis	2	7	0	0	analyse	8	8	0	5	algebra	0	2	0	0	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi48409	1	1	22	5	3	14	10-14	22	5	3	20	15-21	5	1	0	5	basis	17	4	3	16	niet_basis	8	1	0	8	analyse	10	3	3	9	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi82754	1	1	20	8	2	12	10-14	20	8	2	17	15-21	6	0	0	6	basis	14	8	2	11	niet_basis	6	2	1	5	analyse	11	5	0	9	algebra	2	0	0	2	meetkunde	1	0	1	1	kansrekenen	0	1	0	0	logica
19hi27395	1	0	12	9	9	6	6-9	12	9	9	9	9-14	5	1	0	5	basis	7	8	9	4	niet_basis	3	1	5	3	analyse	8	4	4	7	algebra	0	2	0	0	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi53143	1	0	12	14	4	5	<6	12	14	4	7	<9	3	3	0	2	basis	9	11	4	5	niet_basis	3	5	1	1	analyse	7	6	3	5	algebra	1	1	0	1	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi93553	1	0	17	9	4	9	6-9	17	9	4	14	9-14	5	1	0	5	basis	12	8	4	9	niet_basis	3	5	1	1	analyse	11	2	3	10	algebra	1	1	0	1	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi25090	1	1	23	5	2	14	10-14	23	5	2	21	15-21	6	0	0	6	basis	17	5	2	15	niet_basis	7	1	1	7	analyse	11	4	1	10	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi11841	1	1	22	8	0	13	10-14	22	8	0	19	15-21	4	2	0	3	basis	18	6	0	16	niet_basis	5	4	0	4	analyse	12	4	0	11	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi93890	1	0	11	15	4	4	<6	11	15	4	6	<9	5	1	0	5	basis	6	14	4	1	niet_basis	4	4	1	3	analyse	5	8	3	2	algebra	2	0	0	2	meetkunde	0	2	0	0	kansrekenen	0	1	0	0	logica
19hi66689	1	1	21	6	3	13	10-14	21	6	3	19	15-21	6	0	0	6	basis	15	6	3	13	niet_basis	7	1	1	7	analyse	11	3	2	10	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi77704	1	1	20	10	0	11	10-14	20	10	0	17	15-21	6	0	0	6	basis	14	10	0	11	niet_basis	5	4	0	4	analyse	12	4	0	11	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi71010	1	1	21	6	3	13	10-14	21	6	3	19	15-21	5	1	0	5	basis	16	5	3	14	niet_basis	4	4	1	3	analyse	13	1	2	13	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi25727	1	1	21	5	4	13	10-14	21	5	4	19	15-21	5	1	0	5	basis	16	4	4	15	niet_basis	7	1	1	7	analyse	11	3	2	10	algebra	1	0	1	1	meetkunde	2	0	0	2	kansrekenen	0	1	0	0	logica
19hi35536	1	1	17	2	11	11	10-14	17	2	11	16	15-21	6	0	0	6	basis	11	2	11	10	niet_basis	6	1	2	6	analyse	10	1	5	10	algebra	1	0	1	1	meetkunde	0	0	2	0	kansrekenen	0	0	1	0	logica
19hi15982	1	0	13	17	0	5	<6	13	17	0	7	<9	6	0	0	6	basis	7	17	0	1	niet_basis	2	7	0	0	analyse	9	7	0	7	algebra	1	1	0	1	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi28359	1	0	11	16	3	4	<6	11	16	3	6	<9	3	3	0	2	basis	8	13	3	4	niet_basis	1	7	1	0	analyse	8	6	2	6	algebra	2	0	0	2	meetkunde	0	2	0	0	kansrekenen	0	1	0	0	logica
19hi39095	1	1	20	7	3	12	10-14	20	7	3	18	15-21	6	0	0	6	basis	14	7	3	12	niet_basis	6	3	0	5	analyse	12	1	3	12	algebra	1	1	0	1	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi95212	1	1	23	7	0	14	10-14	23	7	0	21	15-21	5	1	0	5	basis	18	6	0	16	niet_basis	7	2	0	6	analyse	12	4	0	11	algebra	1	1	0	1	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi85792	1	1	18	4	8	11	10-14	18	4	8	17	15-21	5	0	1	5	basis	13	4	7	12	niet_basis	6	0	3	6	analyse	11	3	2	10	algebra	1	0	1	1	meetkunde	0	0	2	0	kansrekenen	0	1	0	0	logica
19hi83682	1	1	27	3	0	17	>14	27	3	0	26	>=22	6	0	0	6	basis	21	3	0	20	niet_basis	7	2	0	6	analyse	15	1	0	15	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi63265	1	1	20	10	0	11	10-14	20	10	0	17	15-21	5	1	0	5	basis	15	9	0	12	niet_basis	6	3	0	5	analyse	12	4	0	11	algebra	1	1	0	1	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi44510	1	1	25	5	0	16	>14	25	5	0	23	>=22	6	0	0	6	basis	19	5	0	17	niet_basis	6	3	0	5	analyse	14	2	0	13	algebra	2	0	0	2	meetkunde	2	0	0	2	kansrekenen	1	0	0	1	logica
19hi58790	1	1	20	4	6	12	10-14	20	4	6	19	15-21	6	0	0	6	basis	14	4	6	13	niet_basis	7	0	2	7	analyse	10	3	3	9	algebra	1	0	1	1	meetkunde	1	1	0	1	kansrekenen	1	0	0	1	logica
19hi90954	1	1	19	11	0	10	10-14	19	11	0	15	15-21	6	0	0	6	basis	13	11	0	9	niet_basis	5	4	0	4	analyse	11	5	0	9	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	0	1	0	0	logica
19hi48207	1	1	22	8	0	13	10-14	22	8	0	19	15-21	6	0	0	6	basis	16	8	0	13	niet_basis	5	4	0	4	analyse	13	3	0	12	algebra	2	0	0	2	meetkunde	1	1	0	1	kansrekenen	1	0	0	1	logica
