vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	B	200	164	82	1	0	22	164	11	2
2	A	200	184	92	0	0	184	15	0	1
3	D	200	180	90	1	0	1	1	17	180
4	D	200	189	94	0	0	3	8	0	189
5	B	200	165	82	3	1	14	165	15	3
6	D	200	153	76	5	2	2	12	28	153
7	D	200	169	84	8	4	10	6	7	169
8	D	200	131	66	11	5	29	27	2	131
9	A	200	193	96	0	0	193	1	1	5
10	B	200	162	81	15	7	5	162	9	9
11	C	200	109	54	11	5	9	17	109	54
12	D	200	73	36	62	31	29	14	22	73
13	B	200	150	75	28	14	11	150	6	5
14	C	200	185	92	1	0	8	5	185	1
15	B	200	77	38	7	3	96	77	14	6
16	B	200	105	52	33	16	9	105	19	34
17	A	200	122	61	21	10	122	16	21	20
18	A	200	117	58	12	6	117	36	27	8
19	D	200	140	70	14	7	2	20	24	140
20	B	200	92	46	44	22	50	92	6	8
21	C	200	126	63	12	6	13	18	126	31
22	B	200	79	40	43	21	3	79	68	7
23	A	200	118	59	14	7	118	5	14	49
24	B	200	122	61	1	0	66	122	6	5
25	C	200	137	68	7	3	9	46	137	1
26	B	200	62	31	6	3	13	62	116	3
27	C	200	94	47	32	16	5	36	94	33
28	B	200	147	74	6	3	8	147	33	6
29	D	200	136	68	31	15	8	9	16	136
30	B	200	48	24	76	38	17	48	42	17
