ijkID	feedbackCode
32177	19hi10421
32179	19hi65355
32190	19hi84010
32198	19hi68513
32226	19hi66218
32248	19hi27191
32269	19hi57984
32271	19hi25727
32309	19hi83486
32314	19hi39783
32315	19hi92705
32325	19hi58790
32328	19hi54427
32330	19hi70376
32335	19hi67825
32348	19hi11790
32351	19hi57666
32371	19hi90668
32377	19hi65219
33679	19hi59076
32388	19hi63676
33681	19hi42750
32422	19hi98453
32425	19hi79887
33682	19hi64542
32446	19hi86550
32449	19hi48409
32463	19hi12359
32476	19hi12694
32492	19hi94656
32493	19hi90954
32496	19hi63609
32511	19hi44934
32517	19hi95362
32518	19hi17174
32524	19hi23602
32543	19hi48570
32545	19hi98534
32551	19hi60177
32567	19hi19230
32574	19hi28359
32581	19hi48207
32584	19hi53143
32588	19hi44387
32594	19hi36848
32604	19hi99240
32609	19hi41116
32625	19hi58583
33693	19hi38144
32628	19hi87026
32630	19hi16013
32631	19hi18060
32636	19hi94815
32645	19hi22684
32656	19hi71982
32661	19hi10720
32673	19hi12771
32676	19hi97829
32680	19hi69793
32684	19hi85560
32686	19hi82754
32692	19hi17542
32696	19hi28570
32706	19hi59574
32708	19hi93890
32709	19hi44470
32712	19hi98713
32721	19hi47932
32737	19hi44510
32749	19hi33013
32752	19hi39448
32761	19hi91129
32765	19hi18311
32792	19hi16303
32793	19hi68153
33708	19hi77972
32806	19hi54987
32817	19hi24292
32822	19hi77704
32823	19hi17054
33712	19hi19526
32852	19hi30905
32857	19hi91934
32865	19hi96419
32875	19hi80668
32886	19hi92994
33720	19hi41555
32892	19hi32429
33722	19hi17590
33723	19hi22535
32916	19hi28779
32923	19hi39976
32924	19hi14112
32935	19hi49390
32936	19hi18242
32937	19hi32643
32940	19hi21636
32946	19hi23683
32947	19hi10942
32950	19hi95463
32952	19hi23021
32953	19hi12108
33726	19hi20184
32978	19hi34840
32981	19hi57901
32987	19hi58272
32996	19hi11841
32997	19hi75515
32998	19hi46975
33013	19hi16808
33015	19hi49619
33044	19hi49904
33048	19hi79768
33055	19hi97228
33064	19hi20168
33067	19hi85792
33068	19hi29428
33071	19hi73785
33072	19hi21619
33742	19hi49214
33086	19hi38309
33090	19hi44213
33091	19hi41125
33108	19hi18106
33117	19hi62248
33129	19hi71783
33132	19hi41041
33137	19hi45012
33751	19hi39095
33141	19hi78755
33752	19hi75962
33153	19hi18013
33155	19hi52508
33754	19hi44776
33161	19hi43114
33758	19hi29965
33761	19hi35536
33763	19hi23491
33213	19hi92217
33766	19hi26512
33224	19hi72832
33226	19hi20581
33231	19hi64849
33771	19hi45437
33247	19hi74196
33251	19hi73180
33253	19hi61850
33255	19hi53171
33265	19hi27460
33779	19hi39627
33780	19hi59307
33268	19hi70931
33274	19hi89671
33281	19hi64662
33295	19hi85445
33300	19hi32556
33306	19hi72423
33789	19hi87512
33321	19hi33087
33327	19hi12546
33794	19hi58289
33347	19hi50239
33348	19hi15982
33351	19hi24884
33802	19hi58682
33369	19hi70998
33805	19hi72185
33812	19hi84154
33392	19hi39854
33394	19hi75838
33824	19hi55897
33826	19hi93354
33827	19hi89684
33407	19hi52865
33409	19hi25286
33412	19hi35429
33415	19hi27395
33422	19hi10661
33427	19hi55381
33434	19hi54723
33442	19hi11814
33840	19hi48985
33446	19hi12951
33449	19hi80290
33457	19hi95212
33850	19hi13593
33852	19hi58640
33475	19hi23778
33857	19hi11483
33486	19hi46938
33862	19hi36038
33865	19hi47768
33497	19hi37168
33516	19hi77601
33518	19hi69362
33521	19hi99718
33523	19hi89547
33530	19hi14908
33537	19hi66689
33542	19hi63265
33559	19hi93965
33565	19hi93547
33573	19hi86975
33577	19hi24759
33895	19hi70259
33580	19hi25090
33897	19hi83682
33900	19hi36457
33606	19hi93553
33607	19hi68669
33611	19hi78816
33613	19hi22470
33916	19hi34404
33639	19hi15253
33924	19hi47723
33643	19hi45497
33925	19hi69348
33645	19hi56468
33928	19hi35243
33652	19hi80927
33930	19hi27057
33654	19hi73055
33931	19hi71010
33937	19hi48020
33664	19hi32187
33942	19hi35885
