Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33231,hi1596197136AnZLBg5N7UmxrJsTKpWAoFvHvxZh6G,19,A,12,21,8,1,18,21,8,1,5,5,1,0,14,16,7,1,5,6,3,0,11,12,3,1,2,2,0,0,1,1,1,0,0,0,1,0
,,32377,hi1591277210ylxoUfkei1r4vp6Mxk6lxfsG4rrso4,19,A,11,19,6,5,17,19,6,5,6,6,0,0,11,13,6,5,6,6,1,2,10,11,3,2,1,1,0,1,1,1,1,0,0,0,1,0
,,32953,hi1594133700zgVm8O9rIiZEeAjIRTedXBA2G7lKDx,19,A,12,20,8,2,17,20,8,2,5,5,1,0,13,15,7,2,5,6,3,0,9,10,4,2,2,2,0,0,2,2,0,0,0,0,1,0
,,33611,hi1597434337ufwYzGF82Ze4YvNBHOrAPwu7lu4IGU,19,A,14,23,4,3,22,23,4,3,6,6,0,0,16,17,4,3,5,6,3,0,14,14,0,2,2,2,0,0,1,1,0,1,0,0,1,0
,,33213,hi1596110259orIwGBKh7xtJRV33c0xWKJJDj4NMEp,19,A,9,18,12,0,14,18,12,0,6,6,0,0,8,12,12,0,4,5,4,0,8,10,6,0,2,2,0,0,1,1,1,0,0,0,1,0
,,33446,hi1597098815op72U8cL3ld5JBaoxe4tAGtV6l2oOw,19,A,16,26,4,0,25,26,4,0,6,6,0,0,19,20,4,0,8,8,1,0,12,13,3,0,2,2,0,0,2,2,0,0,1,1,0,0
,,33824,hi1596991411VtDo4RQRhPxqb6CaHqUg1xk0qRqy4S,19,A,10,18,8,4,15,18,8,4,3,4,2,0,12,14,6,4,5,6,2,1,6,8,5,3,2,2,0,0,1,1,1,0,1,1,0,0
,,32476,hi1591552550inY0hOivbSJBGl9fEH1aEOM86NuzCC,19,A,12,21,9,0,18,21,9,0,6,6,0,0,12,15,9,0,5,6,3,0,8,10,6,0,2,2,0,0,2,2,0,0,1,1,0,0
,,32692,hi15927654935J0jV5UlrdS0sy9ImF8Cmu7gQoBaem,19,A,10,19,11,0,15,19,11,0,5,5,1,0,11,14,10,0,2,4,5,0,8,10,6,0,2,2,0,0,2,2,0,0,1,1,0,0
,,33937,hi1597515995352fC0UtxuSrCQ3OUWmJKs0HR8BO0T,19,A,7,14,11,5,10,14,11,5,6,6,0,0,4,8,11,5,1,3,5,1,7,8,4,4,2,2,0,0,1,1,1,0,0,0,1,0
,,32680,hi1592676783aVvpmhGmAs1EjVeG3YvhIetUbT53ZR,19,A,16,25,5,0,23,25,5,0,5,5,1,0,19,20,4,0,5,6,3,0,15,15,1,0,2,2,0,0,2,2,0,0,0,0,1,0
,,32823,hi1593511603jKyyFd7Rf7ineZ974FaPiSMB5rDhWd,19,A,7,15,15,0,10,15,15,0,5,5,1,0,5,10,14,0,4,5,4,0,7,9,7,0,0,0,2,0,1,1,1,0,0,0,1,0
,,32656,hi1592425057EJw6TmKX25qieIfcjV6hFeiRl6LrU3,19,A,12,21,9,0,18,21,9,0,6,6,0,0,12,15,9,0,2,4,5,0,12,13,3,0,2,2,0,0,1,1,1,0,1,1,0,0
,,32567,hi1591875104GLr68HeZrAFpoCxCoTED3U8Lydn5xK,19,A,9,17,10,3,14,17,10,3,3,4,2,0,10,13,8,3,6,7,2,0,6,8,5,3,2,2,0,0,0,0,2,0,0,0,1,0
,,33247,hi1596275518TpVrZdeCpiwnAvuaIEU3cf505SG1pZ,19,A,5,13,16,1,8,13,16,1,3,4,2,0,4,9,14,1,0,2,6,1,5,8,8,0,2,2,0,0,1,1,1,0,0,0,1,0
,,32496,hi15916176369I0s05KwocnkHGuAzKMGdJ2tnvljjv,19,A,11,19,9,2,16,19,9,2,4,4,1,1,12,15,8,1,6,7,2,0,6,8,6,2,1,1,1,0,2,2,0,0,1,1,0,0
,,33015,hi1594585204Fa7TwDBYch2JdmeKs138FzfxK4eRce,19,A,3,10,15,5,5,10,15,5,3,4,2,0,2,6,13,5,1,3,6,0,4,6,6,4,1,1,0,1,0,0,2,0,0,0,1,0
,,33930,hi1597510708EJdwJwB765nivzFrKKSJHNYU24PiFd,19,A,4,11,17,2,5,11,17,2,1,2,4,0,5,9,13,2,4,5,3,1,0,4,11,1,1,1,1,0,0,0,2,0,1,1,0,0
,,33752,hi1595672026xUtaQsrAV0BBiLfwcvb4vCGJMufdZP,19,A,11,20,10,0,17,20,10,0,6,6,0,0,11,14,10,0,6,7,2,0,8,10,6,0,2,2,0,0,1,1,1,0,0,0,1,0
,,32947,hi1594055445mqpzCixYpCkQaXJrd4myHheUatdONt,19,A,12,20,4,6,19,20,4,6,6,6,0,0,13,14,4,6,7,7,0,2,10,11,3,2,1,1,0,1,1,1,0,1,0,0,1,0
,,33916,hi1597483219Db1iNc47YSCgL4BVgdAZsYxHiIBmA0,19,A,13,22,6,2,20,22,6,2,5,5,1,0,15,17,5,2,5,6,3,0,13,13,1,2,1,1,1,0,2,2,0,0,0,0,1,0
,,32721,hi1593005923fcyZ8D2bl6OKdATEHfsPbZ2dGKZkGj,19,A,9,16,9,5,13,16,9,5,3,4,2,0,10,12,7,5,6,6,1,2,5,7,6,3,2,2,0,0,1,1,1,0,0,0,1,0
,,32792,hi15933655461XMSqXkj2ol7gXJo7Jdhzoajb1v6jy,19,A,13,22,8,0,19,22,8,0,3,4,2,0,16,18,6,0,8,8,1,0,9,11,5,0,2,2,0,0,1,1,1,0,0,0,1,0
,,32388,hi1591304657gXmZgjOUbFVxjTd6Gts2FyOTGcnbIc,19,A,3,11,19,0,5,11,19,0,2,3,3,0,3,8,16,0,0,2,7,0,5,8,8,0,0,0,2,0,1,1,1,0,0,0,1,0
,,32449,hi1591459702RO32bLosP980j0y8EMzipY5LGu1FSV,19,A,14,22,5,3,20,22,5,3,5,5,1,0,16,17,4,3,8,8,1,0,9,10,3,3,2,2,0,0,2,2,0,0,0,0,1,0
,,32686,hi1592734208oBrLmIdtURunSyqyMvbrd5skwyfLUa,19,A,12,20,8,2,17,20,8,2,6,6,0,0,11,14,8,2,5,6,2,1,9,11,5,0,2,2,0,0,1,1,0,1,0,0,1,0
,,33415,hi1597054141DMIilu8lmX3fzG8V6JMTwciyACkcqk,19,A,6,12,9,9,9,12,9,9,5,5,1,0,4,7,8,9,3,3,1,5,7,8,4,4,0,0,2,0,1,1,1,0,0,0,1,0
,,32584,hi1591984443gA8sII4UdPhEmUNJpzxttVhny1wCxp,19,A,5,12,14,4,7,12,14,4,2,3,3,0,5,9,11,4,1,3,5,1,5,7,6,3,1,1,1,0,1,1,1,0,0,0,1,0
