ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	logicaJuist	logicaFout	logicaBlanco	logicaScore
33231	1	1	21	8	1	12	21	8	1	18	5	1	0	5	16	7	1	14	6	3	0	5	12	3	1	11	2	0	0	2	1	1	0	1	0	1	0	0
32377	1	1	19	6	5	11	19	6	5	17	6	0	0	6	13	6	5	11	6	1	2	6	11	3	2	10	1	0	1	1	1	1	0	1	0	1	0	0
32953	1	1	20	8	2	12	20	8	2	17	5	1	0	5	15	7	2	13	6	3	0	5	10	4	2	9	2	0	0	2	2	0	0	2	0	1	0	0
33611	1	1	23	4	3	14	23	4	3	22	6	0	0	6	17	4	3	16	6	3	0	5	14	0	2	14	2	0	0	2	1	0	1	1	0	1	0	0
33213	1	0	18	12	0	9	18	12	0	14	6	0	0	6	12	12	0	8	5	4	0	4	10	6	0	8	2	0	0	2	1	1	0	1	0	1	0	0
33446	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	1	0	0	1
33824	1	1	18	8	4	10	18	8	4	15	4	2	0	3	14	6	4	12	6	2	1	5	8	5	3	6	2	0	0	2	1	1	0	1	1	0	0	1
32476	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	6	3	0	5	10	6	0	8	2	0	0	2	2	0	0	2	1	0	0	1
32692	1	1	19	11	0	10	19	11	0	15	5	1	0	5	14	10	0	11	4	5	0	2	10	6	0	8	2	0	0	2	2	0	0	2	1	0	0	1
33937	1	0	14	11	5	7	14	11	5	10	6	0	0	6	8	11	5	4	3	5	1	1	8	4	4	7	2	0	0	2	1	1	0	1	0	1	0	0
32680	1	1	25	5	0	16	25	5	0	23	5	1	0	5	20	4	0	19	6	3	0	5	15	1	0	15	2	0	0	2	2	0	0	2	0	1	0	0
32823	1	0	15	15	0	7	15	15	0	10	5	1	0	5	10	14	0	5	5	4	0	4	9	7	0	7	0	2	0	0	1	1	0	1	0	1	0	0
32656	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	4	5	0	2	13	3	0	12	2	0	0	2	1	1	0	1	1	0	0	1
32567	1	0	17	10	3	9	17	10	3	14	4	2	0	3	13	8	3	10	7	2	0	6	8	5	3	6	2	0	0	2	0	2	0	0	0	1	0	0
33247	1	0	13	16	1	5	13	16	1	8	4	2	0	3	9	14	1	4	2	6	1	0	8	8	0	5	2	0	0	2	1	1	0	1	0	1	0	0
32496	1	1	19	9	2	11	19	9	2	16	4	1	1	4	15	8	1	12	7	2	0	6	8	6	2	6	1	1	0	1	2	0	0	2	1	0	0	1
33015	1	0	10	15	5	3	10	15	5	5	4	2	0	3	6	13	5	2	3	6	0	1	6	6	4	4	1	0	1	1	0	2	0	0	0	1	0	0
33930	1	0	11	17	2	4	11	17	2	5	2	4	0	1	9	13	2	5	5	3	1	4	4	11	1	0	1	1	0	1	0	2	0	0	1	0	0	1
33752	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	7	2	0	6	10	6	0	8	2	0	0	2	1	1	0	1	0	1	0	0
32947	1	1	20	4	6	12	20	4	6	19	6	0	0	6	14	4	6	13	7	0	2	7	11	3	2	10	1	0	1	1	1	0	1	1	0	1	0	0
33916	1	1	22	6	2	13	22	6	2	20	5	1	0	5	17	5	2	15	6	3	0	5	13	1	2	13	1	1	0	1	2	0	0	2	0	1	0	0
32721	1	0	16	9	5	9	16	9	5	13	4	2	0	3	12	7	5	10	6	1	2	6	7	6	3	5	2	0	0	2	1	1	0	1	0	1	0	0
32792	1	1	22	8	0	13	22	8	0	19	4	2	0	3	18	6	0	16	8	1	0	8	11	5	0	9	2	0	0	2	1	1	0	1	0	1	0	0
32388	1	0	11	19	0	3	11	19	0	5	3	3	0	2	8	16	0	3	2	7	0	0	8	8	0	5	0	2	0	0	1	1	0	1	0	1	0	0
32449	1	1	22	5	3	14	22	5	3	20	5	1	0	5	17	4	3	16	8	1	0	8	10	3	3	9	2	0	0	2	2	0	0	2	0	1	0	0
32686	1	1	20	8	2	12	20	8	2	17	6	0	0	6	14	8	2	11	6	2	1	5	11	5	0	9	2	0	0	2	1	0	1	1	0	1	0	0
33415	1	0	12	9	9	6	12	9	9	9	5	1	0	5	7	8	9	4	3	1	5	3	8	4	4	7	0	2	0	0	1	1	0	1	0	1	0	0
32584	1	0	12	14	4	5	12	14	4	7	3	3	0	2	9	11	4	5	3	5	1	1	7	6	3	5	1	1	0	1	1	1	0	1	0	1	0	0
33606	1	0	17	9	4	9	17	9	4	14	5	1	0	5	12	8	4	9	3	5	1	1	11	2	3	10	1	1	0	1	2	0	0	2	0	1	0	0
33580	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	7	1	1	7	11	4	1	10	2	0	0	2	2	0	0	2	1	0	0	1
32996	1	1	22	8	0	13	22	8	0	19	4	2	0	3	18	6	0	16	5	4	0	4	12	4	0	11	2	0	0	2	2	0	0	2	1	0	0	1
32708	1	0	11	15	4	4	11	15	4	6	5	1	0	5	6	14	4	1	4	4	1	3	5	8	3	2	2	0	0	2	0	2	0	0	0	1	0	0
33537	1	1	21	6	3	13	21	6	3	19	6	0	0	6	15	6	3	13	7	1	1	7	11	3	2	10	2	0	0	2	1	1	0	1	0	1	0	0
32822	1	1	20	10	0	11	20	10	0	17	6	0	0	6	14	10	0	11	5	4	0	4	12	4	0	11	2	0	0	2	1	1	0	1	0	1	0	0
33931	1	1	21	6	3	13	21	6	3	19	5	1	0	5	16	5	3	14	4	4	1	3	13	1	2	13	2	0	0	2	2	0	0	2	0	1	0	0
32271	1	1	21	5	4	13	21	5	4	19	5	1	0	5	16	4	4	15	7	1	1	7	11	3	2	10	1	0	1	1	2	0	0	2	0	1	0	0
33761	1	1	17	2	11	11	17	2	11	16	6	0	0	6	11	2	11	10	6	1	2	6	10	1	5	10	1	0	1	1	0	0	2	0	0	0	1	0
33348	1	0	13	17	0	5	13	17	0	7	6	0	0	6	7	17	0	1	2	7	0	0	9	7	0	7	1	1	0	1	1	1	0	1	0	1	0	0
32574	1	0	11	16	3	4	11	16	3	6	3	3	0	2	8	13	3	4	1	7	1	0	8	6	2	6	2	0	0	2	0	2	0	0	0	1	0	0
33751	1	1	20	7	3	12	20	7	3	18	6	0	0	6	14	7	3	12	6	3	0	5	12	1	3	12	1	1	0	1	1	1	0	1	0	1	0	0
33457	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	7	2	0	6	12	4	0	11	1	1	0	1	2	0	0	2	1	0	0	1
33067	1	1	18	4	8	11	18	4	8	17	5	0	1	5	13	4	7	12	6	0	3	6	11	3	2	10	1	0	1	1	0	0	2	0	0	1	0	0
33897	1	1	27	3	0	17	27	3	0	26	6	0	0	6	21	3	0	20	7	2	0	6	15	1	0	15	2	0	0	2	2	0	0	2	1	0	0	1
33542	1	1	20	10	0	11	20	10	0	17	5	1	0	5	15	9	0	12	6	3	0	5	12	4	0	11	1	1	0	1	1	1	0	1	0	1	0	0
32737	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	6	3	0	5	14	2	0	13	2	0	0	2	2	0	0	2	1	0	0	1
32325	1	1	20	4	6	12	20	4	6	19	6	0	0	6	14	4	6	13	7	0	2	7	10	3	3	9	1	0	1	1	1	1	0	1	1	0	0	1
32493	1	1	19	11	0	10	19	11	0	15	6	0	0	6	13	11	0	9	5	4	0	4	11	5	0	9	2	0	0	2	1	1	0	1	0	1	0	0
32581	1	1	22	8	0	13	22	8	0	19	6	0	0	6	16	8	0	13	5	4	0	4	13	3	0	12	2	0	0	2	1	1	0	1	1	0	0	1
33224	1	1	18	8	4	10	18	8	4	15	4	2	0	3	14	6	4	12	6	2	1	5	11	3	2	10	1	1	0	1	0	1	1	0	0	1	0	0
32765	1	1	21	9	0	12	21	9	0	18	4	2	0	3	17	7	0	15	8	1	0	8	11	5	0	9	1	1	0	1	1	1	0	1	0	1	0	0
33518	1	1	20	5	5	12	20	5	5	18	6	0	0	6	14	5	5	12	6	2	1	5	11	2	3	10	1	0	1	1	1	1	0	1	1	0	0	1
32248	1	1	21	3	6	13	21	3	6	20	6	0	0	6	15	3	6	14	6	0	3	6	11	2	3	10	2	0	0	2	2	0	0	2	0	1	0	0
33281	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	9	0	0	9	10	4	2	9	2	0	0	2	2	0	0	2	0	1	0	0
33664	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	1	0	0	1
32673	1	0	16	10	4	8	16	10	4	13	6	0	0	6	10	10	4	7	3	6	0	1	10	2	4	9	2	0	0	2	1	1	0	1	0	1	0	0
33090	1	0	13	10	7	6	13	10	7	10	3	3	0	2	10	7	7	8	7	0	2	7	4	7	5	2	2	0	0	2	0	2	0	0	0	1	0	0
