"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,32177,"hi1590994007m8PFKOXaPoHbR4Uvomj2TKu3eFjqRc",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32179,"hi1590995567C5Gkh8lFFlEfsba8rZhQAWEgnen5Rd",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32190,"hi1591003709OT46oaw3JTksokBu9Th3C3voAC009P",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32198,"hi1591008869KRQ8tTfkN19KM7dkYRZLddaNUio6uT",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32226,"hi1591015706OaHqYx91VV5lDBwyrZ5qkWhtwada9Z",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32248,"hi1591025240fndyormFEz8x7XWdg7RWUSYrkFfXyy",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32269,"hi1591045175tZPmfkP3EAJfOTYV8p2fRkqD3Q2mNO",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32271,"hi1591046472EHQA3xHmICIT31uVfrsz1TEfdSd01q",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32309,"hi1591114102EODfCGbhvSOp6fXHvhOTLjv5SED4Rm",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32314,"hi15911203961Uf6BjOVTuhZYse4bexcmMHK9KVtd0",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32315,"hi1591121865GT43xyoBAeAteUronXsF6ADnMhuSdF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32325,"hi1591145085lRgCNyzwit5F95yFwX87K8tNxJVnKQ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32328,"hi1591165807fSanGg32w9MdwmwtyjowP3fVMPBtKb",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32330,"hi1591170860vmkhEA03rYf6UOceuxVkOs53vPdjTS",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32335,"hi15911739390b4ulE8kyaoY54LM9dQjCi7vUe7XSh",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32348,"hi15911916803cGrWfm2yBzZSWcVhWjP1xsbGNQCWG",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
