scoreNaam	groepLabel	kleur	aantal
totaal	<6	rgb(255,140,0)	14
totaal	6-9	rgb(255,215,0)	28
totaal	10-14	rgb(144,238,144)	34
totaal	>14	rgb(21, 132, 21)	24
wiskunde	<9	rgb(255,140,0)	16
wiskunde	9-14	rgb(255,215,0)	26
wiskunde	15-21	rgb(144,238,144)	32
wiskunde	>=22	rgb(21, 132, 21)	26
basis	basis	rgb(255,215,0)	100
niet_basis	niet_basis	rgb(255,215,0)	100
analyse	analyse	rgb(255,215,0)	100
algebra	algebra	rgb(255,215,0)	100
meetkunde	meetkunde	rgb(255,215,0)	100
kansrekenen	kansrekenen	rgb(255,215,0)	100
