feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	basisJuist	basisFout	basisBlanco	basisScore	basisGroep	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	niet_basisGroep	analyseJuist	analyseFout	analyseBlanco	analyseScore	analyseGroep	algebraJuist	algebraFout	algebraBlanco	algebraScore	algebraGroep	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	meetkundeGroep	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	kansrekenenGroep
19hw15215	1	0	12	17	1	4	<6	12	17	1	6	<9	3	2	1	2	basis	9	15	0	4	niet_basis	3	6	0	1	analyse	5	10	1	2	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw89339	1	0	16	14	0	8	6-9	16	14	0	11	9-14	4	2	0	3	basis	12	12	0	8	niet_basis	7	2	0	6	analyse	8	8	0	5	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw55335	1	1	26	3	1	17	>14	26	3	1	25	>=22	6	0	0	6	basis	20	3	1	19	niet_basis	7	2	0	6	analyse	14	1	1	14	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw80727	1	0	18	12	0	9	6-9	18	12	0	14	9-14	3	3	0	2	basis	15	9	0	12	niet_basis	7	2	0	6	analyse	10	6	0	8	algebra	1	3	0	0	meetkunde	0	1	0	0	kansrekenen
19hw84790	1	1	19	9	2	11	10-14	19	9	2	16	15-21	3	3	0	2	basis	16	6	2	14	niet_basis	4	5	0	2	analyse	12	2	2	11	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw64447	1	1	23	7	0	14	10-14	23	7	0	21	15-21	5	1	0	5	basis	18	6	0	16	niet_basis	5	4	0	4	analyse	13	3	0	12	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw24319	1	0	14	10	6	7	6-9	14	10	6	11	9-14	3	2	1	2	basis	11	8	5	8	niet_basis	3	4	2	2	analyse	7	5	4	5	algebra	3	1	0	3	meetkunde	1	0	0	1	kansrekenen
19hw70400	1	0	11	17	2	4	<6	11	17	2	5	<9	1	3	2	0	basis	10	14	0	5	niet_basis	3	5	1	1	analyse	8	8	0	5	algebra	0	3	1	0	meetkunde	0	1	0	0	kansrekenen
19hw49833	1	0	17	13	0	8	6-9	17	13	0	13	9-14	4	2	0	3	basis	13	11	0	9	niet_basis	4	5	0	2	analyse	10	6	0	8	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
19hw53289	1	1	30	0	0	20	>14	30	0	0	30	>=22	6	0	0	6	basis	24	0	0	24	niet_basis	9	0	0	9	analyse	16	0	0	16	algebra	4	0	0	4	meetkunde	1	0	0	1	kansrekenen
19hw63124	1	1	22	7	1	13	10-14	22	7	1	20	15-21	4	2	0	3	basis	18	5	1	16	niet_basis	7	2	0	6	analyse	13	2	1	12	algebra	1	3	0	0	meetkunde	1	0	0	1	kansrekenen
19hw89146	1	0	18	12	0	9	6-9	18	12	0	14	9-14	5	1	0	5	basis	13	11	0	9	niet_basis	5	4	0	4	analyse	10	6	0	8	algebra	2	2	0	1	meetkunde	1	0	0	1	kansrekenen
