ijkID	feedbackCode
32180	19hw89568
32181	19hw97659
32182	19hw80450
32189	19hw81038
32193	19hw53093
32203	19hw66376
32209	19hw31799
32244	19hw79204
32266	19hw43800
32273	19hw95853
32289	19hw89569
32290	19hw60254
32295	19hw82521
32318	19hw88727
32326	19hw81718
32334	19hw97271
32337	19hw57763
32349	19hw42136
32350	19hw63779
32368	19hw23045
32376	19hw55514
32413	19hw73893
32431	19hw40065
32448	19hw64542
32451	19hw38790
32453	19hw71952
32454	19hw67354
32473	19hw33429
32483	19hw73005
32541	19hw47131
32546	19hw36460
32549	19hw91600
33688	19hw70400
32573	19hw48361
32575	19hw41970
32601	19hw49833
32621	19hw87308
32641	19hw60095
33697	19hw26581
32649	19hw53289
32670	19hw21482
32690	19hw47635
32695	19hw42052
32700	19hw12391
33701	19hw22905
32723	19hw54920
32732	19hw84106
32744	19hw89858
32750	19hw69396
32764	19hw52846
32771	19hw57412
32794	19hw89024
32818	19hw89339
32819	19hw73213
32820	19hw79529
32827	19hw62801
32842	19hw49857
32846	19hw81467
32867	19hw19149
32869	19hw30044
32879	19hw79083
32881	19hw80727
32907	19hw95241
32909	19hw13755
32918	19hw86437
32932	19hw34116
32958	19hw10119
32975	19hw56748
33001	19hw78300
33002	19hw46311
33034	19hw51045
33035	19hw56111
33740	19hw23809
33112	19hw49189
33114	19hw59231
33125	19hw51752
33748	19hw76356
33166	19hw17123
33187	19hw16745
33190	19hw66358
33208	19hw84790
33218	19hw58713
33767	19hw28134
33220	19hw27005
33258	19hw61845
33282	19hw48114
33785	19hw24209
33353	19hw62399
33798	19hw54876
33799	19hw99442
33361	19hw89257
33803	19hw92398
33387	19hw15215
33389	19hw73259
33390	19hw24319
33395	19hw85370
33411	19hw63086
33418	19hw93990
33837	19hw63124
33838	19hw78852
33841	19hw21409
33451	19hw97554
33453	19hw70071
33485	19hw62777
33496	19hw10162
33503	19hw89146
33532	19hw83208
33536	19hw38199
33544	19hw48286
33550	19hw63399
33888	19hw59294
33590	19hw97491
33591	19hw38076
33595	19hw55067
33599	19hw96442
33618	19hw76485
33621	19hw61143
33628	19hw77282
33631	19hw74863
33926	19hw83646
33647	19hw63736
33927	19hw75797
33929	19hw64447
33935	19hw55335
33662	19hw62543
