key	value
toetsCode	hw
toetsSessie	19
aantalVragen	30
aantalAlternatieven	4
totaal-maxScore	20
wiskunde-maxScore	30
basis-maxScore	6
niet_basis-maxScore	24
analyse-maxScore	9
algebra-maxScore	16
meetkunde-maxScore	4
kansrekenen-maxScore	1
subScores	totaal|wiskunde|basis|niet_basis|analyse|algebra|meetkunde|kansrekenen
metascores	
totaal-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
wiskunde-vragen	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
basis-vragen	1|2|3|4|5|6
niet_basis-vragen	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30
analyse-vragen	1|9|13|15|19|21|24|27|29
algebra-vragen	2|3|4|6|8|10|12|14|16|17|20|22|23|26|28|30
meetkunde-vragen	5|11|18|25
kansrekenen-vragen	7
