ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
33387	1	B	X	D	A	B	B	D	B	D	A	B	C	B	B	B	C	C	D	B	D	D	D	A	C	A	B	B	A	A	B
32818	1	B	A	D	A	A	D	C	C	A	C	B	D	A	C	B	B	A	C	C	A	D	D	C	C	B	A	A	A	B	B
33935	1	B	A	D	D	B	D	D	D	A	D	B	B	A	C	B	B	A	A	C	C	D	D	X	B	A	C	A	B	A	B
32881	1	A	A	C	D	D	D	C	D	C	D	B	A	A	D	B	B	A	C	C	D	D	D	B	B	D	B	A	A	A	B
33208	1	C	A	D	D	C	C	D	D	C	B	B	B	B	C	B	X	A	D	A	X	D	D	A	C	A	B	C	B	B	B
33929	1	B	B	D	D	B	D	D	D	D	D	B	B	A	C	A	C	A	A	A	A	D	D	A	B	A	B	A	B	A	B
33390	1	B	X	D	B	C	D	D	B	A	C	B	X	B	C	B	X	B	A	B	C	X	X	A	A	A	B	X	B	B	C
33688	1	X	B	D	A	X	A	C	A	A	D	D	B	C	C	B	B	A	B	C	C	D	B	C	C	B	B	B	C	C	A
32601	1	B	B	D	B	B	D	D	B	A	D	A	B	A	C	B	B	C	A	B	C	C	A	A	C	D	B	B	B	B	C
32649	1	B	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	A	A	C	C	D	D	A	B	A	B	A	B	B	B
33837	1	B	A	D	D	A	B	D	D	A	D	D	B	A	C	B	X	A	B	C	C	D	D	B	C	A	B	A	B	B	B
33503	1	C	A	D	D	B	D	D	D	C	D	B	B	A	C	B	B	C	B	A	D	B	B	B	B	C	C	C	B	B	C
33841	1	B	B	D	D	C	C	D	D	A	C	B	B	A	C	B	D	A	D	B	A	D	D	C	B	A	A	A	A	D	D
33389	1	A	B	C	D	B	A	D	D	C	D	B	B	A	B	B	B	A	A	C	C	D	D	D	B	A	B	A	A	A	X
33218	1	B	A	D	D	C	B	D	D	X	X	B	B	A	C	B	B	D	A	C	C	D	D	A	B	A	B	A	B	B	B
33767	1	B	A	D	D	C	D	D	D	C	D	B	B	A	C	B	B	D	A	C	C	D	D	A	B	A	B	A	B	B	B
33926	1	B	A	D	D	B	D	D	D	C	D	B	B	B	C	B	B	D	A	A	D	D	D	A	B	A	B	B	B	A	B
33697	1	A	A	C	D	C	D	D	D	C	A	B	B	B	C	B	B	D	B	C	C	D	A	A	B	A	B	A	A	A	B
32266	1	B	A	D	D	B	D	D	D	C	D	B	B	A	B	B	C	D	A	B	A	D	B	B	D	A	B	A	B	A	B
