Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33387,hw159691638460q4H7NGNbtdFQVvoolnJ3xeYhrey2,19,A,4,12,17,1,6,12,17,1,2,3,2,1,4,9,15,0,1,3,6,0,2,5,10,1,3,3,1,0,1,1,0,0,,,,
,,32818,hw1593461287A4gkhq4tKR8RiFlkjWjEnTTmGUApky,19,A,8,16,14,0,11,16,14,0,3,4,2,0,8,12,12,0,6,7,2,0,5,8,8,0,0,1,3,0,0,0,1,0,,,,
,,33935,hw15975126590cLOm43JKHInQtv9NOyJnXrA7u26QC,19,A,17,26,3,1,25,26,3,1,6,6,0,0,19,20,3,1,6,7,2,0,14,14,1,1,4,4,0,0,1,1,0,0,,,,
,,32881,hw1593704676LXPwHx3vztntJztUfLX0xUuAqewOGz,19,A,9,18,12,0,14,18,12,0,2,3,3,0,12,15,9,0,6,7,2,0,8,10,6,0,0,1,3,0,0,0,1,0,,,,
,,33208,hw1596069709lagd0JNHkTQvPPEDRN2jNBYca8PYCl,19,A,11,19,9,2,16,19,9,2,2,3,3,0,14,16,6,2,2,4,5,0,11,12,2,2,1,2,2,0,1,1,0,0,,,,
,,33929,hw15975091999TSdRhQK9Tb3dWSn7L76NNX90VteZM,19,A,14,23,7,0,21,23,7,0,5,5,1,0,16,18,6,0,4,5,4,0,12,13,3,0,4,4,0,0,1,1,0,0,,,,
,,33390,hw1596968060oAGE0eeau8CaMU0y7J7OQ4alDBDBeZ,19,A,7,14,10,6,11,14,10,6,2,3,2,1,8,11,8,5,2,3,4,2,5,7,5,4,3,3,1,0,1,1,0,0,,,,
,,33688,hw1591884589c75QrK75zbOnm9fTzZrHvBZwoPejVf,19,A,4,11,17,2,5,11,17,2,0,1,3,2,5,10,14,0,1,3,5,1,5,8,8,0,0,0,3,1,0,0,1,0,,,,
,,32601,hw15921269075D6vO0gKRV0KCEdRx11bR6wZd6OCJF,19,A,8,17,13,0,13,17,13,0,3,4,2,0,9,13,11,0,2,4,5,0,8,10,6,0,1,2,2,0,1,1,0,0,,,,
,,32649,hw159240644442YwmV80fB7DoQ3103xL89hhbCtN88,19,A,20,30,0,0,30,30,0,0,6,6,0,0,24,24,0,0,9,9,0,0,16,16,0,0,4,4,0,0,1,1,0,0,,,,
,,33837,hw1597073248iIAtPf0h2xX9qYCdNVLk57cyVCFL7K,19,A,13,22,7,1,20,22,7,1,3,4,2,0,16,18,5,1,6,7,2,0,12,13,2,1,0,1,3,0,1,1,0,0,,,,
,,33503,hw1597310349ryzwFzm9Zs10yTgMVjCkpOFnT9Gh44,19,A,9,18,12,0,14,18,12,0,5,5,1,0,9,13,11,0,4,5,4,0,8,10,6,0,1,2,2,0,1,1,0,0,,,,
,,33841,hw1597089054cAszy5S4sq4HisGXaQgdjx1a2xfVes,19,A,8,16,14,0,11,16,14,0,2,3,3,0,9,13,11,0,5,6,3,0,4,7,9,0,1,2,2,0,1,1,0,0,,,,
,,33389,hw1596967527SdJkWaEc4YXty1T7mY8hQbka2jK664,19,A,12,21,8,1,18,21,8,1,1,2,4,0,18,19,4,1,6,7,2,0,7,9,6,1,4,4,0,0,1,1,0,0,,,,
,,33218,hw1596129447L5LtL00ie6Jc8MbQYFottv79M3M6w7,19,A,16,25,3,2,24,25,3,2,3,4,2,0,21,21,1,2,8,8,0,1,12,13,2,1,3,3,1,0,1,1,0,0,,,,
,,33767,hw1596129802jklGJSl7QYI3NJn5MhnyzxXQBLKV03,19,A,18,28,2,0,27,28,2,0,5,5,1,0,23,23,1,0,9,9,0,0,15,15,1,0,3,3,1,0,1,1,0,0,,,,
,,33926,hw1597501932ryGxbxiCWoyJRtXRU7qUHeHrt66VDH,19,A,15,24,6,0,22,24,6,0,6,6,0,0,16,18,6,0,4,5,4,0,13,14,2,0,4,4,0,0,1,1,0,0,,,,
,,33697,hw1592399422pfMwR7gWoqeBUapfR0BxIs70xFGmbZ,19,A,11,20,10,0,17,20,10,0,2,3,3,0,15,17,7,0,5,6,3,0,9,11,5,0,1,2,2,0,1,1,0,0,,,,
,,32266,hw1591041611Z3fiWsQQfjLgYHTazHmBgma1Nxtz8J,19,A,12,21,9,0,18,21,9,0,6,6,0,0,12,15,9,0,5,6,3,0,8,10,6,0,4,4,0,0,1,1,0,0,,,,
,,33418,hw1597059255mpKIguKlFx8T048CeMDKvsaIuYOGdl,19,A,6,14,13,3,10,14,13,3,2,3,3,0,8,11,10,3,6,7,2,0,2,5,8,3,1,2,2,0,0,0,1,0,,,,
,,32621,hw1592211205wvIZM3uMQHcBaPiPsPV924i3O2ZoN5,19,A,16,25,5,0,23,25,5,0,5,5,1,0,19,20,4,0,9,9,0,0,11,12,4,0,3,3,1,0,1,1,0,0,,,,
,,33888,hw1597403462vObeAfsQGjMTOCfqGNuhdUlWmm9p5V,19,A,6,14,15,1,9,14,15,1,2,3,3,0,7,11,12,1,2,4,5,0,4,7,8,1,1,2,2,0,1,1,0,0,,,,
,,33035,hw15947478728QOXOmKwig5q6BObJu3QCFGjsVG8fv,19,A,13,22,8,0,19,22,8,0,3,4,2,0,16,18,6,0,6,7,2,0,11,12,4,0,1,2,2,0,1,1,0,0,,,,
,,32827,hw1593517042YZ3DocUB24izQqzYKqqg3ksMo75cJN,19,A,14,23,7,0,21,23,7,0,3,4,2,0,17,19,5,0,6,7,2,0,11,12,4,0,3,3,1,0,1,1,0,0,,,,
,,32193,hw1591005216OOE4zNsCjaHwgYGPEWfbo7HgPXj5j9,19,A,16,26,4,0,25,26,4,0,3,4,2,0,21,22,2,0,8,8,1,0,13,14,2,0,3,3,1,0,1,1,0,0,,,,
,,32732,hw1593073319aFM5mr9HrtHPE9ywPjbIfGXG8rUcdK,19,A,3,10,16,4,5,10,16,4,1,2,3,1,4,8,13,3,5,6,3,0,0,2,10,4,0,1,3,0,1,1,0,0,,,,
,,33599,hw1597425357Did4O7fYw8SU8mjwRHc5C0JA4wdVAA,19,A,6,12,8,10,9,12,8,10,1,2,3,1,8,10,5,9,2,3,4,2,6,7,3,6,2,2,0,2,0,0,1,0,,,,
,,33647,hw1597503619F7DskGgHOuhZOvlyna3o9a6tJ3M99R,19,A,11,17,2,11,16,17,2,11,5,5,0,1,11,12,2,10,5,5,1,3,9,9,1,6,2,2,0,2,1,1,0,0,,,,
,,33114,hw1595407270hXLflNqhS5gIV5rex920qLOKuX6cbl,19,A,0,5,24,1,0,5,24,1,0,1,5,0,0,4,19,1,0,1,7,1,0,3,13,0,0,0,4,0,1,1,0,0,,,,
,,33785,hw1596470081IaQDcUI59OTVqWsH0miEgBccIyTaPA,19,A,16,25,5,0,23,25,5,0,3,4,2,0,20,21,3,0,6,7,2,0,13,14,2,0,4,4,0,0,0,0,1,0,,,,
,,33001,hw1594430925eSGqAAvsHv0g6a8Fi0mHgg2dJLUGgu,19,A,7,15,15,0,10,15,15,0,1,2,4,0,9,13,11,0,2,4,5,0,7,9,7,0,1,2,2,0,0,0,1,0,,,,
,,33631,hw1597490453BzSb17mFvRNUcVp84fqtUCiFJzIZNg,19,A,7,15,15,0,10,15,15,0,3,4,2,0,7,11,13,0,6,7,2,0,3,6,10,0,1,2,2,0,0,0,1,0,,,,
,,32349,hw1591194262TZIu9UAHi9CoBDOJhLCwzhNVhvah3Y,19,A,10,18,10,2,15,18,10,2,3,4,2,0,11,14,8,2,4,5,4,0,9,10,4,2,1,2,2,0,1,1,0,0,,,,
,,32181,hw1590998856FdyjESyBGV5QqjlrcTCcHgCnyEF9ah,19,A,8,15,9,6,12,15,9,6,2,3,3,0,10,12,6,6,3,4,4,1,6,7,4,5,3,3,1,0,1,1,0,0,,,,
,,33282,hw1596397265nqCauDyyXip2HJC2TyQAA1Xzj6e7hs,19,A,13,22,8,0,19,22,8,0,5,5,1,0,15,17,7,0,2,4,5,0,13,14,2,0,3,3,1,0,1,1,0,0,,,,
,,32453,hw1591466041msszDmJw0t12jHR0ZYWT1TlJF3JvRL,19,A,14,23,4,3,22,23,4,3,6,6,0,0,16,17,4,3,5,6,3,0,12,12,1,3,4,4,0,0,1,1,0,0,,,,
,,32451,hw1591463750ItWVwlc3cahaJXiPWpbtUEPDAMDKAw,19,A,6,13,10,7,10,13,10,7,2,3,3,0,8,10,7,7,5,6,3,0,4,6,5,5,0,1,2,1,0,0,0,1,,,,
,,32273,hw1591050551uYqjdYfKdrQflx4bHIsTAtS0Zw67IM,19,A,8,16,11,3,12,16,11,3,4,4,1,1,9,12,10,2,2,4,5,0,10,11,2,3,0,0,4,0,1,1,0,0,,,,
,,32334,hw1591173508T04KCDK5s2iU2bDgBdZX7nktMPeVHO,19,A,8,17,13,0,13,17,13,0,2,3,3,0,11,14,10,0,6,7,2,0,8,10,6,0,0,0,4,0,0,0,1,0,,,,
,,33125,hw15954354075lKrYi4xZkX8H6hZNaDwS4c0zGQ30E,19,A,4,12,18,0,6,12,18,0,2,3,3,0,4,9,15,0,1,3,6,0,5,8,8,0,0,0,4,0,1,1,0,0,,,,
,,33748,hw1595491716Ako0rS7uQsYTcgiWLF9M08jQCJ8rZY,19,A,11,19,7,4,17,19,7,4,5,5,1,0,12,14,6,4,4,5,2,2,7,9,5,2,4,4,0,0,1,1,0,0,,,,
,,32483,hw1591596792aNj777Q8dFnjdHIy6cucNWcx2iD2mI,19,A,14,23,5,2,21,23,5,2,5,5,1,0,17,18,4,2,6,7,2,0,11,12,2,2,3,3,1,0,1,1,0,0,,,,
,,33618,hw1597440195o63AUMqzQTpDoOPRW2TvPjYm8Y4gHe,19,A,6,13,14,3,8,13,14,3,3,4,2,0,5,9,12,3,4,5,4,0,4,6,7,3,0,1,3,0,1,1,0,0,,,,
,,33112,hw1595362096UVNsGkfFm2NCLlPAHj2ZfraBzlq8fY,19,A,18,28,2,0,27,28,2,0,6,6,0,0,21,22,2,0,8,8,1,0,15,15,1,0,4,4,0,0,1,1,0,0,,,,
,,32641,hw1592384760B3d6GPTqwtYaS3EPuCDXvT9yt8DNU1,19,A,17,27,3,0,26,27,3,0,6,6,0,0,20,21,3,0,6,7,2,0,15,15,1,0,4,4,0,0,1,1,0,0,,,,
,,32764,hw15932587131wPqnWpuAvnjfFW4FNCOHi4frxELnF,19,A,3,7,9,14,4,7,9,14,0,1,5,0,5,6,4,14,1,2,2,5,1,3,6,7,1,1,1,2,1,1,0,0,,,,
,,32376,hw1591276718f2aeFGRMCsyUFfGBwaAbyW5NVlaD8M,19,A,16,25,4,1,24,25,4,1,5,5,1,0,19,20,3,1,8,8,1,0,12,13,2,1,3,3,1,0,1,1,0,0,,,,
,,32454,hw159146623372bStgCkl9NmraUeCnw1yxvuSgnSuP,19,A,8,15,11,4,11,15,11,4,3,4,2,0,8,11,9,4,2,3,4,2,7,9,5,2,1,2,2,0,1,1,0,0,,,,
,,32180,hw1590997683bVV5IbNLtEbpH62pgKo6mqIqdYnhbh,19,A,7,14,12,4,10,14,12,4,2,3,3,0,8,11,9,4,3,4,4,1,4,6,7,3,3,3,1,0,1,1,0,0,,,,
,,32244,hw1591022696yN0bmiVjPVLXBdTcZB4mU5yPibFfJ6,19,A,13,22,8,0,19,22,8,0,5,5,1,0,15,17,7,0,8,8,1,0,8,10,6,0,3,3,1,0,1,1,0,0,,,,
,,32700,hw1592834721rsrqLjaNoh3La2qOu3nVxz45l1IQgx,19,A,11,20,10,0,17,20,10,0,3,4,2,0,13,16,8,0,6,7,2,0,11,12,4,0,0,1,3,0,0,0,1,0,,,,
,,33496,hw15972670555ETKxMrfTl04e0R1cWdYvoTFYbC8Rn,19,A,7,15,12,3,11,15,12,3,1,2,4,0,10,13,8,3,5,6,3,0,4,6,7,3,1,2,2,0,1,1,0,0,,,,
