ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore
33387	1	0	12	17	1	4	12	17	1	6	3	2	1	2	9	15	0	4	3	6	0	1	5	10	1	2	3	1	0	3	1	0	0	1
32818	1	0	16	14	0	8	16	14	0	11	4	2	0	3	12	12	0	8	7	2	0	6	8	8	0	5	1	3	0	0	0	1	0	0
33935	1	1	26	3	1	17	26	3	1	25	6	0	0	6	20	3	1	19	7	2	0	6	14	1	1	14	4	0	0	4	1	0	0	1
32881	1	0	18	12	0	9	18	12	0	14	3	3	0	2	15	9	0	12	7	2	0	6	10	6	0	8	1	3	0	0	0	1	0	0
33208	1	1	19	9	2	11	19	9	2	16	3	3	0	2	16	6	2	14	4	5	0	2	12	2	2	11	2	2	0	1	1	0	0	1
33929	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	5	4	0	4	13	3	0	12	4	0	0	4	1	0	0	1
33390	1	0	14	10	6	7	14	10	6	11	3	2	1	2	11	8	5	8	3	4	2	2	7	5	4	5	3	1	0	3	1	0	0	1
33688	1	0	11	17	2	4	11	17	2	5	1	3	2	0	10	14	0	5	3	5	1	1	8	8	0	5	0	3	1	0	0	1	0	0
32601	1	0	17	13	0	8	17	13	0	13	4	2	0	3	13	11	0	9	4	5	0	2	10	6	0	8	2	2	0	1	1	0	0	1
32649	1	1	30	0	0	20	30	0	0	30	6	0	0	6	24	0	0	24	9	0	0	9	16	0	0	16	4	0	0	4	1	0	0	1
33837	1	1	22	7	1	13	22	7	1	20	4	2	0	3	18	5	1	16	7	2	0	6	13	2	1	12	1	3	0	0	1	0	0	1
33503	1	0	18	12	0	9	18	12	0	14	5	1	0	5	13	11	0	9	5	4	0	4	10	6	0	8	2	2	0	1	1	0	0	1
33841	1	0	16	14	0	8	16	14	0	11	3	3	0	2	13	11	0	9	6	3	0	5	7	9	0	4	2	2	0	1	1	0	0	1
33389	1	1	21	8	1	12	21	8	1	18	2	4	0	1	19	4	1	18	7	2	0	6	9	6	1	7	4	0	0	4	1	0	0	1
33218	1	1	25	3	2	16	25	3	2	24	4	2	0	3	21	1	2	21	8	0	1	8	13	2	1	12	3	1	0	3	1	0	0	1
33767	1	1	28	2	0	18	28	2	0	27	5	1	0	5	23	1	0	23	9	0	0	9	15	1	0	15	3	1	0	3	1	0	0	1
33926	1	1	24	6	0	15	24	6	0	22	6	0	0	6	18	6	0	16	5	4	0	4	14	2	0	13	4	0	0	4	1	0	0	1
33697	1	1	20	10	0	11	20	10	0	17	3	3	0	2	17	7	0	15	6	3	0	5	11	5	0	9	2	2	0	1	1	0	0	1
32266	1	1	21	9	0	12	21	9	0	18	6	0	0	6	15	9	0	12	6	3	0	5	10	6	0	8	4	0	0	4	1	0	0	1
33418	1	0	14	13	3	6	14	13	3	10	3	3	0	2	11	10	3	8	7	2	0	6	5	8	3	2	2	2	0	1	0	1	0	0
32621	1	1	25	5	0	16	25	5	0	23	5	1	0	5	20	4	0	19	9	0	0	9	12	4	0	11	3	1	0	3	1	0	0	1
33888	1	0	14	15	1	6	14	15	1	9	3	3	0	2	11	12	1	7	4	5	0	2	7	8	1	4	2	2	0	1	1	0	0	1
33035	1	1	22	8	0	13	22	8	0	19	4	2	0	3	18	6	0	16	7	2	0	6	12	4	0	11	2	2	0	1	1	0	0	1
32827	1	1	23	7	0	14	23	7	0	21	4	2	0	3	19	5	0	17	7	2	0	6	12	4	0	11	3	1	0	3	1	0	0	1
32193	1	1	26	4	0	16	26	4	0	25	4	2	0	3	22	2	0	21	8	1	0	8	14	2	0	13	3	1	0	3	1	0	0	1
32732	1	0	10	16	4	3	10	16	4	5	2	3	1	1	8	13	3	4	6	3	0	5	2	10	4	0	1	3	0	0	1	0	0	1
33599	1	0	12	8	10	6	12	8	10	9	2	3	1	1	10	5	9	8	3	4	2	2	7	3	6	6	2	0	2	2	0	1	0	0
33647	1	1	17	2	11	11	17	2	11	16	5	0	1	5	12	2	10	11	5	1	3	5	9	1	6	9	2	0	2	2	1	0	0	1
33114	1	0	5	24	1	0	5	24	1	0	1	5	0	0	4	19	1	0	1	7	1	0	3	13	0	0	0	4	0	0	1	0	0	1
33785	1	1	25	5	0	16	25	5	0	23	4	2	0	3	21	3	0	20	7	2	0	6	14	2	0	13	4	0	0	4	0	1	0	0
33001	1	0	15	15	0	7	15	15	0	10	2	4	0	1	13	11	0	9	4	5	0	2	9	7	0	7	2	2	0	1	0	1	0	0
