vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	B	100	80	2	12	80	6	0
2	A	100	76	3	76	18	2	1
3	D	100	82	0	1	8	9	82
4	D	100	71	2	11	7	9	71
5	B	100	49	2	24	49	20	5
6	D	100	46	5	16	8	25	46
7	D	100	75	1	0	2	22	75
8	D	100	81	4	2	5	8	81
9	C	100	52	3	39	1	52	5
10	D	100	56	4	3	26	11	56
11	B	100	81	2	5	81	2	10
12	B	100	81	5	7	81	4	3
13	A	100	80	1	80	14	3	2
14	C	100	76	2	6	12	76	4
15	B	100	79	4	4	79	2	11
16	B	100	56	26	5	56	8	5
17	A	100	59	9	59	8	9	15
18	A	100	44	4	44	21	18	13
19	C	100	46	10	19	19	46	6
20	C	100	48	18	8	9	48	17
21	D	100	83	3	2	3	9	83
22	D	100	65	15	6	11	3	65
23	A	100	47	23	47	14	12	4
24	B	100	58	3	13	58	20	6
25	A	100	65	6	65	3	5	21
26	B	100	66	5	16	66	11	2
27	A	100	63	6	63	11	14	6
28	B	100	35	3	51	35	6	5
29	B	100	32	5	37	32	15	11
30	B	100	60	17	7	60	4	12
