"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,32180,"hw1590997683bVV5IbNLtEbpH62pgKo6mqIqdYnhbh",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32181,"hw1590998856FdyjESyBGV5QqjlrcTCcHgCnyEF9ah",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32182,"hw1590998909P7K88fYma2qWEgwJ5sFTdu6CEtaE6D",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32189,"hw1591003358FRccKNrTP4rbuV5FHBo3TamStCJbWF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32193,"hw1591005216OOE4zNsCjaHwgYGPEWfbo7HgPXj5j9",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32203,"hw1591009957sDQYDQdnsHJLSgvoH2pE217hgDBOwX",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32209,"hw1591011293hQZSI5zoOJx6QCk0Y4r7jju9GRznWj",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32244,"hw1591022696yN0bmiVjPVLXBdTcZB4mU5yPibFfJ6",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32266,"hw1591041611Z3fiWsQQfjLgYHTazHmBgma1Nxtz8J",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32273,"hw1591050551uYqjdYfKdrQflx4bHIsTAtS0Zw67IM",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32289,"hw1591094587fZKNzcVsAM2el827Fqo2nlD4KtOkTn",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32290,"hw1591094852KSm14Wz99XSsTu6CFRce63HeKXPMvf",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32295,"hw1591099647jMr7YfbijIX0fgoSFRFdsiko4ur1vQ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32318,"hw1591125690u91b1YQEv1xmWrQLQ0cHE6FuLLy4Ia",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32326,"hw15911645362dNaclbJNOequCQ5tfrIcHeyBjarvt",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32334,"hw1591173508T04KCDK5s2iU2bDgBdZX7nktMPeVHO",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32337,"hw15911749005LHPsxXXYBDtmTaIp2JIFEgKTkG3zv",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32349,"hw1591194262TZIu9UAHi9CoBDOJhLCwzhNVhvah3Y",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32350,"hw1591195266036nNnGyrJs66aGSsTxWUnmCbQRxfO",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32368,"hw15912626620EM6oaHsEM990IuckmdouRjA74vSZV",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32376,"hw1591276718f2aeFGRMCsyUFfGBwaAbyW5NVlaD8M",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32413,"hw1591366996j6jOkhtzPWXp4ogv7P3IoOEPvuGWs8",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32431,"hw15913953442ia0V9nOUHhMoj7BW27e87MNXTjZlJ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32448,"hw1591458411QL7snwZBt4Govyb3KZoi3egDFyaJht",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32451,"hw1591463750ItWVwlc3cahaJXiPWpbtUEPDAMDKAw",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32453,"hw1591466041msszDmJw0t12jHR0ZYWT1TlJF3JvRL",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32454,"hw159146623372bStgCkl9NmraUeCnw1yxvuSgnSuP",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32473,"hw1591548154TGwauvRopB4zm5jEANGlY7KAddALEH",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32483,"hw1591596792aNj777Q8dFnjdHIy6cucNWcx2iD2mI",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32541,"hw1591728045FxdvsmPV61TuERynnunkLV1Kdm18DJ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32546,"hw1591736943AOwbVOlNnwQhGMNCiW1sJgs8pIUUmS",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32549,"hw1591782148PMSHYJHCpC6fiS0Y6Iym0Zwn6MV3CP",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33688,"hw1591884589c75QrK75zbOnm9fTzZrHvBZwoPejVf",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32573,"hw1591904838pledkdMpkBaVhazKbsr7CqB47BekPc",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32575,"hw1591910251gh2filIWJNHGTLAryXLJKMJpDRnlaD",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32601,"hw15921269075D6vO0gKRV0KCEdRx11bR6wZd6OCJF",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32621,"hw1592211205wvIZM3uMQHcBaPiPsPV924i3O2ZoN5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32641,"hw1592384760B3d6GPTqwtYaS3EPuCDXvT9yt8DNU1",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33697,"hw1592399422pfMwR7gWoqeBUapfR0BxIs70xFGmbZ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
