feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
19ib70881	1	C	B	A	B	B	B	A	B	D	C	A	B	A	B	A	B	A	C	B	D	C	C	B	A	B
19ib93394	1	A	B	A	B	D	C	D	C	D	C	D	A	C	B	C	C	C	C	A	C	B	A	A	C	C
19ib19033	1	C	B	A	B	D	B	X	B	D	C	D	D	A	A	A	C	D	B	A	B	B	C	A	X	A
19ib61366	1	C	B	A	B	D	B	C	B	D	C	A	B	C	B	B	C	D	C	A	B	B	C	C	B	B
19ib10039	1	C	B	A	A	D	B	D	B	D	C	A	B	A	D	A	C	A	C	A	D	D	X	B	B	B
19ib72648	1	C	B	A	B	D	B	D	B	D	C	D	A	C	B	A	C	D	C	A	B	D	D	C	B	B
19ib47200	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	A	C	C	C	A	A	D	A	D	C	B
19ib53182	1	A	B	A	C	B	C	D	B	B	C	A	B	D	B	C	C	A	A	A	A	D	C	C	B	B
19ib25096	1	C	B	A	B	D	B	D	B	D	C	A	A	X	B	X	D	D	C	A	A	B	C	X	C	A
19ib63442	1	C	B	A	B	D	B	D	B	D	C	A	X	D	D	A	C	D	C	A	D	B	C	C	D	B
19ib87111	1	D	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	A	C	A	D	D	C	C	B	D
19ib78715	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	B	B
19ib57421	1	C	B	A	B	D	B	D	B	D	C	B	B	B	B	A	C	D	D	D	D	D	A	C	B	B
19ib77186	1	C	B	A	B	D	D	D	B	D	C	A	X	A	B	X	C	B	C	A	D	D	X	B	B	B
19ib35537	1	C	B	A	B	D	B	D	B	D	C	A	C	C	B	A	C	D	C	A	D	D	C	C	B	B
19ib42258	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	B	D	C	A	A	B	D	X	B	B
19ib66236	1	C	B	D	B	D	B	A	B	D	D	A	D	C	A	D	D	C	C	B	D	B	C	D	C	A
19ib16918	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	B	B	B
19ib37721	1	C	B	A	B	D	D	D	B	D	C	A	B	X	D	B	X	X	C	A	X	X	D	C	C	A
19ib23527	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	B	C	X	B	A
19ib57079	1	C	B	A	D	D	C	A	B	D	C	B	X	X	D	X	C	C	C	X	X	B	X	A	X	A
19ib88890	1	C	B	A	B	D	B	D	B	D	B	A	B	A	B	A	C	D	C	A	D	D	D	A	B	B
19ib43701	1	C	B	A	B	D	B	D	B	D	C	A	B	A	X	A	C	D	C	A	X	D	D	C	B	A
19ib26082	1	C	B	A	B	D	C	D	B	D	C	A	A	A	D	A	C	A	C	D	D	B	D	C	B	B
19ib19806	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	D
19ib33905	1	C	B	A	B	D	B	D	A	D	C	A	D	C	B	D	C	D	B	A	A	C	C	C	B	A
19ib33098	1	C	B	A	B	D	B	D	A	D	C	A	B	A	B	C	C	D	C	A	D	C	C	C	B	A
19ib81252	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19ib50295	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	C	B	A	A	A	B
19ib49212	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	D	C	C	B	B
19ib99114	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	B	A	B	B
19ib86341	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	B	C	D	C	A	D	D	D	C	B	B
19ib43638	1	A	B	A	D	X	X	C	C	D	D	X	C	C	B	A	X	C	D	C	B	B	X	X	X	X
19ib40542	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	B	C	A	B	A	D	B	C	C	D	B
19ib81426	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B
19ib32439	1	C	B	A	B	B	B	D	X	B	C	A	D	A	D	X	C	B	C	A	C	B	X	C	B	B
19ib79841	1	C	B	A	A	D	B	D	B	D	C	A	B	X	B	C	C	D	A	A	D	D	X	B	B	B
19ib65425	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	X	B	B
19ib79797	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	D	C	B	B
19ib75191	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
19ib35025	1	B	B	A	D	D	D	D	B	D	C	A	A	A	D	A	C	C	B	A	D	B	C	C	C	B
19ib36603	1	C	B	B	B	D	D	B	B	B	X	B	A	B	D	X	C	C	C	C	B	A	C	B	C	B
19ib81062	1	D	B	A	A	B	X	X	B	C	C	A	X	X	B	D	D	C	X	D	A	B	A	C	D	X
19ib77218	1	C	B	A	B	D	X	D	B	D	C	X	B	X	B	X	X	X	C	A	X	D	D	X	B	X
