ijkID	feedbackCode
32206	19ib77218
32223	19ib77186
32246	19ib58383
32254	19ib78715
32258	19ib81252
32267	19ib35960
32365	19ib72648
32375	19ib87581
32420	19ib88890
32433	19ib70881
32445	19ib16918
32455	19ib63442
32467	19ib47200
32482	19ib20635
32569	19ib99114
32629	19ib81062
32651	19ib50295
33698	19ib79797
32674	19ib10039
32717	19ib33905
32742	19ib75191
32762	19ib53182
32770	19ib50246
32783	19ib33098
32826	19ib66236
32895	19ib81426
32905	19ib35537
32933	19ib40542
32944	19ib25096
32965	19ib65425
32993	19ib19033
33026	19ib43638
33042	19ib49212
33062	19ib32439
33134	19ib86965
33373	19ib23527
33807	19ib79841
33378	19ib57421
33432	19ib43701
33844	19ib37721
33465	19ib57079
33471	19ib36603
33488	19ib19806
33494	19ib86341
33871	19ib26082
33524	19ib87111
33547	19ib61366
33651	19ib42258
33933	19ib12876
33668	19ib93394
33670	19ib35025
