ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
32433	1	C	B	A	B	B	B	A	B	D	C	A	B	A	B	A	B	A	C	B	D	C	C	B	A	B
33668	1	A	B	A	B	D	C	D	C	D	C	D	A	C	B	C	C	C	C	A	C	B	A	A	C	C
32993	1	C	B	A	B	D	B	X	B	D	C	D	D	A	A	A	C	D	B	A	B	B	C	A	X	A
33547	1	C	B	A	B	D	B	C	B	D	C	A	B	C	B	B	C	D	C	A	B	B	C	C	B	B
32674	1	C	B	A	A	D	B	D	B	D	C	A	B	A	D	A	C	A	C	A	D	D	X	B	B	B
32365	1	C	B	A	B	D	B	D	B	D	C	D	A	C	B	A	C	D	C	A	B	D	D	C	B	B
32467	1	C	B	A	B	D	B	D	B	D	C	A	C	A	B	A	C	C	C	A	A	D	A	D	C	B
32762	1	A	B	A	C	B	C	D	B	B	C	A	B	D	B	C	C	A	A	A	A	D	C	C	B	B
32944	1	C	B	A	B	D	B	D	B	D	C	A	A	X	B	X	D	D	C	A	A	B	C	X	C	A
32455	1	C	B	A	B	D	B	D	B	D	C	A	X	D	D	A	C	D	C	A	D	B	C	C	D	B
33524	1	D	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	A	C	A	D	D	C	C	B	D
32254	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	B	B
33378	1	C	B	A	B	D	B	D	B	D	C	B	B	B	B	A	C	D	D	D	D	D	A	C	B	B
32223	1	C	B	A	B	D	D	D	B	D	C	A	X	A	B	X	C	B	C	A	D	D	X	B	B	B
32905	1	C	B	A	B	D	B	D	B	D	C	A	C	C	B	A	C	D	C	A	D	D	C	C	B	B
33651	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	B	D	C	A	A	B	D	X	B	B
32826	1	C	B	D	B	D	B	A	B	D	D	A	D	C	A	D	D	C	C	B	D	B	C	D	C	A
32445	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	B	B	B
33844	1	C	B	A	B	D	D	D	B	D	C	A	B	X	D	B	X	X	C	A	X	X	D	C	C	A
33373	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	X	B	C	X	B	A
33465	1	C	B	A	D	D	C	A	B	D	C	B	X	X	D	X	C	C	C	X	X	B	X	A	X	A
32420	1	C	B	A	B	D	B	D	B	D	B	A	B	A	B	A	C	D	C	A	D	D	D	A	B	B
33432	1	C	B	A	B	D	B	D	B	D	C	A	B	A	X	A	C	D	C	A	X	D	D	C	B	A
33871	1	C	B	A	B	D	C	D	B	D	C	A	A	A	D	A	C	A	C	D	D	B	D	C	B	B
33488	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	D
32717	1	C	B	A	B	D	B	D	A	D	C	A	D	C	B	D	C	D	B	A	A	C	C	C	B	A
32783	1	C	B	A	B	D	B	D	A	D	C	A	B	A	B	C	C	D	C	A	D	C	C	C	B	A
32258	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
32651	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	C	B	A	A	A	B
33042	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	D	C	C	B	B
32569	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	B	A	B	B
33494	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	B	C	D	C	A	D	D	D	C	B	B
33026	1	A	B	A	D	X	X	C	C	D	D	X	C	C	B	A	X	C	D	C	B	B	X	X	X	X
32933	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	B	C	A	B	A	D	B	C	C	D	B
32895	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B
33062	1	C	B	A	B	B	B	D	X	B	C	A	D	A	D	X	C	B	C	A	C	B	X	C	B	B
33807	1	C	B	A	A	D	B	D	B	D	C	A	B	X	B	C	C	D	A	A	D	D	X	B	B	B
32965	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	X	B	B
33698	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	D	C	B	B
32742	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33670	1	B	B	A	D	D	D	D	B	D	C	A	A	A	D	A	C	C	B	A	D	B	C	C	C	B
33471	1	C	B	B	B	D	D	B	B	B	X	B	A	B	D	X	C	C	C	C	B	A	C	B	C	B
32629	1	D	B	A	A	B	X	X	B	C	C	A	X	X	B	D	D	C	X	D	A	B	A	C	D	X
32206	1	C	B	A	B	D	X	D	B	D	C	X	B	X	B	X	X	X	C	A	X	D	D	X	B	X
