Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32433,ib1591430831Ixt2tuOXjXEaKV4B5zvlEK8seYhezE,19,A,11,17,8,0,7,8,2,0,7,9,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33668,ib1597524139EdT53QkKWlwspMIinr6W09KVDsXWR9,19,B,5,11,14,0,6,7,3,0,0,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32993,ib1594385918ON2BKPiHCfeeykRO4RpsdYqDWnvdVR,19,A,10,15,8,2,9,9,0,1,3,6,8,1,,,,,,,,,,,,,,,,,,,,,,,,
,,33547,ib1597386454EPbdjp4BvbekfSNifUWekTvnd1cEuG,19,A,15,20,5,0,9,9,1,0,10,11,4,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32674,ib1592597377MRQk1tdD2Bxr5fnNemTpcDqbLUhOFZ,19,A,15,20,4,1,9,9,1,0,10,11,3,1,,,,,,,,,,,,,,,,,,,,,,,,
,,32365,ib1591255669mud0kam03LmzpJ0r19ZZBCaQSZO9zf,19,A,15,20,5,0,10,10,0,0,8,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32467,ib1591533091cisCsqP5e6bHjVu3oomKYHS6gQwx3s,19,A,14,19,6,0,10,10,0,0,7,9,6,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32762,ib15932542196qZf1hE3BtoRaf4Sr4SgKYuBoOQACG,19,B,9,15,10,0,3,5,5,0,8,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32944,ib1594051328tOHN2COzh3bw1racIO1Mzb5f09dI0G,19,A,11,16,6,3,10,10,0,0,4,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,
,,32455,ib1591466308w4FwGWzHlVmeVymZ5wZm3ESHZONyD5,19,A,15,20,4,1,10,10,0,0,9,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,
,,33524,ib1597342911RTr3gZ7zJTaaTHW1gJJy4NGMLSH58y,19,A,16,21,4,0,9,9,1,0,11,12,3,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32254,ib1591031966wfIlUZnTaK8E5br1CFbePrFHo7CZHB,19,A,19,24,1,0,10,10,0,0,14,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33378,ib1596879803RoUY2MPv9HxxBVM2ACiPpu5fE9serU,19,A,15,20,5,0,10,10,0,0,8,10,5,0,,,,,,,,,,,,,,,,,,,,,,,,
,,32223,ib1591015259vV7pXlTbyeD1obOkUqWaJdKrnIUdNB,19,A,14,19,3,3,9,9,1,0,9,10,2,3,,,,,,,,,,,,,,,,,,,,,,,,
,,32905,ib1593856315M6XknknpTjxAnE5wjgnoBCBdK9tp2P,19,A,18,23,2,0,10,10,0,0,12,13,2,0,,,,,,,,,,,,,,,,,,,,,,,,
,,33651,ib1597508664UtsYG0JPrMHRQeA473hCtzshqKC449,19,A,14,19,5,1,9,9,1,0,9,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,
