ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
32433	1	1	17	8	0	11	8	2	0	7	9	6	0	7
33668	1	0	11	14	0	5	7	3	0	6	4	11	0	0
32993	1	1	15	8	2	10	9	0	1	9	6	8	1	3
33547	1	1	20	5	0	15	9	1	0	9	11	4	0	10
32674	1	1	20	4	1	15	9	1	0	9	11	3	1	10
32365	1	1	20	5	0	15	10	0	0	10	10	5	0	8
32467	1	1	19	6	0	14	10	0	0	10	9	6	0	7
32762	1	0	15	10	0	9	5	5	0	3	10	5	0	8
32944	1	1	16	6	3	11	10	0	0	10	6	6	3	4
32455	1	1	20	4	1	15	10	0	0	10	10	4	1	9
33524	1	1	21	4	0	16	9	1	0	9	12	3	0	11
32254	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33378	1	1	20	5	0	15	10	0	0	10	10	5	0	8
32223	1	1	19	3	3	14	9	1	0	9	10	2	3	9
32905	1	1	23	2	0	18	10	0	0	10	13	2	0	12
33651	1	1	19	5	1	14	9	1	0	9	10	4	1	9
32826	1	0	11	14	0	5	7	3	0	6	4	11	0	0
32445	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33844	1	1	14	6	5	10	9	1	0	9	5	5	5	3
33373	1	1	21	2	2	16	10	0	0	10	11	2	2	10
33465	1	0	9	9	7	5	7	3	0	6	2	6	7	0
32420	1	1	22	3	0	17	9	1	0	9	13	2	0	12
33432	1	1	21	2	2	16	10	0	0	10	11	2	2	10
33871	1	1	18	7	0	13	9	1	0	9	9	6	0	7
33488	1	1	24	1	0	19	10	0	0	10	14	1	0	14
32717	1	1	17	8	0	11	9	1	0	9	8	7	0	6
32783	1	1	21	4	0	16	9	1	0	9	12	3	0	11
32258	1	1	25	0	0	20	10	0	0	10	15	0	0	15
32651	1	1	19	6	0	14	10	0	0	10	9	6	0	7
33042	1	1	24	1	0	19	10	0	0	10	14	1	0	14
32569	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33494	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33026	1	0	5	12	8	1	3	5	2	1	2	7	6	0
32933	1	1	19	6	0	14	10	0	0	10	9	6	0	7
32895	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33062	1	1	15	7	3	10	7	2	1	6	8	5	2	6
33807	1	1	19	4	2	14	9	1	0	9	10	3	2	9
32965	1	1	23	1	1	18	10	0	0	10	13	1	1	13
33698	1	1	23	2	0	18	10	0	0	10	13	2	0	12
32742	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33670	1	1	16	9	0	10	7	3	0	6	9	6	0	7
33471	1	0	9	14	2	3	5	4	1	4	4	10	1	1
32629	1	0	7	12	6	2	4	4	2	3	3	8	4	0
32206	1	1	15	1	9	12	9	0	1	9	6	1	8	6
