key	value
aantalDeelnemers	44
totaalHoogsteScore	20
totaalLaagsteScore	1
totaalGemiddeldeScore	13.409090909090908
totaalMediaanScore	15
totaalAantalScore0	0
totaalAantalScore1	1
totaalAantalScore2	1
totaalAantalScore3	1
totaalAantalScore4	0
totaalAantalScore5	3
totaalAantalScore6	0
totaalAantalScore7	0
totaalAantalScore8	0
totaalAantalScore9	1
totaalAantalScore10	4
totaalAantalScore11	3
totaalAantalScore12	1
totaalAantalScore13	1
totaalAantalScore14	6
totaalAantalScore15	5
totaalAantalScore16	4
totaalAantalScore17	3
totaalAantalScore18	3
totaalAantalScore19	6
totaalAantalScore20	1
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	1
wiskunde_basisGemiddeldeScore	8.522727272727273
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	0
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	2
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	0
wiskunde_basisAantalScore6	5
wiskunde_basisAantalScore7	1
wiskunde_basisAantalScore8	0
wiskunde_basisAantalScore9	13
wiskunde_basisAantalScore10	21
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.25
wiskunde_standaardMediaanScore	9
wiskunde_standaardAantalScore0	5
wiskunde_standaardAantalScore1	1
wiskunde_standaardAantalScore2	0
wiskunde_standaardAantalScore3	2
wiskunde_standaardAantalScore4	1
wiskunde_standaardAantalScore5	0
wiskunde_standaardAantalScore6	3
wiskunde_standaardAantalScore7	6
wiskunde_standaardAantalScore8	3
wiskunde_standaardAantalScore9	4
wiskunde_standaardAantalScore10	4
wiskunde_standaardAantalScore11	4
wiskunde_standaardAantalScore12	3
wiskunde_standaardAantalScore13	1
wiskunde_standaardAantalScore14	6
wiskunde_standaardAantalScore15	1
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	1
vragenreeks1totaalGemiddeldeScore	13.409090909090908
vragenreeks1totaalMediaanScore	15
vragenreeks1totaalAantalScore0	0
vragenreeks1totaalAantalScore1	1
vragenreeks1totaalAantalScore2	1
vragenreeks1totaalAantalScore3	1
vragenreeks1totaalAantalScore4	0
vragenreeks1totaalAantalScore5	3
vragenreeks1totaalAantalScore6	0
vragenreeks1totaalAantalScore7	0
vragenreeks1totaalAantalScore8	0
vragenreeks1totaalAantalScore9	1
vragenreeks1totaalAantalScore10	4
vragenreeks1totaalAantalScore11	3
vragenreeks1totaalAantalScore12	1
vragenreeks1totaalAantalScore13	1
vragenreeks1totaalAantalScore14	6
vragenreeks1totaalAantalScore15	5
vragenreeks1totaalAantalScore16	4
vragenreeks1totaalAantalScore17	3
vragenreeks1totaalAantalScore18	3
vragenreeks1totaalAantalScore19	6
vragenreeks1totaalAantalScore20	1
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	1
vragenreeks1wiskunde_basisGemiddeldeScore	8.522727272727273
vragenreeks1wiskunde_basisMediaanScore	9
vragenreeks1wiskunde_basisAantalScore0	0
vragenreeks1wiskunde_basisAantalScore1	1
vragenreeks1wiskunde_basisAantalScore2	0
vragenreeks1wiskunde_basisAantalScore3	2
vragenreeks1wiskunde_basisAantalScore4	1
vragenreeks1wiskunde_basisAantalScore5	0
vragenreeks1wiskunde_basisAantalScore6	5
vragenreeks1wiskunde_basisAantalScore7	1
vragenreeks1wiskunde_basisAantalScore8	0
vragenreeks1wiskunde_basisAantalScore9	13
vragenreeks1wiskunde_basisAantalScore10	21
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	0
vragenreeks1wiskunde_standaardGemiddeldeScore	8.25
vragenreeks1wiskunde_standaardMediaanScore	9
vragenreeks1wiskunde_standaardAantalScore0	5
vragenreeks1wiskunde_standaardAantalScore1	1
vragenreeks1wiskunde_standaardAantalScore2	0
vragenreeks1wiskunde_standaardAantalScore3	2
vragenreeks1wiskunde_standaardAantalScore4	1
vragenreeks1wiskunde_standaardAantalScore5	0
vragenreeks1wiskunde_standaardAantalScore6	3
vragenreeks1wiskunde_standaardAantalScore7	6
vragenreeks1wiskunde_standaardAantalScore8	3
vragenreeks1wiskunde_standaardAantalScore9	4
vragenreeks1wiskunde_standaardAantalScore10	4
vragenreeks1wiskunde_standaardAantalScore11	4
vragenreeks1wiskunde_standaardAantalScore12	3
vragenreeks1wiskunde_standaardAantalScore13	1
vragenreeks1wiskunde_standaardAantalScore14	6
vragenreeks1wiskunde_standaardAantalScore15	1
