"Alle studenten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","onlineID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,32206,"ib1591010205TkmBgniRbWu27LRVQ0OG7hs5EaoyXq",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32223,"ib1591015259vV7pXlTbyeD1obOkUqWaJdKrnIUdNB",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32246,"ib159102366176CbokLj9iySfIcEii3smRTlEHdI4d",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32254,"ib1591031966wfIlUZnTaK8E5br1CFbePrFHo7CZHB",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32258,"ib1591035653dpVcP8WrHCNkfiwAO00xzeFwvs82lq",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32267,"ib1591043502B0qdM2EGEliJX94cZPmYmdzBRXYINA",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32365,"ib1591255669mud0kam03LmzpJ0r19ZZBCaQSZO9zf",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32375,"ib1591275290sdrvYFRGStQFLOlyR5kXIzPVICIe4A",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32420,"ib15913715708ekAJoJtOA8EuA6Xr5TJJkh7x5q3zX",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32433,"ib1591430831Ixt2tuOXjXEaKV4B5zvlEK8seYhezE",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32445,"ib15914560775ILPJWgRKvVG6m05Uv7GtB2RhCQvxP",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32455,"ib1591466308w4FwGWzHlVmeVymZ5wZm3ESHZONyD5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32467,"ib1591533091cisCsqP5e6bHjVu3oomKYHS6gQwx3s",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32482,"ib1591568895MD7XpuVBGoNgLrQ0skuSvKNIjhP3YV",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32569,"ib1591882670bprdmIX7nL8xBBn0E2eRi8vvXJ2PGD",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32629,"ib15922951514NlfXluqy9xaI3aafYGveuxfGB7Dq9",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32651,"ib1592408530mzftHxYcpBsynvEr2zv3Q7m8YmVCv8",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33698,"ib159255600482LPqlv0rSohpSk0ew0lRnfThHNGT6",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32674,"ib1592597377MRQk1tdD2Bxr5fnNemTpcDqbLUhOFZ",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32717,"ib1592990901IJRl1fpqW8ZaeMCIS8roKsNWlTe1wY",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32742,"ib1593109220tCANokMtpdbxHeZEPB7XIHvA081F6y",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32762,"ib15932542196qZf1hE3BtoRaf4Sr4SgKYuBoOQACG",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32770,"ib1593276074d1PGXkHfvzaxcrxChMoUrfV73fjuz3",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32783,"ib1593348088K7fBuQACcaxQLpOHKgznsajpe5QEM7",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32826,"ib1593514125kNcUwKPxpvXCLNewGYikEVt3QRUxDH",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32895,"ib1593784268U9E1sMiHWDnNzrtvfJ0wHRIN3TcyY3",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32905,"ib1593856315M6XknknpTjxAnE5wjgnoBCBdK9tp2P",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32933,"ib1593975160BJM5KDJXNyvefHmUhMOohy48uwUebe",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32944,"ib1594051328tOHN2COzh3bw1racIO1Mzb5f09dI0G",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32965,"ib1594231130w23J9AlRTYotuyllajfFXhe8TEz70V",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32993,"ib1594385918ON2BKPiHCfeeykRO4RpsdYqDWnvdVR",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33026,"ib1594672931hCaFf7Q67gMUIL5mgTRxX0SUJ97IB7",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33042,"ib1594816729qQNknbSBv9eob4jLzkydFvGgG9iOY5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33062,"ib1594929712oVG1smGSuvbaaGjBlRYoMovMVRdoB4",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33134,"ib1595528821IfW30bwMcy6OQaQE1mGTScYMmhr6vU",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33373,"ib15968060809vXk7F0bNKgsLuW8spfc8neeod59FB",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33807,"ib1596879369IGYTOc9fPM08fcJp6OsRLK9m6jN6E4",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33378,"ib1596879803RoUY2MPv9HxxBVM2ACiPpu5fE9serU",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33432,"ib1597068966eWM3PC506LmD1IyeJU5YOnl53a3yZ5",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33844,"ib1597136121indZbuG8lUdAGeJXiQSzzEhiYBixvU",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33465,"ib15971651232S6hscgv64YPJ8uGJzgGctAmTwyF6I",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33471,"ib1597222939sTutzXQHDFX2TXkb8pWiw7uvu7e4dX",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33488,"ib1597246952LoFRwBV28OSkE6u5J1ZawV7eyqsEMx",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33494,"ib1597262675PXj2Cyp7GCtcj35d2Re3xfobnJv2vV",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33871,"ib1597319108cscxGFsaY3abTvlFjxOCXM6VlaqPu2",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33524,"ib1597342911RTr3gZ7zJTaaTHW1gJJy4NGMLSH58y",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33547,"ib1597386454EPbdjp4BvbekfSNifUWekTvnd1cEuG",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33651,"ib1597508664UtsYG0JPrMHRQeA473hCtzshqKC449",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33933,"ib1597512273CbAtPycBUO2xuxzF1lqrPRUpDw7Mod",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33668,"ib1597524139EdT53QkKWlwspMIinr6W09KVDsXWR9",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33670,"ib15975263377ZVcTybmzODfeFKpurif2QLYSXtnZV",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
