feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
19id95667	1	C	A	A	B	D	B	X	B	D	C	A	X	A	B	B	C	D	C	A	D	B	C	X	B	B
19id61033	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	D	D	A	A	D	A	B	C	B	B
19id37221	1	C	B	A	B	D	B	D	B	B	C	A	X	X	B	A	C	X	C	X	D	B	D	X	D	X
19id52742	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	A	B	A	B	B
19id82936	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
19id43058	1	C	B	A	B	D	B	B	B	D	C	A	B	X	B	D	C	D	C	X	D	B	D	D	B	B
19id73117	1	C	B	A	B	D	B	D	B	B	C	A	B	X	B	A	C	D	C	A	D	B	D	C	A	B
19id76390	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	X	C	X	C	A	D	D	X	C	B	B
19id95394	1	C	B	A	B	D	B	B	B	X	C	A	X	X	B	C	B	X	C	A	A	B	X	C	A	X
19id34208	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19id10879	1	C	C	A	B	D	B	C	B	D	C	A	B	X	B	A	C	D	C	A	A	D	A	C	B	B
