feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep
19id95667	1	1	19	3	3	14	>=14	8	1	1	8	7-8	11	2	2	10	8-11
19id61033	1	1	20	5	0	15	>=14	9	1	0	9	>=9	11	4	0	10	8-11
19id37221	1	1	15	4	6	11	10-13	9	1	0	9	>=9	6	3	6	5	<8
19id52742	1	1	22	3	0	17	>=14	10	0	0	10	>=9	12	3	0	11	8-11
19id82936	1	1	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12
19id43058	1	1	18	5	2	13	10-13	9	1	0	9	>=9	9	4	2	8	8-11
19id73117	1	1	20	4	1	15	>=14	9	1	0	9	>=9	11	3	1	10	8-11
19id76390	1	1	21	0	4	17	>=14	10	0	0	10	>=9	11	0	4	11	8-11
19id95394	1	0	13	6	6	9	<10	8	1	1	8	7-8	5	5	5	3	<8
19id34208	1	1	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12
19id10879	1	1	20	4	1	15	>=14	8	2	0	7	7-8	12	2	1	11	8-11
