key	value
aantalDeelnemers	11
totaalHoogsteScore	20
totaalLaagsteScore	9
totaalGemiddeldeScore	15.0
totaalMediaanScore	15
totaalAantalScore0	0
totaalAantalScore1	0
totaalAantalScore2	0
totaalAantalScore3	0
totaalAantalScore4	0
totaalAantalScore5	0
totaalAantalScore6	0
totaalAantalScore7	0
totaalAantalScore8	0
totaalAantalScore9	1
totaalAantalScore10	0
totaalAantalScore11	1
totaalAantalScore12	0
totaalAantalScore13	1
totaalAantalScore14	1
totaalAantalScore15	3
totaalAantalScore16	0
totaalAantalScore17	2
totaalAantalScore18	0
totaalAantalScore19	1
totaalAantalScore20	1
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	7
wiskunde_basisGemiddeldeScore	9.0
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	0
wiskunde_basisAantalScore1	0
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	0
wiskunde_basisAantalScore4	0
wiskunde_basisAantalScore5	0
wiskunde_basisAantalScore6	0
wiskunde_basisAantalScore7	1
wiskunde_basisAantalScore8	2
wiskunde_basisAantalScore9	4
wiskunde_basisAantalScore10	4
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	3
wiskunde_standaardGemiddeldeScore	9.82
wiskunde_standaardMediaanScore	10
wiskunde_standaardAantalScore0	0
wiskunde_standaardAantalScore1	0
wiskunde_standaardAantalScore2	0
wiskunde_standaardAantalScore3	1
wiskunde_standaardAantalScore4	0
wiskunde_standaardAantalScore5	1
wiskunde_standaardAantalScore6	0
wiskunde_standaardAantalScore7	0
wiskunde_standaardAantalScore8	1
wiskunde_standaardAantalScore9	0
wiskunde_standaardAantalScore10	3
wiskunde_standaardAantalScore11	3
wiskunde_standaardAantalScore12	0
wiskunde_standaardAantalScore13	0
wiskunde_standaardAantalScore14	1
wiskunde_standaardAantalScore15	1
