ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
32571	1	1	19	3	3	14	8	1	1	8	11	2	2	10
33100	1	1	20	5	0	15	9	1	0	9	11	4	0	10
32384	1	1	15	4	6	11	9	1	0	9	6	3	6	5
33769	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33777	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33275	1	1	18	5	2	13	9	1	0	9	9	4	2	8
32187	1	1	20	4	1	15	9	1	0	9	11	3	1	10
32678	1	1	21	0	4	17	10	0	0	10	11	0	4	11
33539	1	0	13	6	6	9	8	1	1	8	5	5	5	3
33736	1	1	25	0	0	20	10	0	0	10	15	0	0	15
33425	1	1	20	4	1	15	8	2	0	7	12	2	1	11
