key	value
aantalDeelnemers	11
totaalHoogsteScore	20
totaalLaagsteScore	9
totaalGemiddeldeScore	15.0
totaalMediaanScore	15
totaalAantalScore0	0
totaalAantalScore1	0
totaalAantalScore2	0
totaalAantalScore3	0
totaalAantalScore4	0
totaalAantalScore5	0
totaalAantalScore6	0
totaalAantalScore7	0
totaalAantalScore8	0
totaalAantalScore9	1
totaalAantalScore10	0
totaalAantalScore11	1
totaalAantalScore12	0
totaalAantalScore13	1
totaalAantalScore14	1
totaalAantalScore15	3
totaalAantalScore16	0
totaalAantalScore17	2
totaalAantalScore18	0
totaalAantalScore19	1
totaalAantalScore20	1
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	7
wiskunde_basisGemiddeldeScore	9.0
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	0
wiskunde_basisAantalScore1	0
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	0
wiskunde_basisAantalScore4	0
wiskunde_basisAantalScore5	0
wiskunde_basisAantalScore6	0
wiskunde_basisAantalScore7	1
wiskunde_basisAantalScore8	2
wiskunde_basisAantalScore9	4
wiskunde_basisAantalScore10	4
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	3
wiskunde_standaardGemiddeldeScore	9.818181818181818
wiskunde_standaardMediaanScore	10
wiskunde_standaardAantalScore0	0
wiskunde_standaardAantalScore1	0
wiskunde_standaardAantalScore2	0
wiskunde_standaardAantalScore3	1
wiskunde_standaardAantalScore4	0
wiskunde_standaardAantalScore5	1
wiskunde_standaardAantalScore6	0
wiskunde_standaardAantalScore7	0
wiskunde_standaardAantalScore8	1
wiskunde_standaardAantalScore9	0
wiskunde_standaardAantalScore10	3
wiskunde_standaardAantalScore11	3
wiskunde_standaardAantalScore12	0
wiskunde_standaardAantalScore13	0
wiskunde_standaardAantalScore14	1
wiskunde_standaardAantalScore15	1
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	9
vragenreeks1totaalGemiddeldeScore	15.0
vragenreeks1totaalMediaanScore	15
vragenreeks1totaalAantalScore0	0
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	0
vragenreeks1totaalAantalScore3	0
vragenreeks1totaalAantalScore4	0
vragenreeks1totaalAantalScore5	0
vragenreeks1totaalAantalScore6	0
vragenreeks1totaalAantalScore7	0
vragenreeks1totaalAantalScore8	0
vragenreeks1totaalAantalScore9	1
vragenreeks1totaalAantalScore10	0
vragenreeks1totaalAantalScore11	1
vragenreeks1totaalAantalScore12	0
vragenreeks1totaalAantalScore13	1
vragenreeks1totaalAantalScore14	1
vragenreeks1totaalAantalScore15	3
vragenreeks1totaalAantalScore16	0
vragenreeks1totaalAantalScore17	2
vragenreeks1totaalAantalScore18	0
vragenreeks1totaalAantalScore19	1
vragenreeks1totaalAantalScore20	1
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	7
vragenreeks1wiskunde_basisGemiddeldeScore	9.0
vragenreeks1wiskunde_basisMediaanScore	9
vragenreeks1wiskunde_basisAantalScore0	0
vragenreeks1wiskunde_basisAantalScore1	0
vragenreeks1wiskunde_basisAantalScore2	0
vragenreeks1wiskunde_basisAantalScore3	0
vragenreeks1wiskunde_basisAantalScore4	0
vragenreeks1wiskunde_basisAantalScore5	0
vragenreeks1wiskunde_basisAantalScore6	0
vragenreeks1wiskunde_basisAantalScore7	1
vragenreeks1wiskunde_basisAantalScore8	2
vragenreeks1wiskunde_basisAantalScore9	4
vragenreeks1wiskunde_basisAantalScore10	4
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	3
vragenreeks1wiskunde_standaardGemiddeldeScore	9.818181818181818
vragenreeks1wiskunde_standaardMediaanScore	10
vragenreeks1wiskunde_standaardAantalScore0	0
vragenreeks1wiskunde_standaardAantalScore1	0
vragenreeks1wiskunde_standaardAantalScore2	0
vragenreeks1wiskunde_standaardAantalScore3	1
vragenreeks1wiskunde_standaardAantalScore4	0
vragenreeks1wiskunde_standaardAantalScore5	1
vragenreeks1wiskunde_standaardAantalScore6	0
vragenreeks1wiskunde_standaardAantalScore7	0
vragenreeks1wiskunde_standaardAantalScore8	1
vragenreeks1wiskunde_standaardAantalScore9	0
vragenreeks1wiskunde_standaardAantalScore10	3
vragenreeks1wiskunde_standaardAantalScore11	3
vragenreeks1wiskunde_standaardAantalScore12	0
vragenreeks1wiskunde_standaardAantalScore13	0
vragenreeks1wiskunde_standaardAantalScore14	1
vragenreeks1wiskunde_standaardAantalScore15	1
