vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	11	11	0	0	0	11	0
2	B	11	9	0	1	9	1	0
3	A	11	11	0	11	0	0	0
4	B	11	11	0	0	11	0	0
5	D	11	11	0	0	0	0	11
6	B	11	11	0	0	11	0	0
7	D	11	7	1	0	2	1	7
8	B	11	11	0	0	11	0	0
9	D	11	7	1	0	3	0	7
10	C	11	11	0	0	0	11	0
11	A	11	11	0	11	0	0	0
12	B	11	7	4	0	7	0	0
13	A	11	6	5	6	0	0	0
14	B	11	11	0	0	11	0	0
15	A	11	7	1	7	1	1	1
16	C	11	9	0	0	1	9	1
17	D	11	8	3	0	0	0	8
18	C	11	10	0	1	0	10	0
19	A	11	9	2	9	0	0	0
20	D	11	9	0	2	0	0	9
21	D	11	4	0	2	5	0	4
22	C	11	2	2	1	2	2	4
23	C	11	7	2	1	0	7	1
24	B	11	8	0	2	8	0	1
25	B	11	9	2	0	9	0	0
