Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32187,id1591000449EaZlxae4ChKJxF1mCx4oszWh5q8PdQ,19,A,15,,,,17,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32384,id1591285235qiJuZj8vMAxUnYYocTod9RpxTalHjH,19,A,11,,,,17,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32571,id1591888851je6FhPYZjKgijUnKlEb3aKv0iA6L0H,19,A,14,,,,15,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32678,id1592667840FdKCH8pTjfG6CWEuGnykWay3Miekmo,19,A,17,,,,20,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33736,id1594892422YLubiphoWJoAt6Tp60M0QLpv5nj3wo,19,A,20,,,,20,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33100,id1595263587m6iuaVWNpXDmKgaOV4S2iL9KXFAFmX,19,A,15,,,,17,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33769,id1596207794zvsbtHr12mExmO2ooKWsd1Hp0htlzp,19,A,17,,,,20,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33777,id1596308835jZZ544BvFl6lUkYiBjY9D30TqbJiMj,19,A,19,,,,20,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33275,id1596384400PCJNbt4RhorZiP25gAI0DXMT1CNqIb,19,A,13,,,,17,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33425,id1597063959hTbhXZjIQEE8n7Pa6PwG43C932fZjU,19,A,15,,,,15,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33539,id159735425213SvoVoGtm38dbnjJ1xa8eSd0vVV4I,19,B,9,,,,15,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
