feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
19in31879	1	C	B	A	D	D	B	D	B	D	C	A	A	C	B	C	C	D	B	A	D	A	C	B	B	A
19in64854	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	X	X
19in70741	1	C	B	A	A	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19in96985	1	C	B	D	D	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	B	D	A
19in84472	1	C	B	A	A	D	B	D	B	D	C	A	B	X	B	X	X	D	C	X	X	B	X	X	B	B
19in78261	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	A	A	D	D	C	X	B	B
19in73707	1	C	B	A	B	D	B	D	B	D	C	A	D	A	D	A	D	D	C	A	D	C	D	B	B	B
19in88640	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	D	C	B	A
19in89681	1	C	B	A	B	D	B	D	B	D	C	D	B	X	B	A	C	D	C	A	D	D	X	C	B	B
19in34230	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
19in49644	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	D	C	D	C	A	D	B	D	C	B	B
19in78024	1	C	B	A	B	D	B	D	B	D	C	C	B	C	B	A	C	D	C	A	D	D	D	C	B	B
19in40477	1	C	B	A	B	B	B	D	B	B	C	A	B	D	B	B	C	D	C	C	A	B	C	C	B	B
19in60086	1	C	B	A	B	D	X	D	X	D	C	A	A	X	X	A	C	C	C	X	X	B	C	A	B	C
19in45385	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	D	C	D	C	A	A	B	C	C	B	B
19in61014	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	D	B	X	C	B	A
19in81205	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	C	C	A	D	B	C	C	B	B
19in24799	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	C	C	B	B
19in56359	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	C	B	B
19in14643	1	C	B	A	B	D	A	D	B	D	C	A	B	X	B	A	D	D	C	A	A	B	D	X	D	D
19in39655	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	D	D	C	C	B	D
19in98296	1	C	B	A	B	D	X	D	B	D	C	A	X	X	B	B	C	D	C	B	X	B	X	C	C	A
19in65742	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	D	D	C	C	B	D
19in23800	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	D	D	C	A	D	D	C	X	B	B
19in46729	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	A	C	A	D	D	D	X	B	B
19in84734	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	D	A	C	C
19in46873	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	C	B	A	A	B	D	C	B	D
19in27562	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	A	C	C	B	B
19in69200	1	C	B	A	B	D	B	D	C	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	C
19in31764	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	A	A	D	C	A	A	B	B	A	B	D
19in17880	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	B	A	D	B	D	B	B	B
19in83539	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	B	A	D	B	X	C	B	B
19in43792	1	C	B	A	B	D	D	A	B	D	C	A	B	A	B	A	D	B	C	A	D	B	D	C	B	B
19in87866	1	C	B	A	B	D	X	A	B	D	C	A	B	A	A	A	C	D	D	A	X	D	D	X	B	X
19in97466	1	C	D	B	C	B	A	C	B	D	C	C	D	C	B	A	C	C	C	A	A	D	C	C	D	C
19in35798	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	X	C	B	C	A	D	D	X	X	B	D
19in72095	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	D	C	A	B	B	C	C	B	B
19in93774	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	B	C	C	B	B
19in33883	1	C	B	A	B	D	B	X	C	D	C	A	X	X	B	D	C	C	B	A	D	A	C	X	C	X
19in54905	1	X	B	A	X	D	B	D	B	D	C	X	A	X	B	X	C	D	X	X	C	B	X	B	X	X
19in11165	1	C	B	A	B	D	A	D	B	D	C	A	C	B	B	A	C	A	C	A	D	C	D	C	B	B
