key	value
aantalDeelnemers	598
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	15.25
totaalMediaanScore	16
totaalAantalScore0	3
totaalAantalScore1	0
totaalAantalScore2	2
totaalAantalScore3	1
totaalAantalScore4	3
totaalAantalScore5	1
totaalAantalScore6	2
totaalAantalScore7	7
totaalAantalScore8	12
totaalAantalScore9	11
totaalAantalScore10	25
totaalAantalScore11	27
totaalAantalScore12	20
totaalAantalScore13	46
totaalAantalScore14	43
totaalAantalScore15	54
totaalAantalScore16	71
totaalAantalScore17	83
totaalAantalScore18	92
totaalAantalScore19	62
totaalAantalScore20	33
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	9.12
wiskunde_basisMediaanScore	10
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	0
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	2
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	8
wiskunde_basisAantalScore6	17
wiskunde_basisAantalScore7	48
wiskunde_basisAantalScore8	22
wiskunde_basisAantalScore9	162
wiskunde_basisAantalScore10	333
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	9.98
wiskunde_standaardMediaanScore	11
wiskunde_standaardAantalScore0	10
wiskunde_standaardAantalScore1	1
wiskunde_standaardAantalScore2	12
wiskunde_standaardAantalScore3	10
wiskunde_standaardAantalScore4	15
wiskunde_standaardAantalScore5	13
wiskunde_standaardAantalScore6	37
wiskunde_standaardAantalScore7	45
wiskunde_standaardAantalScore8	54
wiskunde_standaardAantalScore9	23
wiskunde_standaardAantalScore10	69
wiskunde_standaardAantalScore11	85
wiskunde_standaardAantalScore12	83
wiskunde_standaardAantalScore13	26
wiskunde_standaardAantalScore14	72
wiskunde_standaardAantalScore15	43
