vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	598	563	94	10	1	10	11	563	4
2	B	598	578	97	1	0	2	578	7	10
3	A	598	564	94	4	0	564	4	12	14
4	B	598	538	90	2	0	21	538	15	22
5	D	598	557	93	4	0	17	18	2	557
6	B	598	511	85	16	2	23	511	26	22
7	D	598	517	86	17	2	25	16	23	517
8	B	598	565	94	13	2	4	565	12	4
9	D	598	564	94	1	0	0	24	9	564
10	C	598	580	97	5	0	3	7	580	3
11	A	598	517	86	13	2	517	6	39	23
12	B	598	427	71	80	13	53	427	25	13
13	A	598	352	59	115	19	352	43	59	29
14	B	598	518	87	17	2	24	518	5	34
15	A	598	441	74	52	8	441	41	36	28
16	C	598	527	88	9	1	10	9	527	43
17	D	598	429	72	47	7	50	25	47	429
18	C	598	485	81	5	0	15	37	485	56
19	A	598	543	91	32	5	543	7	13	3
20	D	598	400	67	76	12	61	19	42	400
21	D	598	337	56	19	3	30	166	46	337
22	C	598	272	45	82	13	29	25	272	190
23	C	598	381	64	113	18	25	45	381	34
24	B	598	494	83	28	4	13	494	45	18
25	B	598	399	67	55	9	78	399	21	45
