ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
32704	1	C	B	A	D	D	B	D	B	D	C	A	A	C	B	C	C	D	B	A	D	A	C	B	B	A
32974	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	C	X	X
32995	1	C	B	A	A	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
32516	1	C	B	D	D	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	B	D	A
33762	1	C	B	A	A	D	B	D	B	D	C	A	B	X	B	X	X	D	C	X	X	B	X	X	B	B
32194	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	A	A	D	D	C	X	B	B
32387	1	C	B	A	B	D	B	D	B	D	C	A	D	A	D	A	D	D	C	A	D	C	D	B	B	B
33941	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	D	C	B	A
32814	1	C	B	A	B	D	B	D	B	D	C	D	B	X	B	A	C	D	C	A	D	D	X	C	B	B
33272	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B
33310	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	D	C	D	C	A	D	B	D	C	B	B
33089	1	C	B	A	B	D	B	D	B	D	C	C	B	C	B	A	C	D	C	A	D	D	D	C	B	B
33366	1	C	B	A	B	B	B	D	B	B	C	A	B	D	B	B	C	D	C	C	A	B	C	C	B	B
33079	1	C	B	A	B	D	X	D	X	D	C	A	A	X	X	A	C	C	C	X	X	B	C	A	B	C
33902	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	D	C	D	C	A	A	B	C	C	B	B
33588	1	C	B	A	B	D	B	D	B	B	C	A	B	A	B	A	C	D	C	A	D	B	X	C	B	A
32964	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	C	C	A	D	B	C	C	B	B
33894	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	D	C	A	D	D	C	C	B	B
32930	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	C	B	B
33025	1	C	B	A	B	D	A	D	B	D	C	A	B	X	B	A	D	D	C	A	A	B	D	X	D	D
33592	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	A	A	D	D	C	C	B	D
