ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
32704	1	1	17	8	0	11	9	1	0	9	8	7	0	6
32974	1	1	22	1	2	17	10	0	0	10	12	1	2	12
32995	1	1	24	1	0	19	9	1	0	9	15	0	0	15
32516	1	1	19	6	0	14	8	2	0	7	11	4	0	10
33762	1	1	16	2	7	12	9	1	0	9	7	1	7	7
32194	1	1	22	2	1	17	10	0	0	10	12	2	1	11
32387	1	1	19	6	0	14	10	0	0	10	9	6	0	7
33941	1	1	22	3	0	17	10	0	0	10	12	3	0	11
32814	1	1	22	1	2	17	10	0	0	10	12	1	2	12
33272	1	1	25	0	0	20	10	0	0	10	15	0	0	15
33310	1	1	21	4	0	16	9	1	0	9	12	3	0	11
33089	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33366	1	1	18	7	0	13	8	2	0	7	10	5	0	8
33079	1	1	14	5	6	10	8	0	2	8	6	5	4	4
33902	1	1	21	3	1	16	10	0	0	10	11	3	1	10
33588	1	1	21	3	1	16	9	1	0	9	12	2	1	11
32964	1	1	23	2	0	18	10	0	0	10	13	2	0	12
33894	1	1	24	1	0	19	10	0	0	10	14	1	0	14
32930	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33025	1	1	16	7	2	11	9	1	0	9	7	6	2	5
33592	1	1	23	2	0	18	10	0	0	10	13	2	0	12
32701	1	1	15	5	5	11	9	0	1	9	6	5	4	4
33906	1	1	23	2	0	18	10	0	0	10	13	2	0	12
33773	1	1	22	2	1	17	9	1	0	9	13	1	1	13
32370	1	1	21	3	1	16	9	1	0	9	12	2	1	11
33302	1	1	20	5	0	15	10	0	0	10	10	5	0	8
32929	1	1	18	7	0	13	10	0	0	10	8	7	0	6
33111	1	1	23	2	0	18	10	0	0	10	13	2	0	12
32218	1	1	23	2	0	18	9	1	0	9	14	1	0	14
32837	1	1	18	7	0	13	9	1	0	9	9	6	0	7
33308	1	1	21	4	0	16	10	0	0	10	11	4	0	10
32989	1	1	22	2	1	17	10	0	0	10	12	2	1	11
33246	1	1	19	6	0	14	8	2	0	7	11	4	0	10
32469	1	1	17	4	4	13	8	1	1	8	9	3	3	8
33283	1	0	12	13	0	6	4	6	0	2	8	7	0	6
33626	1	1	18	2	5	14	10	0	0	10	8	2	5	7
33043	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33911	1	1	23	2	0	18	10	0	0	10	13	2	0	12
33314	1	1	14	6	5	10	8	1	1	8	6	5	4	4
32587	1	0	11	4	10	8	8	0	2	8	3	4	8	2
33868	1	1	19	6	0	14	9	1	0	9	10	5	0	8
32555	1	1	22	1	2	17	10	0	0	10	12	1	2	12
32577	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33118	1	1	21	4	0	16	10	0	0	10	11	4	0	10
33642	1	1	15	6	4	10	8	2	0	7	7	4	4	6
33104	1	1	17	6	2	12	8	2	0	7	9	4	2	8
33279	1	1	16	4	5	12	9	1	0	9	7	3	5	6
32810	1	1	23	1	1	18	10	0	0	10	13	1	1	13
33022	1	1	21	4	0	16	9	1	0	9	12	3	0	11
32618	1	1	16	3	6	12	7	1	2	7	9	2	4	8
33600	1	1	21	2	2	16	9	1	0	9	12	1	2	12
32586	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33445	1	1	21	4	0	16	10	0	0	10	11	4	0	10
33554	1	1	17	8	0	11	7	3	0	6	10	5	0	8
33193	1	1	20	5	0	15	8	2	0	7	12	3	0	11
33770	1	1	22	3	0	17	9	1	0	9	13	2	0	12
33482	1	1	18	5	2	13	9	1	0	9	9	4	2	8
32679	1	1	21	4	0	16	9	1	0	9	12	3	0	11
33881	1	0	13	12	0	7	8	2	0	7	5	10	0	2
33649	1	1	13	3	9	10	8	1	1	8	5	2	8	4
33546	1	1	24	0	1	19	10	0	0	10	14	0	1	14
32788	1	1	24	1	0	19	10	0	0	10	14	1	0	14
33009	1	1	18	4	3	13	9	1	0	9	9	3	3	8
33070	1	0	4	21	0	0	2	8	0	0	2	13	0	0
32667	1	1	18	4	3	13	9	0	1	9	9	4	2	8
33511	1	0	15	10	0	9	6	4	0	5	9	6	0	7
33016	1	1	21	4	0	16	8	2	0	7	13	2	0	12
32931	1	1	23	2	0	18	10	0	0	10	13	2	0	12
33820	1	1	22	3	0	17	10	0	0	10	12	3	0	11
33323	1	1	21	1	3	17	10	0	0	10	11	1	3	11
33747	1	1	16	9	0	10	7	3	0	6	9	6	0	7
33814	1	1	23	1	1	18	9	1	0	9	14	0	1	14
33623	1	0	13	12	0	7	8	2	0	7	5	10	0	2
32617	1	0	13	6	6	9	7	1	2	7	6	5	4	4
