key	value
aantalDeelnemers	598
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	15.247491638795987
totaalMediaanScore	16
totaalAantalScore0	3
totaalAantalScore1	0
totaalAantalScore2	2
totaalAantalScore3	1
totaalAantalScore4	3
totaalAantalScore5	1
totaalAantalScore6	2
totaalAantalScore7	7
totaalAantalScore8	12
totaalAantalScore9	11
totaalAantalScore10	25
totaalAantalScore11	27
totaalAantalScore12	20
totaalAantalScore13	46
totaalAantalScore14	43
totaalAantalScore15	54
totaalAantalScore16	71
totaalAantalScore17	83
totaalAantalScore18	92
totaalAantalScore19	62
totaalAantalScore20	33
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	9.123745819397993
wiskunde_basisMediaanScore	10
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	0
wiskunde_basisAantalScore2	2
wiskunde_basisAantalScore3	2
wiskunde_basisAantalScore4	1
wiskunde_basisAantalScore5	8
wiskunde_basisAantalScore6	17
wiskunde_basisAantalScore7	48
wiskunde_basisAantalScore8	22
wiskunde_basisAantalScore9	162
wiskunde_basisAantalScore10	333
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	9.979933110367893
wiskunde_standaardMediaanScore	11
wiskunde_standaardAantalScore0	10
wiskunde_standaardAantalScore1	1
wiskunde_standaardAantalScore2	12
wiskunde_standaardAantalScore3	10
wiskunde_standaardAantalScore4	15
wiskunde_standaardAantalScore5	13
wiskunde_standaardAantalScore6	37
wiskunde_standaardAantalScore7	45
wiskunde_standaardAantalScore8	54
wiskunde_standaardAantalScore9	23
wiskunde_standaardAantalScore10	69
wiskunde_standaardAantalScore11	85
wiskunde_standaardAantalScore12	83
wiskunde_standaardAantalScore13	26
wiskunde_standaardAantalScore14	72
wiskunde_standaardAantalScore15	43
vragenreeks1totaalHoogsteScore	20
vragenreeks1totaalLaagsteScore	0
vragenreeks1totaalGemiddeldeScore	15.247491638795987
vragenreeks1totaalMediaanScore	16
vragenreeks1totaalAantalScore0	3
vragenreeks1totaalAantalScore1	0
vragenreeks1totaalAantalScore2	2
vragenreeks1totaalAantalScore3	1
vragenreeks1totaalAantalScore4	3
vragenreeks1totaalAantalScore5	1
vragenreeks1totaalAantalScore6	2
vragenreeks1totaalAantalScore7	7
vragenreeks1totaalAantalScore8	12
vragenreeks1totaalAantalScore9	11
vragenreeks1totaalAantalScore10	25
vragenreeks1totaalAantalScore11	27
vragenreeks1totaalAantalScore12	20
vragenreeks1totaalAantalScore13	46
vragenreeks1totaalAantalScore14	43
vragenreeks1totaalAantalScore15	54
vragenreeks1totaalAantalScore16	71
vragenreeks1totaalAantalScore17	83
vragenreeks1totaalAantalScore18	92
vragenreeks1totaalAantalScore19	62
vragenreeks1totaalAantalScore20	33
vragenreeks1wiskunde_basisHoogsteScore	10
vragenreeks1wiskunde_basisLaagsteScore	0
vragenreeks1wiskunde_basisGemiddeldeScore	9.123745819397993
vragenreeks1wiskunde_basisMediaanScore	10
vragenreeks1wiskunde_basisAantalScore0	3
vragenreeks1wiskunde_basisAantalScore1	0
vragenreeks1wiskunde_basisAantalScore2	2
vragenreeks1wiskunde_basisAantalScore3	2
vragenreeks1wiskunde_basisAantalScore4	1
vragenreeks1wiskunde_basisAantalScore5	8
vragenreeks1wiskunde_basisAantalScore6	17
vragenreeks1wiskunde_basisAantalScore7	48
vragenreeks1wiskunde_basisAantalScore8	22
vragenreeks1wiskunde_basisAantalScore9	162
vragenreeks1wiskunde_basisAantalScore10	333
vragenreeks1wiskunde_standaardHoogsteScore	15
vragenreeks1wiskunde_standaardLaagsteScore	0
vragenreeks1wiskunde_standaardGemiddeldeScore	9.979933110367893
vragenreeks1wiskunde_standaardMediaanScore	11
vragenreeks1wiskunde_standaardAantalScore0	10
vragenreeks1wiskunde_standaardAantalScore1	1
vragenreeks1wiskunde_standaardAantalScore2	12
vragenreeks1wiskunde_standaardAantalScore3	10
vragenreeks1wiskunde_standaardAantalScore4	15
vragenreeks1wiskunde_standaardAantalScore5	13
vragenreeks1wiskunde_standaardAantalScore6	37
vragenreeks1wiskunde_standaardAantalScore7	45
vragenreeks1wiskunde_standaardAantalScore8	54
vragenreeks1wiskunde_standaardAantalScore9	23
vragenreeks1wiskunde_standaardAantalScore10	69
vragenreeks1wiskunde_standaardAantalScore11	85
vragenreeks1wiskunde_standaardAantalScore12	83
vragenreeks1wiskunde_standaardAantalScore13	26
vragenreeks1wiskunde_standaardAantalScore14	72
vragenreeks1wiskunde_standaardAantalScore15	43
