scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	5
totaal	10-13	rgb(255,215,0)	4
totaal	>=14	rgb(144,238,144)	6
zonder_basis	<10	rgb(255,140,0)	7
zonder_basis	10-13	rgb(255,215,0)	6
zonder_basis	>=14	rgb(144,238,144)	2
wiskunde_basis	<7	rgb(255,140,0)	3
wiskunde_basis	7-8	rgb(255,215,0)	2
wiskunde_basis	>=9	rgb(144,238,144)	10
wiskunde_standaard	<8	rgb(255,140,0)	7
wiskunde_standaard	8-11	rgb(255,215,0)	6
wiskunde_standaard	>=12	rgb(144,238,144)	2
taalvaardigheid	<5	rgb(255,140,0)	6
taalvaardigheid	5-7	rgb(255,215,0)	4
taalvaardigheid	>=7	rgb(144,238,144)	5
