feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	taalvaardigheidJuist	taalvaardigheidFout	taalvaardigheidBlanco	taalvaardigheidScore	taalvaardigheidGroep
19la32878	1	0	21	7	7	11	10-13	13	7	5	9	<10	8	0	2	8	7-8	6	4	5	5	<8	7	3	0	6	5-7
19la83653	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	15	0	0	15	>=12	8	2	0	7	>=7
19la86680	1	1	23	6	6	12	10-13	14	6	5	10	10-13	9	0	1	9	>=9	10	4	1	9	8-11	4	2	4	3	<5
19la68308	1	1	27	8	0	14	>=14	18	7	0	13	10-13	9	1	0	9	>=9	10	5	0	8	8-11	8	2	0	7	>=7
19la92907	1	1	25	3	7	14	>=14	16	3	6	12	10-13	9	0	1	9	>=9	9	1	5	9	8-11	7	2	1	6	5-7
19la87121	1	1	28	5	2	15	>=14	19	5	1	14	>=14	9	0	1	9	>=9	10	4	1	9	8-11	9	1	0	9	>=7
19la16739	1	1	27	5	3	14	>=14	18	4	3	13	10-13	9	1	0	9	>=9	10	2	3	9	8-11	8	2	0	7	>=7
19la30102	1	0	23	8	4	12	10-13	14	8	3	9	<10	9	0	1	9	>=9	8	4	3	7	<8	6	4	0	5	5-7
19la72829	1	0	21	14	0	9	<10	15	10	0	9	<10	6	4	0	5	<7	10	5	0	8	8-11	5	5	0	3	<5
19la62396	1	0	12	17	6	4	<10	10	10	5	5	<10	2	7	1	0	<7	3	7	5	1	<8	7	3	0	6	5-7
19la14345	1	1	27	6	2	14	>=14	17	6	2	12	10-13	10	0	0	10	>=9	13	1	1	13	>=12	4	5	1	2	<5
19la31452	1	0	20	12	3	9	<10	11	11	3	6	<10	9	1	0	9	>=9	8	4	3	7	<8	3	7	0	1	<5
19la98406	1	1	25	10	0	12	10-13	18	7	0	13	10-13	7	3	0	6	<7	9	6	0	7	<8	9	1	0	9	>=7
19la86939	1	0	18	8	9	9	<10	8	8	9	4	<10	10	0	0	10	>=9	5	3	7	4	<8	3	5	2	1	<5
19la99267	1	0	14	21	0	4	<10	6	19	0	0	<10	8	2	0	7	7-8	3	12	0	0	<8	3	7	0	1	<5
