key	value
aantalDeelnemers	15
totaalHoogsteScore	18
totaalLaagsteScore	4
totaalGemiddeldeScore	11.4
totaalMediaanScore	12
totaalAantalScore0	0
totaalAantalScore1	0
totaalAantalScore2	0
totaalAantalScore3	0
totaalAantalScore4	2
totaalAantalScore5	0
totaalAantalScore6	0
totaalAantalScore7	0
totaalAantalScore8	0
totaalAantalScore9	3
totaalAantalScore10	0
totaalAantalScore11	1
totaalAantalScore12	3
totaalAantalScore13	0
totaalAantalScore14	4
totaalAantalScore15	1
totaalAantalScore16	0
totaalAantalScore17	0
totaalAantalScore18	1
totaalAantalScore19	0
totaalAantalScore20	0
zonder_basisHoogsteScore	18
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	9.8
zonder_basisMediaanScore	10
zonder_basisAantalScore0	1
zonder_basisAantalScore1	0
zonder_basisAantalScore2	0
zonder_basisAantalScore3	0
zonder_basisAantalScore4	1
zonder_basisAantalScore5	1
zonder_basisAantalScore6	1
zonder_basisAantalScore7	0
zonder_basisAantalScore8	0
zonder_basisAantalScore9	3
zonder_basisAantalScore10	1
zonder_basisAantalScore11	0
zonder_basisAantalScore12	2
zonder_basisAantalScore13	3
zonder_basisAantalScore14	1
zonder_basisAantalScore15	0
zonder_basisAantalScore16	0
zonder_basisAantalScore17	0
zonder_basisAantalScore18	1
zonder_basisAantalScore19	0
zonder_basisAantalScore20	0
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	7.93
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	1
wiskunde_basisAantalScore1	0
wiskunde_basisAantalScore2	0
wiskunde_basisAantalScore3	0
wiskunde_basisAantalScore4	0
wiskunde_basisAantalScore5	1
wiskunde_basisAantalScore6	1
wiskunde_basisAantalScore7	1
wiskunde_basisAantalScore8	1
wiskunde_basisAantalScore9	7
wiskunde_basisAantalScore10	3
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	7.4
wiskunde_standaardMediaanScore	8
wiskunde_standaardAantalScore0	1
wiskunde_standaardAantalScore1	1
wiskunde_standaardAantalScore2	0
wiskunde_standaardAantalScore3	0
wiskunde_standaardAantalScore4	1
wiskunde_standaardAantalScore5	1
wiskunde_standaardAantalScore6	0
wiskunde_standaardAantalScore7	3
wiskunde_standaardAantalScore8	2
wiskunde_standaardAantalScore9	4
wiskunde_standaardAantalScore10	0
wiskunde_standaardAantalScore11	0
wiskunde_standaardAantalScore12	0
wiskunde_standaardAantalScore13	1
wiskunde_standaardAantalScore14	0
wiskunde_standaardAantalScore15	1
taalvaardigheidHoogsteScore	9
taalvaardigheidLaagsteScore	1
taalvaardigheidGemiddeldeScore	4.87
taalvaardigheidMediaanScore	6
taalvaardigheidAantalScore0	0
taalvaardigheidAantalScore1	3
taalvaardigheidAantalScore2	1
taalvaardigheidAantalScore3	2
taalvaardigheidAantalScore4	0
taalvaardigheidAantalScore5	1
taalvaardigheidAantalScore6	3
taalvaardigheidAantalScore7	3
taalvaardigheidAantalScore8	0
taalvaardigheidAantalScore9	2
taalvaardigheidAantalScore10	0
