ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
33804	1	C	B	A	B	D	X	X	B	D	C	C	X	X	B	A	C	C	C	A	X	B	X	X	A	B	B	D	C	A	C	D	D	C	B	D
33612	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	D	C	A	C	C	A	C	A	C
32498	1	C	B	A	B	D	B	X	B	D	C	A	A	A	B	X	C	D	C	A	D	D	D	B	B	A	X	A	X	A	C	X	A	C	X	B
33598	1	C	B	A	B	D	B	C	B	D	C	A	B	A	C	A	C	B	D	A	D	D	D	B	B	B	C	D	C	A	C	D	A	C	B	C
33408	1	C	B	A	B	D	X	D	B	D	C	A	X	X	X	A	C	D	C	A	X	B	C	X	B	B	X	B	C	B	C	D	A	C	A	C
32331	1	C	B	A	B	D	B	D	X	D	C	A	B	A	B	X	C	A	C	A	A	B	C	C	B	C	B	D	C	A	C	D	D	C	A	C
33480	1	C	B	A	B	D	B	D	A	D	C	A	B	X	B	D	D	D	C	A	D	D	X	X	B	B	B	D	C	A	C	C	A	B	A	C
32494	1	C	B	A	B	D	B	X	B	D	C	A	X	C	B	A	C	A	C	A	A	X	C	B	X	B	C	C	C	A	C	D	D	C	B	C
32887	1	B	B	A	B	D	C	C	A	D	C	A	C	A	B	C	C	D	C	A	A	D	C	D	A	B	B	D	D	B	C	D	D	C	D	D
33210	1	A	C	B	B	A	A	B	A	D	X	X	X	B	D	A	A	C	D	D	D	B	C	X	X	X	A	B	C	A	C	C	A	C	A	C
33234	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	C	C	B	X	B	X	A	A	A	D	D	C	C	D
32506	1	C	B	A	B	D	B	C	B	D	C	A	C	X	B	A	D	C	C	A	X	A	C	C	B	X	D	B	B	A	C	C	D	C	D	D
32507	1	C	B	A	D	D	B	A	B	B	C	A	D	D	B	B	C	D	B	C	D	A	C	C	B	B	B	B	C	A	C	D	A	C	A	C
33338	1	C	B	A	B	D	B	D	B	D	C	C	X	X	A	A	B	X	C	A	X	X	C	X	B	X	C	C	X	C	C	X	A	A	A	D
32520	1	A	B	A	B	D	C	D	B	D	C	A	C	B	C	D	A	B	D	C	D	C	A	D	B	C	D	A	D	D	C	D	C	A	B	C
