Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33804,la15968164624jrZZIEtD2ivAsHjJovSDywBxYA7T6,19,A,11,21,7,7,9,13,7,5,8,8,0,2,5,6,4,5,6,7,3,0,,,,,,,,,,,,,,,,
,,33612,la1597434370fCeJ28lS7QAyOhiqSq5qw1QXo2C6qx,19,A,18,33,2,0,18,23,2,0,10,10,0,0,15,15,0,0,7,8,2,0,,,,,,,,,,,,,,,,
,,32498,la15916181733nPZvrdJy2A8YgdaoaT1QgD98w9ha2,19,A,12,23,6,6,10,14,6,5,9,9,0,1,9,10,4,1,3,4,2,4,,,,,,,,,,,,,,,,
,,33598,la1597424509MDqe7nD4APdgROQ8Or1QRJg8zZ2CCs,19,A,14,27,8,0,13,18,7,0,9,9,1,0,8,10,5,0,7,8,2,0,,,,,,,,,,,,,,,,
,,33408,la15970013318g04FlYAmqEwjwKWnT2xIrKqUhAttY,19,A,14,25,3,7,12,16,3,6,9,9,0,1,9,9,1,5,6,7,2,1,,,,,,,,,,,,,,,,
,,32331,la1591170950lhklzFyngXax8V1NG9i05LjAtrzhqJ,19,A,15,28,5,2,14,19,5,1,9,9,0,1,9,10,4,1,9,9,1,0,,,,,,,,,,,,,,,,
,,33480,la1597235806c9Gu19MSXYoimLQnEKMbfXvZD0Oi8W,19,A,14,27,5,3,13,18,4,3,9,9,1,0,9,10,2,3,7,8,2,0,,,,,,,,,,,,,,,,
,,32494,la1591613265juuKbP4ANA2Cuxdr8hcPE72tozKwul,19,A,12,23,8,4,9,14,8,3,9,9,0,1,7,8,4,3,5,6,4,0,,,,,,,,,,,,,,,,
,,32887,la1593719647wueproYeXCmFHImA2X1gcZwFQr3EKW,19,B,9,21,14,0,9,15,10,0,5,6,4,0,8,10,5,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33210,la1596104508kIYvu64AtY725tPyLgcWQrZf9BuZ8X,19,B,4,12,17,6,5,10,10,5,0,2,7,1,1,3,7,5,6,7,3,0,,,,,,,,,,,,,,,,
,,33234,la1596207673F0iGob8v10PL4svezWm59FoFy7dX8n,19,A,14,27,6,2,12,17,6,2,10,10,0,0,13,13,1,1,2,4,5,1,,,,,,,,,,,,,,,,
,,32506,la1591630789h40kqNb1EsplU6JaSGOh2COfaq9yKs,19,B,9,20,12,3,6,11,11,3,9,9,1,0,7,8,4,3,1,3,7,0,,,,,,,,,,,,,,,,
,,32507,la1591630925Tzo8HjbJrOsyLNz344JWcTGsL1jryO,19,A,12,25,10,0,13,18,7,0,6,7,3,0,7,9,6,0,9,9,1,0,,,,,,,,,,,,,,,,
,,33338,la1596635523mnSgpBdaMyif4uBCymGgWcs1OjO75a,19,B,9,18,8,9,4,8,8,9,10,10,0,0,4,5,3,7,1,3,5,2,,,,,,,,,,,,,,,,
,,32520,la1591688431oNTkf0lRLCSPzGHLvSIrFd67PQmtPT,19,B,4,14,21,0,0,6,19,0,7,8,2,0,0,3,12,0,1,3,7,0,,,,,,,,,,,,,,,,
