Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32331,la1591170950lhklzFyngXax8V1NG9i05LjAtrzhqJ,19,A,15,,,,9,,,,9,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32494,la1591613265juuKbP4ANA2Cuxdr8hcPE72tozKwul,19,A,12,,,,9,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,32498,la15916181733nPZvrdJy2A8YgdaoaT1QgD98w9ha2,19,A,12,,,,9,,,,9,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32506,la1591630789h40kqNb1EsplU6JaSGOh2COfaq9yKs,19,B,9,,,,9,,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32507,la1591630925Tzo8HjbJrOsyLNz344JWcTGsL1jryO,19,A,12,,,,6,,,,7,,,,9,,,,,,,,,,,,,,,,,,,,,,,
,,32520,la1591688431oNTkf0lRLCSPzGHLvSIrFd67PQmtPT,19,B,4,,,,7,,,,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32887,la1593719647wueproYeXCmFHImA2X1gcZwFQr3EKW,19,B,9,,,,5,,,,8,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,33210,la1596104508kIYvu64AtY725tPyLgcWQrZf9BuZ8X,19,B,4,,,,0,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,33234,la1596207673F0iGob8v10PL4svezWm59FoFy7dX8n,19,A,14,,,,10,,,,13,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,33338,la1596635523mnSgpBdaMyif4uBCymGgWcs1OjO75a,19,B,9,,,,10,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,33804,la15968164624jrZZIEtD2ivAsHjJovSDywBxYA7T6,19,A,11,,,,8,,,,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,33408,la15970013318g04FlYAmqEwjwKWnT2xIrKqUhAttY,19,A,14,,,,9,,,,9,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,33480,la1597235806c9Gu19MSXYoimLQnEKMbfXvZD0Oi8W,19,A,14,,,,9,,,,9,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,33598,la1597424509MDqe7nD4APdgROQ8Or1QRJg8zZ2CCs,19,A,14,,,,9,,,,8,,,,7,,,,,,,,,,,,,,,,,,,,,,,
,,33612,la1597434370fCeJ28lS7QAyOhiqSq5qw1QXo2C6qx,19,A,18,,,,10,,,,15,,,,7,,,,,,,,,,,,,,,,,,,,,,,
