scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	34
totaal	10-13	rgb(255,215,0)	42
totaal	>=14	rgb(144,238,144)	93
zonder_basis	<10	rgb(255,140,0)	50
zonder_basis	10-13	rgb(255,215,0)	46
zonder_basis	>=14	rgb(144,238,144)	73
wiskunde_basis	<7	rgb(255,140,0)	24
wiskunde_basis	7-8	rgb(255,215,0)	24
wiskunde_basis	>=9	rgb(144,238,144)	121
wiskunde_standaard	<8	rgb(255,140,0)	60
wiskunde_standaard	8-11	rgb(255,215,0)	62
wiskunde_standaard	>=12	rgb(144,238,144)	47
chemie	<5	rgb(255,140,0)	42
chemie	5-7	rgb(255,215,0)	40
chemie	>=7	rgb(144,238,144)	87
