feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	zonder_basisJuist	zonder_basisFout	zonder_basisBlanco	zonder_basisScore	zonder_basisGroep	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_basisGroep	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	wiskunde_standaardGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep
19wb93126	1	0	20	12	3	9	<10	11	11	3	6	<10	9	1	0	9	>=9	7	6	2	5	<8	4	5	1	2	<5
19wb62458	1	0	17	11	7	8	<10	9	10	6	5	<10	8	1	1	8	7-8	5	4	6	4	<8	4	6	0	2	<5
19wb10486	1	0	0	1	34	0	<10	0	0	25	0	<10	0	1	9	0	<7	0	0	15	0	<8	0	0	10	0	<5
19wb99233	1	0	19	16	0	8	<10	10	15	0	4	<10	9	1	0	9	>=9	5	10	0	2	<8	5	5	0	3	<5
19wb75676	1	1	24	7	4	12	10-13	16	5	4	11	10-13	8	2	0	7	7-8	9	2	4	8	8-11	7	3	0	6	5-7
19wb90501	1	0	16	7	12	8	<10	9	6	10	6	<10	7	1	2	7	7-8	5	4	6	4	<8	4	2	4	3	<5
19wb35102	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	14	1	0	14	>=12	6	4	0	5	5-7
19wb97295	1	0	22	11	2	10	10-13	14	9	2	9	<10	8	2	0	7	7-8	8	5	2	6	<8	6	4	0	5	5-7
19wb71560	1	1	28	7	0	15	>=14	18	7	0	13	10-13	10	0	0	10	>=9	10	5	0	8	8-11	8	2	0	7	>=7
19wb99028	1	1	23	3	9	13	10-13	14	3	8	10	10-13	9	0	1	9	>=9	7	2	6	6	<8	7	1	2	7	>=7
19wb66859	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	14	1	0	14	>=12	8	2	0	7	>=7
19wb88999	1	1	28	5	2	15	>=14	18	5	2	13	10-13	10	0	0	10	>=9	10	3	2	9	8-11	8	2	0	7	>=7
19wb32115	1	1	31	4	0	17	>=14	21	4	0	16	>=14	10	0	0	10	>=9	11	4	0	10	8-11	10	0	0	10	>=7
19wb94516	1	1	25	7	3	13	10-13	15	7	3	10	10-13	10	0	0	10	>=9	10	4	1	9	8-11	5	3	2	4	<5
19wb52914	1	0	15	19	1	5	<10	8	16	1	2	<10	7	3	0	6	<7	5	9	1	2	<8	3	7	0	1	<5
19wb43809	1	0	11	13	11	4	<10	6	10	9	2	<10	5	3	2	4	<7	5	6	4	3	<8	1	4	5	0	<5
19wb78168	1	0	23	9	3	11	10-13	13	9	3	8	<10	10	0	0	10	>=9	7	5	3	5	<8	6	4	0	5	5-7
19wb44598	1	0	13	10	12	6	<10	8	7	10	5	<10	5	3	2	4	<7	6	4	5	5	<8	2	3	5	1	<5
19wb77676	1	1	22	3	10	12	10-13	14	2	9	11	10-13	8	1	1	8	7-8	7	1	7	7	<8	7	1	2	7	>=7
19wb90999	1	1	28	5	2	15	>=14	18	5	2	13	10-13	10	0	0	10	>=9	10	3	2	9	8-11	8	2	0	7	>=7
19wb63369	1	1	29	0	6	17	>=14	20	0	5	16	>=14	9	0	1	9	>=9	13	0	2	13	>=12	7	0	3	7	>=7
19wb17132	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12	10	0	0	10	>=7
19wb58387	1	1	30	4	1	16	>=14	20	4	1	15	>=14	10	0	0	10	>=9	11	3	1	10	8-11	9	1	0	9	>=7
19wb82063	1	1	28	4	3	15	>=14	18	4	3	13	10-13	10	0	0	10	>=9	12	2	1	11	8-11	6	2	2	5	5-7
19wb38578	1	1	27	8	0	14	>=14	18	7	0	13	10-13	9	1	0	9	>=9	12	3	0	11	8-11	6	4	0	5	5-7
19wb84531	1	0	10	25	0	1	<10	5	20	0	0	<10	5	5	0	3	<7	3	12	0	0	<8	2	8	0	0	<5
19wb98282	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	15	0	0	15	>=12	9	1	0	9	>=7
19wb39097	1	1	31	4	0	17	>=14	22	3	0	17	>=14	9	1	0	9	>=9	13	2	0	12	>=12	9	1	0	9	>=7
19wb84722	1	1	30	5	0	16	>=14	20	5	0	15	>=14	10	0	0	10	>=9	12	3	0	11	8-11	8	2	0	7	>=7
19wb25189	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12	10	0	0	10	>=7
19wb22553	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	14	1	0	14	>=12	8	2	0	7	>=7
19wb18546	1	0	18	13	4	8	<10	11	11	3	6	<10	7	2	1	6	<7	5	7	3	3	<8	6	4	0	5	5-7
19wb74412	1	1	26	5	4	14	>=14	16	5	4	11	10-13	10	0	0	10	>=9	8	4	3	7	<8	8	1	1	8	>=7
19wb48459	1	1	23	8	4	12	10-13	15	6	4	10	10-13	8	2	0	7	7-8	9	3	3	8	8-11	6	3	1	5	5-7
19wb43376	1	1	21	5	9	11	10-13	13	3	9	10	10-13	8	2	0	7	7-8	5	3	7	4	<8	8	0	2	8	>=7
19wb94507	1	1	31	4	0	17	>=14	21	4	0	16	>=14	10	0	0	10	>=9	12	3	0	11	8-11	9	1	0	9	>=7
19wb84598	1	1	27	1	7	15	>=14	17	1	7	13	10-13	10	0	0	10	>=9	9	1	5	9	8-11	8	0	2	8	>=7
19wb76597	1	1	32	3	0	18	>=14	22	3	0	17	>=14	10	0	0	10	>=9	15	0	0	15	>=12	7	3	0	6	5-7
19wb42352	1	1	33	2	0	18	>=14	23	2	0	18	>=14	10	0	0	10	>=9	14	1	0	14	>=12	9	1	0	9	>=7
19wb48967	1	0	13	14	8	5	<10	11	9	5	6	<10	2	5	3	0	<7	5	5	5	3	<8	6	4	0	5	5-7
19wb95858	1	1	29	2	4	16	>=14	19	2	4	15	>=14	10	0	0	10	>=9	11	1	3	11	8-11	8	1	1	8	>=7
19wb65726	1	1	26	9	0	13	10-13	16	9	0	10	10-13	10	0	0	10	>=9	11	4	0	10	8-11	5	5	0	3	<5
19wb29129	1	0	7	12	16	2	<10	3	10	12	0	<10	4	2	4	3	<7	1	3	11	0	<8	2	7	1	0	<5
19wb13141	1	1	34	1	0	19	>=14	25	0	0	20	>=14	9	1	0	9	>=9	15	0	0	15	>=12	10	0	0	10	>=7
19wb22440	1	0	11	11	13	4	<10	6	6	13	3	<10	5	5	0	3	<7	2	3	10	1	<8	4	3	3	3	<5
19wb11118	1	1	24	3	8	13	10-13	15	2	8	11	10-13	9	1	0	9	>=9	10	1	4	10	8-11	5	1	4	5	5-7
19wb22210	1	1	35	0	0	20	>=14	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12	10	0	0	10	>=7
19wb44538	1	0	19	12	4	9	<10	10	11	4	5	<10	9	1	0	9	>=9	6	5	4	4	<8	4	6	0	2	<5
19wb58093	1	1	32	3	0	18	>=14	23	2	0	18	>=14	9	1	0	9	>=9	14	1	0	14	>=12	9	1	0	9	>=7
19wb49926	1	1	30	3	2	17	>=14	20	3	2	15	>=14	10	0	0	10	>=9	11	2	2	10	8-11	9	1	0	9	>=7
19wb29084	1	0	20	12	3	9	<10	12	10	3	7	<10	8	2	0	7	7-8	8	4	3	7	<8	4	6	0	2	<5
19wb80807	1	1	34	1	0	19	>=14	24	1	0	19	>=14	10	0	0	10	>=9	14	1	0	14	>=12	10	0	0	10	>=7
19wb55831	1	1	29	4	2	16	>=14	19	4	2	14	>=14	10	0	0	10	>=9	12	1	2	12	>=12	7	3	0	6	5-7
19wb29877	1	1	32	1	2	18	>=14	22	1	2	17	>=14	10	0	0	10	>=9	13	0	2	13	>=12	9	1	0	9	>=7
19wb53767	1	1	29	3	3	16	>=14	19	3	3	14	>=14	10	0	0	10	>=9	11	2	2	10	8-11	8	1	1	8	>=7
19wb52899	1	1	25	3	7	14	>=14	17	3	5	13	10-13	8	0	2	8	7-8	12	0	3	12	>=12	5	3	2	4	<5
19wb78273	1	0	21	13	1	10	10-13	12	12	1	6	<10	9	1	0	9	>=9	7	7	1	5	<8	5	5	0	3	<5
19wb69328	1	1	26	5	4	14	>=14	17	5	3	12	10-13	9	0	1	9	>=9	10	3	2	9	8-11	7	2	1	6	5-7
19wb69565	1	1	35	0	0	20	>=14	25	0	0	20	>=14	10	0	0	10	>=9	15	0	0	15	>=12	10	0	0	10	>=7
19wb28057	1	1	29	6	0	15	>=14	19	6	0	14	>=14	10	0	0	10	>=9	13	2	0	12	>=12	6	4	0	5	5-7
