key	value
aantalDeelnemers	169
totaalHoogsteScore	20
totaalLaagsteScore	0
totaalGemiddeldeScore	13.33
totaalMediaanScore	14
totaalAantalScore0	3
totaalAantalScore1	2
totaalAantalScore2	1
totaalAantalScore3	0
totaalAantalScore4	4
totaalAantalScore5	4
totaalAantalScore6	3
totaalAantalScore7	1
totaalAantalScore8	9
totaalAantalScore9	7
totaalAantalScore10	8
totaalAantalScore11	6
totaalAantalScore12	11
totaalAantalScore13	17
totaalAantalScore14	12
totaalAantalScore15	17
totaalAantalScore16	17
totaalAantalScore17	9
totaalAantalScore18	22
totaalAantalScore19	10
totaalAantalScore20	6
zonder_basisHoogsteScore	20
zonder_basisLaagsteScore	0
zonder_basisGemiddeldeScore	11.95
zonder_basisMediaanScore	13
zonder_basisAantalScore0	7
zonder_basisAantalScore1	0
zonder_basisAantalScore2	3
zonder_basisAantalScore3	2
zonder_basisAantalScore4	3
zonder_basisAantalScore5	6
zonder_basisAantalScore6	10
zonder_basisAantalScore7	6
zonder_basisAantalScore8	7
zonder_basisAantalScore9	6
zonder_basisAantalScore10	9
zonder_basisAantalScore11	13
zonder_basisAantalScore12	10
zonder_basisAantalScore13	14
zonder_basisAantalScore14	11
zonder_basisAantalScore15	15
zonder_basisAantalScore16	8
zonder_basisAantalScore17	12
zonder_basisAantalScore18	12
zonder_basisAantalScore19	8
zonder_basisAantalScore20	7
wiskunde_basisHoogsteScore	10
wiskunde_basisLaagsteScore	0
wiskunde_basisGemiddeldeScore	8.51
wiskunde_basisMediaanScore	9
wiskunde_basisAantalScore0	3
wiskunde_basisAantalScore1	1
wiskunde_basisAantalScore2	1
wiskunde_basisAantalScore3	5
wiskunde_basisAantalScore4	2
wiskunde_basisAantalScore5	6
wiskunde_basisAantalScore6	6
wiskunde_basisAantalScore7	18
wiskunde_basisAantalScore8	6
wiskunde_basisAantalScore9	37
wiskunde_basisAantalScore10	84
wiskunde_standaardHoogsteScore	15
wiskunde_standaardLaagsteScore	0
wiskunde_standaardGemiddeldeScore	8.84
wiskunde_standaardMediaanScore	9
wiskunde_standaardAantalScore0	8
wiskunde_standaardAantalScore1	1
wiskunde_standaardAantalScore2	6
wiskunde_standaardAantalScore3	6
wiskunde_standaardAantalScore4	7
wiskunde_standaardAantalScore5	9
wiskunde_standaardAantalScore6	9
wiskunde_standaardAantalScore7	14
wiskunde_standaardAantalScore8	13
wiskunde_standaardAantalScore9	14
wiskunde_standaardAantalScore10	14
wiskunde_standaardAantalScore11	21
wiskunde_standaardAantalScore12	14
wiskunde_standaardAantalScore13	4
wiskunde_standaardAantalScore14	18
wiskunde_standaardAantalScore15	11
chemieHoogsteScore	10
chemieLaagsteScore	0
chemieGemiddeldeScore	6.17
chemieMediaanScore	7
chemieAantalScore0	7
chemieAantalScore1	8
chemieAantalScore2	8
chemieAantalScore3	12
chemieAantalScore4	7
chemieAantalScore5	24
chemieAantalScore6	16
chemieAantalScore7	30
chemieAantalScore8	8
chemieAantalScore9	26
chemieAantalScore10	23
