ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
33207	1	C	B	A	B	D	C	D	B	D	C	A	D	X	B	B	C	D	D	C	X	B	C	B	B	B	A	B	D	B	A	A	C	X	B	C
32718	1	B	X	A	B	D	B	D	B	D	C	B	B	X	B	X	C	C	B	A	D	B	X	X	X	X	B	A	C	A	D	D	B	A	C	B
32796	1	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
32505	1	C	B	A	B	D	B	C	B	D	C	D	C	C	B	D	C	A	D	A	A	A	B	A	B	B	C	B	C	D	C	B	C	C	A	B
33098	1	C	B	A	B	D	B	C	B	B	C	A	B	X	B	B	C	X	C	A	D	B	X	X	B	B	C	A	C	D	D	B	C	B	B	B
32514	1	C	B	A	C	D	B	X	X	D	C	A	X	X	B	C	C	X	A	A	X	A	X	B	X	B	C	X	X	D	X	A	C	X	B	D
33436	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	B	B	B	C	B	C	A	A	C	A	B	A	B
32208	1	C	B	A	B	D	B	D	A	B	C	A	C	X	B	B	C	X	A	A	D	C	C	C	B	A	C	C	C	D	D	B	C	C	B	B
33102	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	C	C	A	D	B	C	C	D	D	C	B	C	D	A	A	C	B	B	B
33543	1	C	B	A	B	D	X	D	B	D	C	C	B	X	B	A	C	D	C	X	X	X	B	X	X	B	C	B	C	A	C	A	X	X	B	B
33694	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	B	A	C	B	B	C
32694	1	C	B	A	B	D	B	D	B	D	C	A	X	B	B	A	C	D	C	D	D	D	C	X	C	B	C	B	C	A	A	A	C	B	B	C
33355	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	D	D	C	A	D	D	D	C	B	A	C	B	C	A	D	A	C	B	B	B
33221	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	D	C	D	C	A	D	D	D	X	B	D	C	B	B	A	X	B	C	X	C	B
33105	1	C	B	A	A	C	C	D	B	D	C	C	B	B	B	C	C	C	B	B	A	B	X	B	B	B	A	D	C	C	A	B	C	C	C	B
32296	1	C	D	A	B	B	A	X	X	D	C	A	D	X	B	C	C	X	D	D	X	A	C	C	D	X	D	X	X	A	A	X	D	X	C	X
33553	1	C	B	A	B	D	B	D	B	D	C	A	A	X	D	B	C	C	C	A	D	B	X	C	B	X	C	B	B	A	D	B	C	A	C	B
