Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33207,wb1596062571MnAcUeZAGSv0eLOB5CDC9pMod7YISZ,19,A,9,20,12,3,6,11,11,3,9,9,1,0,5,7,6,2,2,4,5,1,,,,,,,,,,,,,,,,
,,32718,wb1592998099LTcKOji856igorBGnDdd5kbcIE63qP,19,A,8,17,11,7,5,9,10,6,8,8,1,1,4,5,4,6,2,4,6,0,,,,,,,,,,,,,,,,
,,32796,wb15934143638bGIV5P6t8ChsOb6Plcuhvpv8Uunhc,19,A,0,0,1,34,0,0,0,25,0,0,1,9,0,0,0,15,0,0,0,10,,,,,,,,,,,,,,,,
,,32505,wb1591626258NeuuJNuNWjYeGRIuu1EbEwMTONe4pb,19,A,8,19,16,0,4,10,15,0,9,9,1,0,2,5,10,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33098,wb1595259458FXTXSA3Kmr9EQaA3MVUwWp6SwQpX9u,19,A,12,24,7,4,11,16,5,4,7,8,2,0,8,9,2,4,6,7,3,0,,,,,,,,,,,,,,,,
,,32514,wb1591642897VZeQuvFmjCqUrahYKfqJ37bpFaHbpw,19,A,8,16,7,12,6,9,6,10,7,7,1,2,4,5,4,6,3,4,2,4,,,,,,,,,,,,,,,,
,,33436,wb1597073677WklTqoQDx0ZiggeT1gPPBP5hhalXX1,19,A,16,30,5,0,15,20,5,0,10,10,0,0,14,14,1,0,5,6,4,0,,,,,,,,,,,,,,,,
,,32208,wb1591011165sEjsOAAhYzyl80gLOr83R5vLsd0AiE,19,A,10,22,11,2,9,14,9,2,7,8,2,0,6,8,5,2,5,6,4,0,,,,,,,,,,,,,,,,
,,33102,wb1595268609T3IEti2j5KbzU2YDdYOe0tnyc8wGKW,19,A,15,28,7,0,13,18,7,0,10,10,0,0,8,10,5,0,7,8,2,0,,,,,,,,,,,,,,,,
,,33543,wb1597381256WP8203PuRmaRZ2mBLXhZfiwrCeY7Cc,19,A,13,23,3,9,10,14,3,8,9,9,0,1,6,7,2,6,7,7,1,2,,,,,,,,,,,,,,,,
,,33694,wb15922488487RyNXyUaLIiXYduyxS6mcD0ZvVDt6b,19,A,18,32,3,0,17,22,3,0,10,10,0,0,14,14,1,0,7,8,2,0,,,,,,,,,,,,,,,,
,,32694,wb1592819519UAKSiuowUR3OfGCnFck9uBbJs09V2H,19,A,15,28,5,2,13,18,5,2,10,10,0,0,9,10,3,2,7,8,2,0,,,,,,,,,,,,,,,,
,,33355,wb1596659995HGL9GrALNQaHhyukIv8w9SqML5hORt,19,A,17,31,4,0,16,21,4,0,10,10,0,0,10,11,4,0,10,10,0,0,,,,,,,,,,,,,,,,
,,33221,wb1596134676Qvi3qz8MxH6oNlBtXeDCwS4UBmvMEI,19,A,13,25,7,3,10,15,7,3,10,10,0,0,9,10,4,1,4,5,3,2,,,,,,,,,,,,,,,,
,,33105,wb1595321370sM2GVggGbtxECtPzs5he9cY4N72zoD,19,A,5,15,19,1,2,8,16,1,6,7,3,0,2,5,9,1,1,3,7,0,,,,,,,,,,,,,,,,
,,32296,wb1591100034nrQkzBvWxeV19B4bkXyjrr31EpPGaa,19,A,4,11,13,11,2,6,10,9,4,5,3,2,3,5,6,4,0,1,4,5,,,,,,,,,,,,,,,,
,,33553,wb1597393748FVA6refzfnWcqsP95sBIPJq3HmYlLF,19,A,11,23,9,3,8,13,9,3,10,10,0,0,5,7,5,3,5,6,4,0,,,,,,,,,,,,,,,,
,,33493,wb1597261431AB9TNx17btvZAPX8cXvXO3DxnfFFcV,19,A,6,13,10,12,5,8,7,10,4,5,3,2,5,6,4,5,1,2,3,5,,,,,,,,,,,,,,,,
,,33572,wb1597409568WLVGRq1i4mBcsxbeEUIJONjLtVFT8Q,19,A,12,22,3,10,11,14,2,9,8,8,1,1,7,7,1,7,7,7,1,2,,,,,,,,,,,,,,,,
,,33309,wb1596478895Zn4g2miPOx24YoEEAGvrtVLY7el7nF,19,A,15,28,5,2,13,18,5,2,10,10,0,0,9,10,3,2,7,8,2,0,,,,,,,,,,,,,,,,
,,33646,wb1597501871MatSt0r7v5cuKkYIzCwh9FaJrwKthh,19,A,17,29,0,6,16,20,0,5,9,9,0,1,13,13,0,2,7,7,0,3,,,,,,,,,,,,,,,,
,,32360,wb15912089111Ew3JtyGSw9PprpIxr0RgxR8DhaVLY,19,A,19,34,1,0,19,24,1,0,10,10,0,0,14,14,1,0,10,10,0,0,,,,,,,,,,,,,,,,
